
[00:00:00.000 --> 00:00:04.040]  今天來到新的第二講
[00:00:04.040 --> 00:00:07.040]  上次和大家在一個多月前講
[00:00:07.040 --> 00:00:09.240]  是講關於「缺志」這回事
[00:00:09.240 --> 00:00:10.640]  關於「缺志」
[00:00:10.640 --> 00:00:13.640]  今天我們講關於「愛」這個字
[00:00:13.640 --> 00:00:14.840]  「愛」
[00:00:14.840 --> 00:00:16.920]  待會有些互動
[00:00:16.920 --> 00:00:19.120]  所以你可以準備好你的手機
[00:00:19.120 --> 00:00:20.440]  在少數情況下
[00:00:20.440 --> 00:00:22.040]  我叫大家要用手機的時間
[00:00:22.040 --> 00:00:23.480]  待會就會知道什麼事
[00:00:23.480 --> 00:00:25.720]  但在開始活動之前
[00:00:25.720 --> 00:00:27.720]  先講少許介紹
[00:00:27.720 --> 00:00:30.080]  我估計「愛」這個字
[00:00:30.080 --> 00:00:32.520]  我們往往覺得是很好的東西
[00:00:32.520 --> 00:00:35.240]  我們自小在家中
[00:00:35.240 --> 00:00:37.720]  我們渴望有朋友去愛護我們
[00:00:37.720 --> 00:00:41.480]  我們在學校渴望朋友去愛戴我們
[00:00:41.480 --> 00:00:42.960]  至少不要排斥我們
[00:00:42.960 --> 00:00:45.400]  至少不要杯葛我們
[00:00:45.400 --> 00:00:47.320]  即使成年人也有
[00:00:47.320 --> 00:00:48.840]  進入社會之後
[00:00:48.840 --> 00:00:51.440]  其實我們仍然渴望有人去愛護
[00:00:51.440 --> 00:00:53.120]  當年有些人想到「愛」
[00:00:53.120 --> 00:00:55.560]  很容易加上一個字在後面
[00:00:55.960 --> 00:00:58.800]  有個弟兄早前認識的
[00:00:58.800 --> 00:00:59.640]  他跟我說
[00:00:59.640 --> 00:01:01.640]  他回到教會不久
[00:01:01.640 --> 00:01:03.080]  他回來做什麼呢
[00:01:03.080 --> 00:01:05.360]  他說回來教會是找「愛」
[00:01:05.360 --> 00:01:08.400]  我估計對我們來說
[00:01:08.400 --> 00:01:10.040]  人們後面要加上一個字
[00:01:10.040 --> 00:01:12.040]  那是什麼字呢
[00:01:12.040 --> 00:01:13.920]  就你自己加
