
[00:00:00.000 --> 00:00:02.800]  我們繼續讀第一次聖誕節
[00:00:02.800 --> 00:00:06.400]  我們看到這個教會是有很多問題的
[00:00:06.400 --> 00:00:09.800]  又有世界性的智慧
[00:00:09.800 --> 00:00:12.600]  他們說我不用這些智慧
[00:00:12.600 --> 00:00:15.000]  我有自己的智慧
[00:00:15.000 --> 00:00:18.400]  還有有些人就想跟阿波羅
[00:00:18.400 --> 00:00:20.500]  有些人就想跟彼得
[00:00:20.500 --> 00:00:24.100]  有些人就想跟保羅
[00:00:24.100 --> 00:00:26.200]  所以他有不同的分別
[00:00:26.200 --> 00:00:28.300]  這個教會有很多分別
[00:00:28.300 --> 00:00:30.500]  好像有些人想跟卡文
[00:00:30.500 --> 00:00:33.900]  有些人想跟Vincent
[00:00:33.900 --> 00:00:37.100]  有些人想跟Winnie
[00:00:37.100 --> 00:00:39.900]  他們沒有這個Sense of Unity
[00:00:39.900 --> 00:00:42.600]  然後上個星期我們聽到什麼
[00:00:42.600 --> 00:00:45.100]  Sam就跟我們說
[00:00:45.100 --> 00:00:49.200]  這個教會有不同的Sexual Immorality
[00:00:49.200 --> 00:00:52.800]  有一個人就Dating他的什麼
[00:00:52.800 --> 00:00:55.300]  他的Father's Wife
[00:00:55.300 --> 00:00:57.900]  他Dating his Father's Wife
[00:00:57.900 --> 00:00:59.300]  That's kind of weird, right?
[00:00:59.300 --> 00:01:00.600]  是不是很奇怪?
[00:01:00.600 --> 00:01:01.900]  It's a bit weird
[00:01:01.900 --> 00:01:04.900]  Even in today's society, it's a bit weird
[00:01:04.900 --> 00:01:08.800]  有沒有人想參加這個教會?
[00:01:08.800 --> 00:01:11.600]  這個教會好像很精彩
[00:01:11.600 --> 00:01:13.800]  很多戲劇
[00:01:13.800 --> 00:01:18.400]  每個星期都有不同的戲劇出現
[00:01:18.400 --> 00:01:21.800]  今天我們會看保羅
[00:01:21.800 --> 00:01:25.100]  繼續提醒這個教會不同的東西
[00:01:25.100 --> 00:01:27.900]  首先我們考考你
[00:01:27.900 --> 00:01:32.300]  看看你怎麼會處理不同的問題
[00:01:32.300 --> 00:01:36.100]  如果你回到你的小群組之後
[00:01:36.100 --> 00:01:40.600]  之後你帶了一些Pokemon Card
[00:01:40.600 --> 00:01:44.900]  有一個朋友就拿了你的Pokemon Card
