
[00:00:00.000 --> 00:00:02.160]   (silence)
[00:00:02.160 --> 00:00:07.240]   - Hello everybody, it's so awesome
[00:00:07.240 --> 00:00:10.680]   to be able to speak to you tonight about Samson.
[00:00:10.680 --> 00:00:15.680]   And we are well underway in our theme of the book of Judges.
[00:00:15.680 --> 00:00:19.860]   And we've gone through chapter one and two,
[00:00:19.860 --> 00:00:25.080]   we went through Ehud, Deborah, Gideon,
[00:00:25.080 --> 00:00:27.920]   and all these other amazing Judges.
[00:00:27.920 --> 00:00:31.040]   And today we are talking about Samson,
[00:00:31.040 --> 00:00:33.640]   the victory on Jawbone Hill.
[00:00:33.640 --> 00:00:36.560]   Now to start off, it's gonna be a little bit interactive,
[00:00:36.560 --> 00:00:38.120]   get ready on the chat.
[00:00:38.120 --> 00:00:39.920]   Who likes riddles?
[00:00:39.920 --> 00:00:42.000]   Anybody likes riddles here?
[00:00:42.000 --> 00:00:45.720]   Okay, so what we're gonna do, this is the first riddle.
[00:00:45.720 --> 00:00:47.920]   Okay, you can type the answer in the chat
[00:00:47.920 --> 00:00:50.840]   and maybe we'll have a prize for those who win, all right?
[00:00:50.840 --> 00:00:53.200]   I see Mark and Veronica getting ready.
[00:00:54.160 --> 00:00:59.160]   What has a face and two hands, but no arms or legs?
[00:00:59.160 --> 00:01:04.840]   So what has a face, if we can go to that slide there.
[00:01:04.840 --> 00:01:09.020]   Oh, very good, Mark, you're so good, you got it, very good.
[00:01:09.020 --> 00:01:11.080]   Okay, here's the second one.
[00:01:11.080 --> 00:01:15.320]   What five letter word becomes shorter
[00:01:15.320 --> 00:01:18.120]   when you add two letters to it?
[00:01:18.120 --> 00:01:19.820]   What five letter word?
[00:01:20.880 --> 00:01:25.280]   Wow, Hanani, wow, you guys are so good, all of you.
[00:01:25.280 --> 00:01:27.920]   You guys are our riddlers, all of you.
[00:01:27.920 --> 00:01:33.000]   And the reason why I wanted to start with a couple riddles,
[00:01:33.000 --> 00:01:36.660]   hello gets shorter, I guess, maybe, helloer.
[00:01:36.660 --> 00:01:40.640]   The reason why I wanted to start off with the riddle
[00:01:40.640 --> 00:01:44.960]   is because Samson was not only known for his strength,
[00:01:44.960 --> 00:01:48.440]   he was also known for his riddles.
[00:01:48.440 --> 00:01:52.120]   And so we're gonna start off Judges chapter 13.
[00:01:52.120 --> 00:01:56.080]   And how do you think Judges chapter 13 starts off?
[00:01:56.080 --> 00:01:59.740]   Actually, it starts off in exactly the same way
[00:01:59.740 --> 00:02:01.440]   as most of the chapters,
[00:02:01.440 --> 00:02:05.440]   that Israel did evil in the eyes of the Lord.
[00:02:05.440 --> 00:02:07.880]   So the Lord delivered them into the hands
[00:02:07.880 --> 00:02:10.680]   of the Philistines for 40 years.
[00:02:10.680 --> 00:02:13.920]   And so we see in the book of Judges,
[00:02:13.920 --> 00:02:16.800]   this continuous cycle, right?
[00:02:16.800 --> 00:02:21.640]   That there's peace and then Israel sins.
[00:02:21.640 --> 00:02:26.640]   They get caught up in their neighbors.
[00:02:26.640 --> 00:02:30.360]   Oh, I see my neighbor has a nice idol
[00:02:30.360 --> 00:02:32.920]   or my neighbor has this or that.
[00:02:32.920 --> 00:02:34.760]   I wanna become my neighbor.
[00:02:34.760 --> 00:02:38.640]   And they fall into sin and they start to worship other gods.
[00:02:38.640 --> 00:02:40.900]   And what happens is God punishes them
[00:02:40.900 --> 00:02:43.140]   and sends people to oppress them.
[00:02:43.140 --> 00:02:44.360]   Just like this time,
[00:02:44.360 --> 00:02:48.480]   the Philistines were oppressing Israel.
[00:02:48.480 --> 00:02:49.660]   And then usually what happens
[00:02:49.660 --> 00:02:51.940]   is there's a time of repentance, right?
[00:02:51.940 --> 00:02:53.340]   They say, "Sorry, God,
[00:02:53.340 --> 00:02:55.980]   we can't endure this suffering anymore.
[00:02:55.980 --> 00:02:58.140]   Lord, please help us."
[00:02:58.140 --> 00:03:00.820]   And then God sends them Judges, right?
[00:03:00.820 --> 00:03:02.540]   Like Ehud, like Deborah,
[00:03:02.540 --> 00:03:06.020]   like the people that we've been going through
[00:03:06.020 --> 00:03:07.420]   all these weeks.
[00:03:07.420 --> 00:03:09.860]   But however, this week is a little bit different.
[00:03:10.740 --> 00:03:13.260]   Israel did not repent.
[00:03:13.260 --> 00:03:17.820]   If you notice in chapter, in verse one there,
[00:03:17.820 --> 00:03:19.660]   Israel did not repent,
[00:03:19.660 --> 00:03:22.500]   but yet the Lord still delivered them,
[00:03:22.500 --> 00:03:26.080]   delivered them, sent them a deliver.
[00:03:26.080 --> 00:03:30.480]   And that's because God wanted to deliver them
[00:03:30.480 --> 00:03:35.480]   out of the hands of the Philistines and their corruption.
[00:03:37.580 --> 00:03:41.580]   And slowly their gods would be influencing
[00:03:41.580 --> 00:03:44.700]   the way they talk and their thinking and their beliefs.
[00:03:44.700 --> 00:03:48.620]   And God wanted to take them away from that.
[00:03:48.620 --> 00:03:50.720]   And so God sent a deliverer.
[00:03:50.720 --> 00:03:54.700]   And we see in verse two, as we continue to read there,
[00:03:54.700 --> 00:04:00.820]   "A certain man of Zorah named Menorah
[00:04:00.820 --> 00:04:02.860]   from the clan of the Danites
[00:04:02.860 --> 00:04:06.380]   had a wife who was childless, unable to give birth.
[00:04:06.380 --> 00:04:09.060]   The angel of the Lord appeared to her and said,
[00:04:09.060 --> 00:04:11.140]   "You are barren and childless,
[00:04:11.140 --> 00:04:13.300]   that you are going to become pregnant
[00:04:13.300 --> 00:04:15.200]   and give birth to a son.
[00:04:15.200 --> 00:04:18.060]   Now see to it that you drink no wine
[00:04:18.060 --> 00:04:19.860]   or other fermented drink,
[00:04:19.860 --> 00:04:23.300]   and that you do not eat anything unclean.
[00:04:23.300 --> 00:04:26.060]   You will become pregnant and have a son
[00:04:26.060 --> 00:04:29.580]   whose head is never touched by a razor
[00:04:29.580 --> 00:04:31.940]   because the boy is a Nazarite,
[00:04:31.940 --> 00:04:34.780]   dedicated to God from the womb.
[00:04:34.780 --> 00:04:37.260]   He will take the lead in delivering Israel
[00:04:37.260 --> 00:04:40.360]   from the hands of the Philistines."
[00:04:40.360 --> 00:04:44.740]   And so this angel of the Lord appeared
[00:04:44.740 --> 00:04:49.740]   to Samson's father, Zorah, and his wife.
[00:04:49.740 --> 00:04:56.480]   And chapter 13 continues with this amazing dialogue
[00:04:56.480 --> 00:05:02.200]   between the angel and Zorah and his wife.
[00:05:02.200 --> 00:05:04.240]   And these are just amazing parents.
[00:05:04.240 --> 00:05:06.380]   They were like, "Wow, we're gonna have a child.
[00:05:06.380 --> 00:05:08.520]   How can we take care of this child?"
[00:05:08.520 --> 00:05:12.040]   And they were like, "God, can you send this angel,
[00:05:12.040 --> 00:05:13.980]   this man of God back to us
[00:05:13.980 --> 00:05:18.480]   so that we can learn how to take care of this child?"
[00:05:18.480 --> 00:05:21.460]   And the angel of the Lord,
[00:05:21.460 --> 00:05:23.060]   they didn't know it was an angel at first,
[00:05:23.060 --> 00:05:26.080]   came back and he said to them, "You will become pregnant.
[00:05:26.080 --> 00:05:30.160]   Your wife must do all that I have told her.
[00:05:30.160 --> 00:05:31.960]   You must not eat anything
[00:05:31.960 --> 00:05:36.800]   that comes from the grape wine, nor drink any wine
[00:05:36.800 --> 00:05:39.460]   or fermented drink, nor eat anything unclean.
[00:05:39.460 --> 00:05:41.740]   She must do everything I have commanded."
[00:05:41.740 --> 00:05:47.040]   The woman gave birth to a boy and named him Samson.
[00:05:47.040 --> 00:05:49.520]   He grew and the Lord blessed him.
[00:05:49.520 --> 00:05:52.920]   And the spirit of the Lord began to stir him
[00:05:52.920 --> 00:05:56.880]   while he was in Mahana, Dan,
[00:05:56.880 --> 00:06:01.160]   and between Zorah and Eshtetl.
[00:06:02.120 --> 00:06:04.120]   All right, so we're gonna learn a couple things today
[00:06:04.120 --> 00:06:06.420]   about Samson the Nazarite.
[00:06:06.420 --> 00:06:10.200]   And we're gonna see five aspects of his story.
[00:06:10.200 --> 00:06:14.900]   Firstly, we're gonna see Samson's vow and then vice.
[00:06:14.900 --> 00:06:18.840]   He goes through some, everybody has their own vices.
[00:06:18.840 --> 00:06:21.080]   He goes through a period of affliction
[00:06:21.080 --> 00:06:25.780]   and then he has revenge and retaliation.
[00:06:25.780 --> 00:06:28.380]   Now, if you wanna remember these sort of points,
[00:06:28.380 --> 00:06:32.120]   you can remember VAR.
[00:06:32.120 --> 00:06:35.480]   I know some people don't like VAR for certain reasons
[00:06:35.480 --> 00:06:37.580]   because some goals are prevented.
[00:06:37.580 --> 00:06:39.860]   If you know what VAR is,
[00:06:39.860 --> 00:06:43.760]   you can have a Google of that if you don't know.
[00:06:43.760 --> 00:06:47.460]   And so VAR, the first one is vow, Samson's vow.
[00:06:47.460 --> 00:06:49.440]   Samson was a Nazarite.
[00:06:49.440 --> 00:06:53.000]   And what does it mean to be a Nazarite?
[00:06:53.000 --> 00:06:57.480]   Well, we see here that a Nazarite means to be separated
[00:06:57.480 --> 00:07:00.540]   or consecrated in special service for God.
[00:07:00.540 --> 00:07:04.980]   We see that in Numbers 6, verse 1 to 21.
[00:07:04.980 --> 00:07:05.920]   And what does it involve?
[00:07:05.920 --> 00:07:08.960]   It involves three restrictions, three restrictions.
[00:07:08.960 --> 00:07:12.520]   The first is you can't drink, okay?
[00:07:12.520 --> 00:07:16.360]   I know some people like their wine
[00:07:16.360 --> 00:07:18.460]   and this was one of the restrictions.
[00:07:18.460 --> 00:07:20.640]   You could not drink.
[00:07:20.640 --> 00:07:23.240]   Secondly, you could not cut your hair.
[00:07:23.240 --> 00:07:25.700]   I know, I'm sorry, Kathy,
[00:07:25.700 --> 00:07:27.840]   it wouldn't be good for your business, right?
[00:07:27.840 --> 00:07:29.940]   (laughs)
[00:07:29.940 --> 00:07:34.940]   If everybody was a Nazarite,
[00:07:34.940 --> 00:07:37.840]   it would not be good for the hairstylists.
[00:07:37.840 --> 00:07:41.880]   The last thing is you could not touch a dead body,
[00:07:41.880 --> 00:07:46.720]   human or animal, human or animal.
[00:07:46.720 --> 00:07:49.120]   And this is actually very similar
[00:07:49.120 --> 00:07:51.920]   to the vow of a high priest.
[00:07:51.920 --> 00:07:56.920]   The high priest also had these restrictions
[00:07:56.920 --> 00:08:00.860]   that they could not drink and similarly cut their hair
[00:08:00.860 --> 00:08:02.500]   or touch the unclean.
[00:08:02.500 --> 00:08:04.860]   And we see this in the book of Leviticus.
[00:08:04.860 --> 00:08:07.500]   If you look through the book of Leviticus,
[00:08:07.500 --> 00:08:10.100]   the high priest also has these certain
[00:08:10.100 --> 00:08:13.680]   similar sort of restrictions.
[00:08:13.680 --> 00:08:15.780]   And so we go to the story now.
