
[00:00:00.000 --> 00:00:07.000]  博導會 港福堂的弟兄姊妹
[00:00:07.000 --> 00:00:11.000]  我代表加拿大政道浸泳會美食堂的弟兄姊妹
[00:00:11.000 --> 00:00:13.000]  向大家問安
[00:00:13.000 --> 00:00:17.000]  亦多謝林牧師在此給我機會
[00:00:17.000 --> 00:00:20.000]  和大家分享這個重要的主題
[00:00:20.000 --> 00:00:24.000]  我寧努力前行 生命光輝烈烈
[00:00:24.000 --> 00:00:28.000]  底波拉的生命的解碼
[00:00:28.000 --> 00:00:35.000]  其實這次我來是本來是藉著香港去蒙古
[00:00:35.000 --> 00:00:40.000]  這次因為疫情 結果我沒有這個機會
[00:00:40.000 --> 00:00:46.000]  我記得過去已經有十年在亞洲培訓
[00:00:46.000 --> 00:00:51.000]  一直神在我內心的感動 我都沒有磨滅
[00:00:51.000 --> 00:00:53.000]  一直來追隨
[00:00:53.000 --> 00:00:56.000]  後來有些事改變了
[00:00:56.000 --> 00:00:59.000]  所以動向改變了 去了蒙古
[00:00:59.000 --> 00:01:03.000]  所以在去年去了蒙古
[00:01:03.000 --> 00:01:07.000]  但今年又有疫情去不了
[00:01:07.000 --> 00:01:09.000]  所以如果我不把握機會
[00:01:09.000 --> 00:01:13.000]  可能蒙古第一次都去不了
[00:01:13.000 --> 00:01:16.000]  所以機會是必須要把握的
[00:01:16.000 --> 00:01:21.000]  我知道大家之前探討過一本書
[00:01:21.000 --> 00:01:23.000]  《以斯帖記》
[00:01:23.000 --> 00:01:26.000]  《以斯帖記》有一個很重要的訊息
[00:01:26.000 --> 00:01:29.000]  其中一個說話很重要
[00:01:29.000 --> 00:01:32.000]  就是末底改提醒以斯帖皇后
[00:01:32.000 --> 00:01:37.000]  她說:「豈不知你今日得皇后的遺訓
[00:01:37.000 --> 00:01:39.000]  是為現今的機會
[00:01:39.000 --> 00:01:43.000]  我們需要把握上帝給我們的機會
[00:01:43.000 --> 00:01:46.000]  機會失去的時候就沒有了」
[00:01:46.000 --> 00:01:50.000]  同樣今日在《史詩記》裏
[00:01:50.000 --> 00:01:53.000]  很多的《史詩》披起
[00:01:53.000 --> 00:01:58.000]  就是神讓他們有機會
[00:01:58.000 --> 00:02:01.000]  他們自己也能夠把握機會
[00:02:01.000 --> 00:02:06.000]  來承接這個時代的挑戰
[00:02:06.000 --> 00:02:12.000]  《史詩記》最大的特點是
[00:02:12.000 --> 00:02:18.000]  「人心中沒有王 各人任意而行」
[00:02:18.000 --> 00:02:24.000]  當時的世代總結兩個重點
[00:02:24.000 --> 00:02:29.000]  是道德淪落和宗教淪落
[00:02:29.000 --> 00:02:30.000]  你可以看到
