
[00:00:00.000 --> 00:00:08.640]  主持人:我們繼續說時事記的系列
[00:00:08.640 --> 00:00:13.360]  我們之前已經和大家完成了六個大循環
[00:00:13.360 --> 00:00:16.560]  關於時事記裏面所描述
[00:00:16.560 --> 00:00:21.360]  當時社會神的子民墮落的光景
[00:00:21.360 --> 00:00:23.120]  但神怎樣拯救他們
[00:00:23.120 --> 00:00:26.320]  題目是「一個家族如何墮落」
[00:00:26.320 --> 00:00:27.680]  大家不要誤會
[00:00:27.680 --> 00:00:30.880]  這兩張聖經在時事記17、18章
[00:00:30.880 --> 00:00:33.120]  不是說一個大的家族
[00:00:33.120 --> 00:00:35.680]  而是說一個家庭在17章
[00:00:35.680 --> 00:00:39.760]  和一個族群在說蛋的支派
[00:00:39.760 --> 00:00:41.360]  當大家明白了的時候
[00:00:41.360 --> 00:00:43.920]  我們一會兒一起去研讀
[00:00:43.920 --> 00:00:47.200]  這兩張聖經給我們有很寶貴的訊息
[00:00:47.200 --> 00:00:49.120]  和有很多提醒
[00:00:49.120 --> 00:00:52.640]  究竟一個家庭和一個族群的墮落
[00:00:52.640 --> 00:00:54.240]  我們可以看到
[00:00:54.240 --> 00:00:58.560]  和這個所謂墮落的循環有沒有關聯呢?
[00:00:58.560 --> 00:01:04.080]  我們會看見昔日神的百姓因為犯罪
[00:01:04.080 --> 00:01:08.560]  神將他們交給外邦人來壓迫他們
[00:01:08.560 --> 00:01:11.040]  他們在仇虎裏面向神呼求
[00:01:11.040 --> 00:01:14.880]  神就來讓他們得著這份拯救
[00:01:14.880 --> 00:01:18.160]  我們也看見這個循環
[00:01:18.160 --> 00:01:22.240]  在我們最後這五張聖經並沒有出現
[00:01:22.240 --> 00:01:25.440]  我們會看見為何要這樣做呢?
[00:01:25.440 --> 00:01:29.920]  其實這個事實記載的作者是有原因的
[00:01:29.920 --> 00:01:35.360]  他很想我們看見結束的這五個段落
[00:01:35.360 --> 00:01:38.880]  其實是說兩個真實的故事
[00:01:38.880 --> 00:01:43.120]  是用來對比在前文的兩個隱言
[00:01:43.120 --> 00:01:45.440]  如果大家記得隱言
[00:01:45.440 --> 00:01:49.760]  第一章是說以色列人要得著這些地的話
[00:01:49.760 --> 00:01:51.120]  他們就要征戰
[00:01:51.120 --> 00:01:53.120]  但可惜他們妥協
[00:01:53.120 --> 00:01:57.200]  他們沒有信心去得著神應許他們的地業
[00:01:57.200 --> 00:01:59.680]  結果我們看見那個屬靈的原因
[00:01:59.680 --> 00:02:02.800]  就是他們去拜外邦人的神
[00:02:02.800 --> 00:02:04.880]  之後第三章到十六章
[00:02:04.880 --> 00:02:07.760]  有六個他們墮落的循環
[00:02:07.760 --> 00:02:09.920]  神怎樣私恩拯救他們
[00:02:09.920 --> 00:02:12.640]  而最後在這五章裏面
[00:02:12.640 --> 00:02:15.280]  我們今天會先看十七、十八章
[00:02:15.280 --> 00:02:18.720]  就是一個宗教的崩壞
[00:02:18.720 --> 00:02:22.560]  和這個彈的支派他們的問題
[00:02:22.560 --> 00:02:27.040]  下一次我們會說十九到二十一章
[00:02:27.040 --> 00:02:29.040]  是道德的淪亡
[00:02:29.040 --> 00:02:31.920]  在當中兩件的罪事
[00:02:31.920 --> 00:02:36.800]  都是牽涉有利未人在當中的問題而發生的
[00:02:36.800 --> 00:02:41.920]  我們會逐一和大家去講這些細節
[00:02:41.920 --> 00:02:44.800]  但兩個罪事的結論是重要
[00:02:44.800 --> 00:02:47.920]  因為在十七章六節和二十一章二十五節
[00:02:47.920 --> 00:02:51.680]  告訴我們當時以色列沒有王
[00:02:51.680 --> 00:02:53.200]  各人怎樣做
[00:02:53.200 --> 00:02:57.760]  他們就照自己眼中看為對的去做
[00:02:57.760 --> 00:03:01.040]  是因為他們心裏沒有以神為神
[00:03:01.040 --> 00:03:03.680]  不再尊神為他們的王
[00:03:03.680 --> 00:03:05.840]  結果他們任意妄為
[00:03:05.840 --> 00:03:09.440]  很多的悲劇和墮落就是從此開始
[00:03:09.440 --> 00:03:12.640]  我們回看《士之紀》的大綱
[00:03:12.640 --> 00:03:18.720]  頭兩章和後來的結尾五章聖經
[00:03:18.720 --> 00:03:20.720]  其實是前呼後應的
[00:03:20.720 --> 00:03:23.520]  第一章與外邦的爭鬥
[00:03:23.520 --> 00:03:26.160]  和最後的三章是他們變成自己人
[00:03:26.160 --> 00:03:28.560]  打自己人的一個內鬥
[00:03:28.560 --> 00:03:32.960]  而在中間第二章和第十七十八章
[00:03:32.960 --> 00:03:37.360]  就是他們以前敬拜的外邦偶像
[00:03:37.360 --> 00:03:41.440]  但現在他們的屬靈墮落問題的關鍵
[00:03:41.440 --> 00:03:44.640]  就是他們再不是敬拜外邦的偶像
[00:03:44.640 --> 00:03:46.960]  他們自己製造偶像
[00:03:46.960 --> 00:03:51.440]  即是墮落的層次越來越深
[00:03:51.440 --> 00:03:55.360]  我們今天來看第十七十八章的時候
[00:03:55.360 --> 00:04:00.640]  我是參考了吳獻章牧師所說的故事
[00:04:00.640 --> 00:04:03.760]  我覺得他這個大綱是比我們清楚的
[00:04:03.760 --> 00:04:05.440]  又是一個對比
[00:04:05.440 --> 00:04:08.960]  第十七章一開始是說一個家庭
[00:04:08.960 --> 00:04:12.800]  這個米家家庭怎樣自己設立祭壇
