
[00:00:00.000 --> 00:00:02.000]  各位節目的早晨
[00:00:02.000 --> 00:00:06.520]  今早和大家繼續分享彼得後書
[00:00:06.520 --> 00:00:10.700]  我亦會接續上星期李文耀博士在我們當中
[00:00:10.700 --> 00:00:16.800]  分享關於這本書裏面第二章的訊息
[00:00:16.800 --> 00:00:24.640]  當我們來看這個彼得後書第三章的時候
[00:00:24.640 --> 00:00:28.760]  其實是緊接著第二章
[00:00:28.760 --> 00:00:31.120]  第二章裏面所說的
[00:00:31.120 --> 00:00:35.920]  正正是描述當時那班假教師
[00:00:35.920 --> 00:00:40.800]  他們怎樣去歪曲上帝的真理
[00:00:40.800 --> 00:00:46.600]  膽大任性而且不尊重上帝的主權
[00:00:46.600 --> 00:00:51.360]  他們自設界線以為自己就是權威
[00:00:51.360 --> 00:00:55.320]  甚至是任意妄為為利是圖
[00:00:55.320 --> 00:01:00.240]  所以當我們看教會歷史裏面
[00:01:00.240 --> 00:01:02.640]  我們都不會覺得稀奇
[00:01:02.640 --> 00:01:06.520]  就是總有一些假先知、假教師
[00:01:06.520 --> 00:01:09.080]  他們要混亂神的道
[00:01:09.080 --> 00:01:11.680]  有真一定有假
[00:01:11.680 --> 00:01:15.160]  而且你今日有時看見藥房
[00:01:15.160 --> 00:01:16.680]  有時買一些藥
[00:01:16.680 --> 00:01:20.880]  原來越出名的藥就越有假的
[00:01:20.880 --> 00:01:24.160]  所以要辯證那個人是真還是假
[00:01:24.160 --> 00:01:25.720]  最重要是什麼?
[00:01:25.720 --> 00:01:28.440]  你就要熟習那個真的是怎樣
[00:01:28.440 --> 00:01:31.520]  所以你用神的話去判斷
[00:01:31.520 --> 00:01:35.000]  這個是最安全也是最穩妥的
[00:01:35.000 --> 00:01:37.480]  今日我們如果不熟悉神的話語
[00:01:37.480 --> 00:01:40.880]  就很容易在這個彎曲薄茂的世代
[00:01:40.880 --> 00:01:44.200]  被很多的妖言惑眾的學說
[00:01:44.200 --> 00:01:46.360]  甚至在基督教裏面
[00:01:46.360 --> 00:01:49.400]  也有一些所謂假先知、假教師
[00:01:49.400 --> 00:01:51.560]  來混亂神的話
[00:01:51.560 --> 00:01:55.240]  我們來看回這個第三章的時候
[00:01:55.240 --> 00:01:58.760]  就讓我們首先來看見
[00:01:58.760 --> 00:02:02.160]  彼得是很希望神的兒女們
[00:02:02.160 --> 00:02:04.160]  我們都能夠很清晰的
[00:02:04.160 --> 00:02:07.720]  我們來找到我們今日在祂的面前
[00:02:07.720 --> 00:02:10.600]  我們應該學習的功課
[00:02:10.600 --> 00:02:15.240]  首先我們會來明白
