
[00:00:00.000 --> 00:00:06.000]  各位姐妹早晨 大家平安
[00:00:06.000 --> 00:00:10.000]  今天說平安真的不是必然
[00:00:10.000 --> 00:00:16.000]  我們剛剛香港經歷了世紀的一個很巨大的黑雨
[00:00:16.000 --> 00:00:20.000]  我在這裡先跟大家說一點
[00:00:20.000 --> 00:00:24.000]  我剛剛前天看到一些資訊
[00:00:24.000 --> 00:00:30.000]  聯合國說到今年6月到8月
[00:00:30.000 --> 00:00:35.000]  全世界平均氣溫高達16.77度
[00:00:35.000 --> 00:00:44.000]  比起1990到2020年的平均氣溫高出0.66度
[00:00:44.000 --> 00:00:50.000]  令到2023年的夏天成為人類歷史最熱的一年
[00:00:50.000 --> 00:00:54.000]  不知道你覺不覺得呢?
[00:00:54.000 --> 00:01:02.000]  有時我們在中環這些商場裏面
[00:01:02.000 --> 00:01:08.000]  經常在冷氣的情況下有時感覺不到
[00:01:08.000 --> 00:01:11.000]  但你一走出去就很厲害
[00:01:11.000 --> 00:01:16.000]  天文台也跟我們說到
[00:01:16.000 --> 00:01:21.000]  香港是經歷了一個有紀錄以來最炎熱的夏季
[00:01:21.000 --> 00:01:27.000]  6月到8月平均氣溫是破紀錄的29.7度
[00:01:27.000 --> 00:01:31.000]  平均最高氣溫是32.4度
[00:01:31.000 --> 00:01:34.000]  最低氣溫是27.6度
[00:01:34.000 --> 00:01:38.000]  兩者都是同期有紀錄以來的第二高
[00:01:38.000 --> 00:01:42.000]  上月 也就是說8月的時候
[00:01:42.000 --> 00:01:45.000]  正常是少了雨水
[00:01:45.000 --> 00:01:51.000]  本年度首8個月的累積雨量是少了大概四成
[00:01:51.000 --> 00:01:54.000]  但剛剛我們大家都知道
[00:01:54.000 --> 00:01:59.000]  禮拜五那天就是世紀黑雨
[00:01:59.000 --> 00:02:06.000]  短短十幾個小時就下了我們一年的四分一的雨量
[00:02:06.000 --> 00:02:10.000]  這是很多科學家都擔心的一件事
[00:02:10.000 --> 00:02:13.000]  就是極端的天氣會繼續頻繁
[00:02:13.000 --> 00:02:19.000]  而且這種情況是會越來越出現
[00:02:19.000 --> 00:02:25.000]  不會說很久才發生
[00:02:25.000 --> 00:02:27.000]  所以今年那些颱風都很奇怪
[00:02:27.000 --> 00:02:32.000]  大家看到上個星期颱風真的很奇怪
[00:02:32.000 --> 00:02:35.000]  明明是吹去高雄那邊的
[00:02:35.000 --> 00:02:39.000]  誰知道一個尾十就打來香港
[00:02:39.000 --> 00:02:43.000]  我們看到在這個大時代裏面
[00:02:43.000 --> 00:02:46.000]  實在有很多的事情
[00:02:46.000 --> 00:02:48.000]  無論是天災人禍
[00:02:48.000 --> 00:02:51.000]  很多這些離經背道的事情
[00:02:51.000 --> 00:02:53.000]  甚至道德淪亡的事情
[00:02:53.000 --> 00:02:56.000]  其實在在都是提醒我們
[00:02:56.000 --> 00:03:00.000]  主耶穌他回來之前這個世界是有很多的混亂
[00:03:00.000 --> 00:03:02.000]  但我們要問自己一個問題
[00:03:02.000 --> 00:03:04.000]  我們今天作為神的兒女
[00:03:04.000 --> 00:03:06.000]  我們說我們是基督徒
[00:03:06.000 --> 00:03:12.000]  我們是怎樣活出這種基督門生
[00:03:12.000 --> 00:03:15.000]  作為基督門徒的這種生命呢?
[00:03:15.000 --> 00:03:21.000]  今天讓我們在耶穌基督和猶太人的領袖的對話裏面
[00:03:21.000 --> 00:03:24.000]  讓我們可以看到主耶穌怎樣很有智慧
[00:03:24.000 --> 00:03:30.000]  來辯解他的主權
[00:03:30.000 --> 00:03:33.000]  他的主權其實是無可置疑的
[00:03:33.000 --> 00:03:38.000]  不過是我們今天我們是否真正傳言跟隨主
[00:03:38.000 --> 00:03:40.000]  和去信服他
[00:03:40.000 --> 00:03:43.000]  所以讓我們來看我們今天這段經文之前
[00:03:43.000 --> 00:03:46.000]  我們還記得上個星期
[00:03:46.000 --> 00:03:49.000]  如果大家有聽到林朗熙傳道講到
[00:03:49.000 --> 00:03:56.000]  耶穌怎樣在耶路撒冷這個聖殿裏面進行這個潔淨
[00:03:56.000 --> 00:03:59.000]  而引至那班猶太人的領袖
[00:03:59.000 --> 00:04:02.000]  祭司長、文士和長老
[00:04:02.000 --> 00:04:07.000]  這三個身份和地位的人
[00:04:07.000 --> 00:04:13.000]  正正就是代表著第一世紀猶太人那種的生活
[00:04:13.000 --> 00:04:15.000]  和他們的聖殿敬拜
[00:04:15.000 --> 00:04:20.000]  歸入這個所謂猶太的工會
[00:04:20.000 --> 00:04:23.000]  這個工會不是Labor Union那些
[00:04:23.000 --> 00:04:25.000]  這個工會在英文的翻譯就是St.Hedron
[00:04:25.000 --> 00:04:28.000]  在他們裏面有71個議員
[00:04:28.000 --> 00:04:32.000]  這些議員包括祭司長
[00:04:32.000 --> 00:04:35.000]  祭司長原來在當時來說
[00:04:35.000 --> 00:04:39.000]  他不只是一個管理聖殿的人
[00:04:39.000 --> 00:04:41.000]  那個最高領導人
[00:04:41.000 --> 00:04:45.000]  原來他是不斷要和羅馬政權打交道
[00:04:45.000 --> 00:04:48.000]  他一方面要來監察民意
[00:04:48.000 --> 00:04:56.000]  另一方面是要和羅馬政權保持一種關係
[00:04:56.000 --> 00:05:00.000]  我們看到他們這個議會
[00:05:00.000 --> 00:05:03.000]  其實就是要治理猶太人
[00:05:03.000 --> 00:05:06.000]  他們平日的生活和他們敬拜的生活
[00:05:06.000 --> 00:05:09.000]  所以整個聖殿的體制
[00:05:09.000 --> 00:05:13.000]  就在當時他們要求那些人
[00:05:13.000 --> 00:05:15.000]  來到去獻祭的時候
[00:05:15.000 --> 00:05:18.000]  就要兌換那些聖殿的錢幣
[00:05:18.000 --> 00:05:20.000]  他們平時用的錢幣
[00:05:20.000 --> 00:05:24.000]  就有羅馬凱撒大帝的頭像
[00:05:24.000 --> 00:05:28.000]  他說你來到聖殿捐獻就要換
[00:05:28.000 --> 00:05:31.000]  這個換取聖殿的錢幣
[00:05:31.000 --> 00:05:33.000]  來敬拜神 奉獻
[00:05:33.000 --> 00:05:36.000]  其實是一個過程他們是盈利的
[00:05:36.000 --> 00:05:41.000]  其實當時這個聖殿不是非牟利
[00:05:41.000 --> 00:05:43.000]  是成為一個牟利的團體
[00:05:43.000 --> 00:05:47.000]  還有你們來到獻牛羊的時候
[00:05:47.000 --> 00:05:48.000]  為了方便那些人
[00:05:48.000 --> 00:05:52.000]  有些窮人就給他們買甲子
[00:05:52.000 --> 00:05:56.000]  所以聖殿是有一個很大的生意
[00:05:56.000 --> 00:05:59.000]  就是這些宗教領袖容許那些人
[00:05:59.000 --> 00:06:02.000]  在這裡作這種買賣
[00:06:02.000 --> 00:06:04.000]  但這個買賣背後
[00:06:04.000 --> 00:06:08.000]  其實是有一種不公義的制度產生
[00:06:08.000 --> 00:06:10.000]  耶穌見到的時候
[00:06:10.000 --> 00:06:12.000]  他非常的憤怒
[00:06:12.000 --> 00:06:14.000]  他說你們將萬國祈禱的殿
[00:06:14.000 --> 00:06:18.000]  為什麼變成一個買賣的地方
[00:06:18.000 --> 00:06:19.000]  變成賊窩
[00:06:19.000 --> 00:06:24.000]  耶穌這種責備是非常的嚴重
[00:06:24.000 --> 00:06:26.000]  但是一個事實
[00:06:26.000 --> 00:06:27.000]  指出來的時候
[00:06:27.000 --> 00:06:30.000]  這班領袖的內心就很不滿
[00:06:30.000 --> 00:06:33.000]  他們就非常的對耶穌
