
[00:00:00.000 --> 00:00:03.300]  好 弟兄姊妹 大家平安
[00:00:03.300 --> 00:00:06.640]  非常感恩我們又能聚在一起
[00:00:06.640 --> 00:00:09.000]  同心來敬拜我們的神
[00:00:09.000 --> 00:00:11.400]  也要聆聽主的真道
[00:00:11.400 --> 00:00:15.200]  那麼 繼續我們約書亞祭的講道系列呢
[00:00:15.200 --> 00:00:18.200]  今天已經來到了這個書卷
[00:00:18.200 --> 00:00:22.300]  記載的末段 來到了第23章
[00:00:22.300 --> 00:00:25.400]  要和大家一起思想的主題呢
[00:00:25.400 --> 00:00:27.700]  就是關於當時
[00:00:27.700 --> 00:00:31.900]  約書亞要吩咐給他的子民聽到的
[00:00:31.900 --> 00:00:35.100]  兩種終極人生的結局
[00:00:35.100 --> 00:00:38.900]  一種是福 一種是禍
[00:00:38.900 --> 00:00:42.100]  這段經文呢 有它的背景
[00:00:42.100 --> 00:00:46.300]  當時照著神所應許給以色列民的
[00:00:46.300 --> 00:00:48.700]  這塊地也給了他們了
[00:00:48.700 --> 00:00:52.900]  要每個支派分的自己的地圖
[00:00:52.900 --> 00:00:55.900]  也都念究分給了他們
[00:00:55.900 --> 00:01:00.900]  甚至於主的賜福多過了以色列民的所想所求
[00:01:00.900 --> 00:01:03.900]  不但是約旦河的左邊
[00:01:03.900 --> 00:01:09.500]  連右邊也都一起分給了另外的兩個半支派
[00:01:09.500 --> 00:01:13.900]  所以以東以西都成為了以色列民的產業
[00:01:13.900 --> 00:01:16.700]  那麼這時的約書亞呢
[00:01:16.700 --> 00:01:21.300]  也不再是當年那個意氣風發的青壯年了
[00:01:21.300 --> 00:01:24.100]  按照經文我們可以看到
[00:01:24.100 --> 00:01:27.100]  此時的約書亞怎麼樣了
[00:01:27.100 --> 00:01:29.900]  年紀老邁了
[00:01:29.900 --> 00:01:31.900]  對了 就是經文的背景
[00:01:31.900 --> 00:01:34.900]  那年紀老邁了以後怎麼辦呢
[00:01:34.900 --> 00:01:37.300]  我們看到了第二節這裡
[00:01:37.300 --> 00:01:40.900]  所以呢 約書亞就把以色列眾人的
[00:01:40.900 --> 00:01:45.700]  長老 族長 審判官和官長
[00:01:45.700 --> 00:01:48.700]  都召來了 並和他們說話
[00:01:48.700 --> 00:01:51.500]  說的話的內容一開始說了
[00:01:51.500 --> 00:01:53.500]  我年紀老邁了
[00:01:53.500 --> 00:01:57.100]  不是陳述這樣一個年紀老邁的事實
[00:01:57.100 --> 00:02:01.700]  而是在之後有特別重要的生命的託付
