
[00:00:00.000 --> 00:00:04.680]  我們繼續我們的系列
[00:00:04.680 --> 00:00:08.560]  其實我上次第一次講第一章的時候
[00:00:08.560 --> 00:00:12.080]  我也有講過分裂的問題
[00:00:12.080 --> 00:00:15.000]  即是保羅正在談論這個教會
[00:00:15.000 --> 00:00:17.760]  就是哥倫多教會的一些問題
[00:00:17.760 --> 00:00:21.640]  我們很喜歡上次Pastor Johnny
[00:00:21.640 --> 00:00:23.840]  他在下一版的時候講到
[00:00:23.840 --> 00:00:26.240]  他講到有世界性的基督徒
[00:00:26.240 --> 00:00:30.520]  Vibe Christian 和 Spiritual Christian
[00:00:30.520 --> 00:00:34.040]  不知道大家有沒有回去想想這幾個詞語
[00:00:34.040 --> 00:00:36.320]  我也有回去想一想
[00:00:36.320 --> 00:00:38.240]  檢視一下自己的生命
[00:00:38.240 --> 00:00:39.480]  我先回顧一下
[00:00:39.480 --> 00:00:42.760]  其實原來Christian也分幾種
[00:00:42.760 --> 00:00:45.160]  不是Christian就是Christian
[00:00:45.160 --> 00:00:48.200]  原來Christian也有三種
[00:00:48.200 --> 00:00:49.800]  Christian也有
[00:00:49.800 --> 00:00:51.960]  我們這裡分為三種
[00:00:51.960 --> 00:00:53.640]  有Worldly Christian
[00:00:53.640 --> 00:00:56.640]  Christian也可以是Worldly
[00:00:56.640 --> 00:01:00.840]  是不是那種很會洗臉的那種
[00:01:00.840 --> 00:01:03.520]  Worldly Christian是可能我們
[00:01:03.520 --> 00:01:06.160]  星期天我們有回來教會
[00:01:06.160 --> 00:01:07.920]  但是我們星期一至六
[00:01:07.920 --> 00:01:09.440]  我們就繼續在外面
[00:01:09.440 --> 00:01:11.520]  哇 那個精彩
[00:01:11.520 --> 00:01:15.040]  我們可能繼續回去欺負隔壁的同學
[00:01:15.040 --> 00:01:17.200]  或者繼續回去吹牛
[00:01:17.200 --> 00:01:19.160]  這個就是Worldly Christian
[00:01:19.160 --> 00:01:21.160]  Vibe Christian就是
[00:01:21.160 --> 00:01:24.360]  哇 今天要來教會接靈氣
[00:01:24.360 --> 00:01:27.240]  所以我就感覺到
[00:01:27.240 --> 00:01:29.000]  感覺到今天要回教會
[00:01:29.000 --> 00:01:31.320]  我相信今天這裡應該沒有人是這樣
[00:01:31.320 --> 00:01:35.080]  是的 但是當他不感覺到
[00:01:35.080 --> 00:01:37.960]  我就不用了 不用預我了
[00:01:37.960 --> 00:01:40.200]  Spiritual Christian就是
[00:01:40.200 --> 00:01:44.440]  當我們真的在生命裡面
[00:01:44.440 --> 00:01:46.480]  我們有不同的狀況
[00:01:46.480 --> 00:01:47.800]  或者有挑戰的時候
[00:01:47.800 --> 00:01:50.800]  我們願意去抓緊上帝
[00:01:50.800 --> 00:01:53.000]  不只是星期天我們抓緊上帝
[00:01:53.000 --> 00:01:55.200]  是星期天到星期日
[00:01:55.200 --> 00:01:58.560]  還有星期天也要抓緊上帝
[00:01:58.560 --> 00:02:01.040]  這個是分別
[00:02:01.040 --> 00:02:02.240]  這個很重要
[00:02:02.240 --> 00:02:04.120]  因為當我們只是以為
[00:02:04.120 --> 00:02:06.600]  Christian只有一種的時候會危險
[00:02:06.600 --> 00:02:07.840]  因為你會看到
[00:02:07.840 --> 00:02:11.160]  為什麼我身邊的人說自己Christian是這樣
[00:02:11.160 --> 00:02:13.320]  是對的 是因為有種的
[00:02:13.320 --> 00:02:14.120]  是有分的
[00:02:14.120 --> 00:02:15.320]  是有Worldly 是有Vibe
[00:02:15.320 --> 00:02:17.080]  是有Spiritual Christian
[00:02:17.080 --> 00:02:18.080]  我們看下一頁
[00:02:18.080 --> 00:02:21.640]  不知道大家看到這一句話
[00:02:21.640 --> 00:02:23.240]  這一句Phrase的時候
[00:02:23.240 --> 00:02:25.680]  會不會有什麼感受呢
[00:02:25.680 --> 00:02:27.600]  「不是屬靈的」
[00:02:27.600 --> 00:02:30.000]  如果你看到這一句
[00:02:30.000 --> 00:02:32.120]  「不是屬靈的」
[00:02:32.120 --> 00:02:34.160]  就例如當我或你
[00:02:34.160 --> 00:02:35.800]  不是屬靈的時候
[00:02:35.800 --> 00:02:37.480]  你會有些Ouch的時候
[00:02:37.480 --> 00:02:38.880]  我不是屬靈的
[00:02:38.880 --> 00:02:41.000]  我也有看Bible
[00:02:41.000 --> 00:02:43.440]  那究竟你是這個反應
[00:02:43.440 --> 00:02:45.760]  還是當你看到這個Phrase的時候
[00:02:45.760 --> 00:02:49.600]  其實也沒有什麼特別
[00:02:49.600 --> 00:02:51.520]  如果你是後者
[00:02:51.520 --> 00:02:54.080]  我就有點擔心
[00:02:54.080 --> 00:02:55.680]  真的要去想一下
[00:02:55.680 --> 00:02:58.120]  為什麼我們要回來教會
[00:02:58.120 --> 00:03:01.280]  因為如果我們回來教會
[00:03:01.280 --> 00:03:03.840]  只是為了Please別人的想法
[00:03:03.840 --> 00:03:07.040]  可能這一句話對我們來說
[00:03:07.040 --> 00:03:08.600]  不是那麼重要
[00:03:08.600 --> 00:03:11.080]  但是如果這一句話對你重要的話
[00:03:11.080 --> 00:03:14.520]  究竟我們今天要怎麼去Please神呢
[00:03:14.520 --> 00:03:16.520]  在我們的生命
[00:03:16.520 --> 00:03:18.680]  為什麼會說到第一句
[00:03:18.680 --> 00:03:19.800]  「但不是屬靈」呢
[00:03:19.800 --> 00:03:21.520]  就是因為保羅在說
[00:03:21.520 --> 00:03:23.520]  哥倫多教會不是屬靈的
[00:03:23.520 --> 00:03:24.600]  在下一頁的時候
[00:03:24.600 --> 00:03:28.200]  保羅說到哥倫多教會不是屬靈
[00:03:28.200 --> 00:03:30.880]  我們經文就會看到
[00:03:30.880 --> 00:03:32.680]  哥倫多教會不是屬靈
[00:03:32.680 --> 00:03:33.880]  它有個Term
[00:03:33.880 --> 00:03:36.680]  形容他們是什麼
[00:03:36.680 --> 00:03:37.760]  鷹蟹
[00:03:37.760 --> 00:03:38.760]  BB仔
[00:03:38.760 --> 00:03:39.960]  形容他們是鷹蟹
[00:03:39.960 --> 00:03:41.760]  鷹蟹多數吃什麼
[00:03:41.760 --> 00:03:44.120]  喜歡吃薯片還是什麼
[00:03:44.120 --> 00:03:46.000]  吃奶的
[00:03:46.000 --> 00:03:48.120]  他們能不能吃飯
[00:03:48.120 --> 00:03:50.240]  如果你餵飯給他們吃
[00:03:50.240 --> 00:03:51.320]  對,還沒得住
[00:03:51.320 --> 00:03:53.320]  做媽媽的應該很清楚
[00:03:53.320 --> 00:03:54.960]  如果你餵飯給他們
[00:03:54.960 --> 00:03:57.960]  他們的消化系統根本還沒準備好
[00:03:57.960 --> 00:04:00.960]  飯可以放進去
[00:04:00.960 --> 00:04:04.480]  所以保羅在這裡形容
[00:04:04.480 --> 00:04:06.800]  其實是用這個Metaphor
[00:04:06.800 --> 00:04:10.160]  去形容他們屬靈的程度
[00:04:10.160 --> 00:04:14.160]  他們的Spiritual Maturity
[00:04:14.160 --> 00:04:19.480]  所以當他們還是像鷹蟹一樣
[00:04:19.480 --> 00:04:20.560]  在喝奶的時候
[00:04:20.560 --> 00:04:21.560]  代表什麼呢?
[00:04:21.560 --> 00:04:22.560]  不用擔心
[00:04:22.560 --> 00:04:24.160]  可能有些難的Term
[00:04:24.160 --> 00:04:27.160]  我等一下會有些Example
[00:04:27.160 --> 00:04:28.560]  有些MC題
[00:04:28.560 --> 00:04:30.160]  我們去試一下回答
[00:04:30.160 --> 00:04:32.160]  我已經分了一些篇了
[00:04:32.160 --> 00:04:34.880]  只要在以下的答案裡面
[00:04:34.880 --> 00:04:38.880]  選擇你最能連繫到的答案就行了
[00:04:38.880 --> 00:04:40.880]  我們試一下
[00:04:40.880 --> 00:04:42.560]  你最能連繫到的答案就行了
[00:04:42.560 --> 00:04:44.560]  我現在先不說Right or Wrong
[00:04:44.560 --> 00:04:46.760]  你最能連繫到的答案就行了
[00:04:46.760 --> 00:04:51.760]  當你在學校有朋友傷害你的時候
[00:04:51.760 --> 00:04:54.080]  Emotional Damage
[00:04:54.080 --> 00:04:56.680]  A. 你看到他的時候
[00:04:56.680 --> 00:04:59.160]  你會當沒事發生過
[00:04:59.160 --> 00:05:01.080]  B. 你先不用舉手
[00:05:01.080 --> 00:05:02.160]  等一下會叫你
[00:05:02.160 --> 00:05:03.960]  B. 我看到他的時候
