
[00:00:00.000 --> 00:00:05.840]   Good evening, everyone.
[00:00:05.840 --> 00:00:06.840]   It's great to be back.
[00:00:06.840 --> 00:00:07.840]   How long has it been now?
[00:00:07.840 --> 00:00:08.840]   Four months, actually.
[00:00:08.840 --> 00:00:14.400]   People ask, "How come you have such a long maternity leave?"
[00:00:14.400 --> 00:00:15.520]   I don't.
[00:00:15.520 --> 00:00:17.360]   It's maternity plus holiday.
[00:00:17.360 --> 00:00:21.800]   So I'm finally back, and I'm really glad to be here.
[00:00:21.800 --> 00:00:26.640]   It's the first time I am sharing a message where my baby's out of me.
[00:00:26.640 --> 00:00:30.800]   Because a few times I think I was pregnant while I was doing it.
[00:00:30.800 --> 00:00:35.480]   So, yeah, I'm just happy to be here, and I've missed all of you.
[00:00:35.480 --> 00:00:41.320]   And it was so good that I got to join the retreat, and we got to just hang out for a
[00:00:41.320 --> 00:00:42.320]   little bit.
[00:00:42.320 --> 00:00:44.640]   So don't mind my voice.
[00:00:44.640 --> 00:00:49.320]   It has been like this ever since the baby was born, for obvious reasons.
[00:00:49.320 --> 00:00:51.000]   Not enough sleep.
[00:00:51.000 --> 00:00:54.920]   But let us continue today on what we've just seen.
[00:00:54.920 --> 00:00:57.280]   So today we are on the parables.
[00:00:57.280 --> 00:00:58.280]   What is this about?
[00:00:58.280 --> 00:00:59.640]   The tenants.
[00:00:59.640 --> 00:01:06.360]   And as you just saw, I think it's a parable that we are either quite familiar with, or
[00:01:06.360 --> 00:01:08.880]   it's not hard to understand.
[00:01:08.880 --> 00:01:16.260]   Because there was a landlord, and he planted this vineyard where there's a lot of produce.
[00:01:16.260 --> 00:01:21.920]   But instead of doing it himself, he has hired these other farmers to help him.
[00:01:21.920 --> 00:01:27.760]   Unfortunately, though, at the time of harvest, when it was the time to give the goods, or
[00:01:27.760 --> 00:01:33.400]   at least a part of it, back to the landowner, it seemed like they were not willing.
[00:01:33.400 --> 00:01:37.840]   Because the very first one, what did they do to him?
[00:01:37.840 --> 00:01:38.840]   Beat him up.
[00:01:38.840 --> 00:01:39.840]   Yeah.
[00:01:39.840 --> 00:01:46.560]   And the second one, also, except in a shameful way, according to what the Bible said.
[00:01:46.560 --> 00:01:47.960]   And the third one as well.
[00:01:48.000 --> 00:01:55.400]   I mean, we're not quite sure what's the difference between beating someone up and hitting him.
[00:01:55.400 --> 00:01:59.020]   But all we know is that they've treated them harshly.
