
[00:00:00.000 --> 00:00:03.120]   (audio cuts out)
[00:00:03.120 --> 00:00:05.080]   Open up this word.
[00:00:05.080 --> 00:00:05.920]   Actually, what did you think
[00:00:05.920 --> 00:00:07.920]   you were coming here for this evening?
[00:00:07.920 --> 00:00:09.240]   Were you just kind of filling in a gap
[00:00:09.240 --> 00:00:11.240]   just before your reservation?
[00:00:11.240 --> 00:00:12.300]   Or is this just what you do,
[00:00:12.300 --> 00:00:14.740]   or your parents tell you to come, whatever it might be?
[00:00:14.740 --> 00:00:17.040]   I think when it comes to church, for me,
[00:00:17.040 --> 00:00:20.820]   I'm getting this deeper and deeper sense
[00:00:20.820 --> 00:00:23.440]   of gratitude and reverence as to we're coming here
[00:00:23.440 --> 00:00:25.940]   because we're gathered here for Him.
[00:00:25.940 --> 00:00:26.780]   We're gathered here for Him,
[00:00:26.780 --> 00:00:29.200]   and it's not even the speaker, the sermon,
[00:00:29.200 --> 00:00:31.560]   or the great songs that we just sang.
[00:00:31.560 --> 00:00:33.080]   We're gathered here for Him.
[00:00:33.080 --> 00:00:35.800]   And do you recognize that?
[00:00:35.800 --> 00:00:36.720]   Do you truly believe that?
[00:00:36.720 --> 00:00:37.560]   Is that what you're here for?
[00:00:37.560 --> 00:00:39.480]   Is that what you're hungry and thirsty for?
[00:00:39.480 --> 00:00:41.440]   This can't just be a routine thing,
[00:00:41.440 --> 00:00:42.440]   'cause if it's just a routine thing,
[00:00:42.440 --> 00:00:43.480]   and you're sitting here just because
[00:00:43.480 --> 00:00:45.720]   your dinner reservation is at 7.30,
[00:00:45.720 --> 00:00:47.720]   then actually, I don't think it'll be any good for you.
[00:00:47.720 --> 00:00:50.200]   But if you come expectant for the Holy Spirit
[00:00:50.200 --> 00:00:51.520]   to speak into your life,
[00:00:51.520 --> 00:00:54.440]   if you come being ready to be pointed to Jesus
[00:00:54.440 --> 00:00:55.880]   and to be embraced by the Father's love,
[00:00:55.880 --> 00:00:58.980]   I think then the Lord has something for you this evening.
[00:00:59.300 --> 00:01:00.500]   Amen?
[00:01:00.500 --> 00:01:01.500]   And now we've been going through,
[00:01:01.500 --> 00:01:03.100]   you've been going through parables.
[00:01:03.100 --> 00:01:04.700]   I love parables, stories.
[00:01:04.700 --> 00:01:06.140]   Jesus was the greatest storyteller.
[00:01:06.140 --> 00:01:08.980]   He chose to use stories because it's through the stories
[00:01:08.980 --> 00:01:10.540]   that we get to remember things.
[00:01:10.540 --> 00:01:12.140]   We watch movies for the same reason.
[00:01:12.140 --> 00:01:14.780]   We get to see these stories lived out,
