
[00:00:00.000 --> 00:00:04.000]  頂姐妹新年蒙福
[00:00:04.000 --> 00:00:08.000]  在新的一年願意我們像剛才喜樂詩班所唱的詩
[00:00:08.000 --> 00:00:13.000]  讓我們真心學悟我們這位主耶穌基督
[00:00:13.000 --> 00:00:16.000]  祂是那位永活的主
[00:00:16.000 --> 00:00:19.000]  亦是全人類的救贖主
[00:00:19.000 --> 00:00:23.000]  其實今天這個世界變得非常混亂
[00:00:23.000 --> 00:00:26.000]  充滿著很多不確定性
[00:00:26.000 --> 00:00:29.000]  有很多科技日新月異
[00:00:29.000 --> 00:00:33.000]  快得幾個月前的事已經不存在
[00:00:33.000 --> 00:00:36.000]  我們今天究竟在神的面前
[00:00:36.000 --> 00:00:38.000]  我們應當如何自處呢
[00:00:38.000 --> 00:00:40.000]  我覺得有一樣東西
[00:00:40.000 --> 00:00:43.000]  你不要只看書亦不要只看報紙
[00:00:43.000 --> 00:00:46.000]  你一定要看聖經
[00:00:46.000 --> 00:00:48.000]  只有神的話是永存的
[00:00:48.000 --> 00:00:52.000]  而且我們知道耶穌應許我們有一天要榮耀的在來
[00:00:52.000 --> 00:00:55.000]  亦都是千真萬確
[00:00:55.000 --> 00:00:58.000]  所以我們活在這個雖然大時代
[00:00:58.000 --> 00:01:02.000]  很多的變異令我們甚至意想不到
[00:01:02.000 --> 00:01:05.000]  但我們心中沒有徬徨
[00:01:05.000 --> 00:01:08.000]  我們需要有充滿內心的力量
[00:01:08.000 --> 00:01:12.000]  是因為神的話就是我們的明燈
[00:01:12.000 --> 00:01:15.000]  聖靈剛照和充滿我們的時候
[00:01:15.000 --> 00:01:18.000]  我們心中就充滿了這份喜樂和力量
[00:01:18.000 --> 00:01:20.000]  我們一起同心去侍奉
[00:01:20.000 --> 00:01:22.000]  Amen
[00:01:22.000 --> 00:01:26.000]  盼望我們每一個弟兄姊妹都有這個心志
[00:01:26.000 --> 00:01:33.000]  我們上一次在啟示錄講「已忽所書」
[00:01:33.000 --> 00:01:38.000]  有Karen傳道跟我們講得非常精彩的一篇講章
[00:01:38.000 --> 00:01:40.000]  講得非常好
[00:01:40.000 --> 00:01:42.000]  講到已忽所的教會
[00:01:42.000 --> 00:01:44.000]  這是第一間的教會
[00:01:44.000 --> 00:01:49.000]  已忽所的教會有它被主稱讚的地方
[00:01:49.000 --> 00:01:51.000]  他們那種勞苦
[00:01:51.000 --> 00:01:53.000]  他們那種忠心
[00:01:53.000 --> 00:01:58.000]  他們也有需要改正的地方
[00:01:58.000 --> 00:02:00.000]  就是他們失去起初的愛心
[00:02:00.000 --> 00:02:02.000]  要重新燃點
[00:02:02.000 --> 00:02:04.000]  我們今天看的另外兩間教會
[00:02:04.000 --> 00:02:07.000]  包括聖會娜的教會
[00:02:07.000 --> 00:02:11.000]  他們被主肯定的
[00:02:11.000 --> 00:02:15.000]  他們那種堅忍受苦至死忠心
[00:02:15.000 --> 00:02:17.000]  可以說是唯一一間教會
[00:02:17.000 --> 00:02:19.000]  跟老弟家教會一樣
[00:02:19.000 --> 00:02:21.000]  是沒有任何責備的
[00:02:21.000 --> 00:02:24.000]  而別加摩的教會是第三間
[00:02:24.000 --> 00:02:26.000]  他們抗拒異端
[00:02:26.000 --> 00:02:28.000]  堅守主導
[00:02:28.000 --> 00:02:31.000]  我們看這七個教會的時候
[00:02:31.000 --> 00:02:34.000]  我曾經有兩次帶領教會的弟兄姊妹
[00:02:34.000 --> 00:02:37.000]  去到土耳其和希臘
[00:02:37.000 --> 00:02:40.000]  我們是追蹤保羅的宣教行蹤
[00:02:40.000 --> 00:02:46.000]  我們七教會是從土耳其的西南邊
[00:02:46.000 --> 00:02:49.000]  這幾個都是海港城的
[00:02:49.000 --> 00:02:53.000]  包括以弗所、仕美娜和別加摩
[00:02:53.000 --> 00:02:55.000]  而以弗所到仕美娜
[00:02:55.000 --> 00:02:57.000]  你看這個次序
[00:02:57.000 --> 00:03:00.000]  跟啟示錄所形容的七教會次序
[00:03:00.000 --> 00:03:02.000]  是完全一樣的
[00:03:02.000 --> 00:03:04.000]  是順時針方向
[00:03:04.000 --> 00:03:07.000]  由南邊繞一圈
[00:03:07.000 --> 00:03:10.000]  去到最後就是老弟家
