
[00:00:00.000 --> 00:00:01.440]  早安各位
[00:00:01.440 --> 00:00:04.960]  在上次說到我們一起同心土告
[00:00:04.960 --> 00:00:06.200]  今天我們感謝你
[00:00:06.200 --> 00:00:07.360]  讓我們今天回來
[00:00:07.360 --> 00:00:09.880]  我們去聆聽主你的話語
[00:00:09.880 --> 00:00:11.840]  求神你
[00:00:11.840 --> 00:00:14.560]  求神你去打開我們心
[00:00:14.560 --> 00:00:17.120]  打開我們每個探索者的心
[00:00:17.120 --> 00:00:19.120]  讓我們去感受你
[00:00:19.120 --> 00:00:20.160]  去明白你的道
[00:00:20.160 --> 00:00:22.120]  求主你去帶領著我們
[00:00:22.120 --> 00:00:23.240]  以上土告奉我主耶
[00:00:23.240 --> 00:00:23.800]  數幾多次
[00:00:23.800 --> 00:00:25.040]  得生命之而求
[00:00:25.040 --> 00:00:25.920]  阿們
[00:00:25.920 --> 00:00:28.960]  不知道大家有沒有種植的經驗呢
[00:00:28.960 --> 00:00:33.320]  小學時候常識堂一定有玩過種綠豆的實驗
[00:00:33.320 --> 00:00:34.360]  不知道大家小學是不是這樣
[00:00:34.360 --> 00:00:35.360]  至少我是這樣
[00:00:35.360 --> 00:00:37.240]  但是不知道為什麼我們種的過程
[00:00:37.240 --> 00:00:40.600]  永遠都有千奇百怪的事情令我們種不到
[00:00:40.600 --> 00:00:42.160]  可能有些就是我們在學校
[00:00:42.160 --> 00:00:45.240]  可能我們在學校和朋友玩得很開心
[00:00:45.240 --> 00:00:47.320]  玩得很開心然後留在學校
[00:00:47.320 --> 00:00:49.960]  然後回到家
[00:00:49.960 --> 00:00:51.120]  才發現
[00:00:51.120 --> 00:00:53.200]  原來不見了
[00:00:53.200 --> 00:00:54.600]  又或者可能前一晚
[00:00:54.600 --> 00:00:56.800]  都仍然很照顧他
[00:00:56.800 --> 00:00:59.240]  很細心地照顧他
[00:00:59.240 --> 00:01:01.080]  於是我們就睡覺
[00:01:01.080 --> 00:01:02.920]  但翌日起床
[00:01:02.920 --> 00:01:04.160]  他都不見了
[00:01:04.160 --> 00:01:05.800]  可能覺得算了
[00:01:05.800 --> 00:01:07.040]  你都不會種的
[00:01:07.040 --> 00:01:08.480]  就用手掌扔掉他
[00:01:08.480 --> 00:01:10.680]  又或者我們很悉心地照顧他
[00:01:10.680 --> 00:01:12.480]  我們每天都要淋水
[00:01:12.480 --> 00:01:14.640]  每天都要去看看他
[00:01:14.640 --> 00:01:17.360]  但可能最後都會不成功
[00:01:17.360 --> 00:01:19.000]  當然我們小時候
[00:01:19.000 --> 00:01:21.640]  對於所有事情是很有憧憬的
