
[00:00:00.000 --> 00:00:07.880]  兩個星期前,無論大家是參加晚、中、早、午課
[00:00:07.880 --> 00:00:11.680]  無論聽楊牧師講也好,聽Jason傳道講也好
[00:00:11.680 --> 00:00:15.520]  我相信兩位講者都提到馬福音
[00:00:15.520 --> 00:00:19.520]  好像應該去到十六章第八節就完結了
[00:00:19.520 --> 00:00:23.800]  所以今天我們來看馬福音十六章九到十節
[00:00:23.800 --> 00:00:31.080]  我們說這可能是當一位當時的編者
[00:00:31.080 --> 00:00:36.400]  他要將不同使徒所寫的聖經、書卷編輯
[00:00:36.400 --> 00:00:38.960]  放在一起成為正典的時候
[00:00:38.960 --> 00:00:42.960]  可能他看到馬福音的結局這麼有趣
[00:00:42.960 --> 00:00:47.720]  好像還未完結,於是他就把後面這部分
[00:00:47.720 --> 00:00:49.840]  就是今天我們看的這部分放上來
[00:00:49.840 --> 00:00:52.200]  添加在馬福音裡面
[00:00:52.200 --> 00:00:56.360]  這是現代很多學者接受的看法
[00:00:56.360 --> 00:01:00.360]  不過如果這純粹是添加的內容
[00:01:00.360 --> 00:01:02.360]  於是我們就要問
[00:01:02.360 --> 00:01:05.000]  為什麼聖經學者接受這樣的觀點
[00:01:05.000 --> 00:01:10.120]  又或者說為什麼我們覺得他是放上去的
[00:01:10.120 --> 00:01:13.160]  我相信我們都要問這些問題
[00:01:13.160 --> 00:01:17.920]  在已經被發現最早的聖經版本裡面
[00:01:17.920 --> 00:01:19.040]  或者叫聖經的抄本
[00:01:19.040 --> 00:01:20.720]  我們知道聖經不是像我們現在這樣
[00:01:20.720 --> 00:01:22.600]  一本書或者電子版
[00:01:22.600 --> 00:01:23.720]  而是在當時來說
[00:01:23.720 --> 00:01:27.560]  他們將聖經的字抄在羊皮卷裡面
[00:01:27.560 --> 00:01:29.560]  久了皮卷會硬會爛
[00:01:29.560 --> 00:01:31.560]  於是那段時間要再抄
[00:01:31.560 --> 00:01:35.040]  於是在聖經考古發現當中
[00:01:35.040 --> 00:01:36.840]  兩個希臘文的抄本
[00:01:36.840 --> 00:01:39.440]  在聖經學界被看為相當重要
[00:01:39.440 --> 00:01:41.800]  也相當有份量的希臘文抄本
[00:01:41.800 --> 00:01:43.600]  一個叫西乃抄本
[00:01:43.600 --> 00:01:46.000]  另一個叫梵蒂岡抄本
[00:01:46.000 --> 00:01:49.160]  兩個都是主要四世紀時期的聖經抄本
[00:01:49.160 --> 00:01:52.240]  你會說為什麼這兩個抄本會有這樣的名字
[00:01:52.240 --> 00:01:53.240]  是不是有這樣的名字
[00:01:53.240 --> 00:01:54.920]  不是的 很簡單的
[00:01:54.920 --> 00:01:56.280]  沒有什麼神秘的
[00:01:56.280 --> 00:01:58.000]  西乃抄本這樣命名
[00:01:58.000 --> 00:02:01.560]  是因為它在西乃山腳的修道院裡面發現的
[00:02:01.560 --> 00:02:02.840]  那些殘卷
[00:02:02.840 --> 00:02:05.840]  於是學者就叫它做西乃抄本
[00:02:05.840 --> 00:02:07.040]  而梵蒂岡抄本
[00:02:07.040 --> 00:02:09.440]  就是因為這個抄本現在放在梵蒂岡裡面
[00:02:09.440 --> 00:02:11.440]  所以是這樣命名
[00:02:11.440 --> 00:02:15.480]  在這兩卷在聖經學界很有份量的抄卷
[00:02:15.480 --> 00:02:16.920]  裡面學者都發覺
[00:02:16.920 --> 00:02:21.440]  原來也沒有《馬可》第16章9-20節
[00:02:21.440 --> 00:02:24.280]  然後在大約100年後
[00:02:24.280 --> 00:02:28.280]  五世紀在亞美尼亞和格魯吉亞兩個地方
[00:02:28.280 --> 00:02:31.120]  同樣找到兩個抄本
[00:02:31.120 --> 00:02:34.040]  都發現不單沒有這篇經文
[00:02:34.040 --> 00:02:35.680]  或者就算裡面有這篇經文也好
[00:02:35.680 --> 00:02:37.520]  他們發覺在文字上
[00:02:37.520 --> 00:02:38.760]  在句法表達
[00:02:38.760 --> 00:02:41.000]  在文法 在用字裡面
[00:02:41.000 --> 00:02:44.160]  《馬可》第16章9-20節
[00:02:44.160 --> 00:02:49.600]  用的字眼和前面寫作的人所寫的都不同
[00:02:49.600 --> 00:02:50.800]  我們同意的
[00:02:50.800 --> 00:02:51.760]  如果我們寫過文章
[00:02:51.760 --> 00:02:54.760]  很多時候筆法 文筆 用字
[00:02:54.760 --> 00:02:56.400]  很多時候都很雷同
[00:02:56.400 --> 00:03:00.800]  聖經學者就發現原來跟前面很不同
[00:03:00.800 --> 00:03:07.720]  所以他們就認為這段經文應該不是原作者《馬可》所寫的
[00:03:07.720 --> 00:03:10.760]  既然不是《馬可》所寫的
[00:03:10.760 --> 00:03:11.960]  我們就會問
[00:03:11.960 --> 00:03:15.000]  為什麼這段經文到今天
[00:03:15.000 --> 00:03:17.480]  在我們現代聖經版本當中
[00:03:17.480 --> 00:03:18.520]  我們只說中文
[00:03:18.520 --> 00:03:19.760]  在和合本
[00:03:19.760 --> 00:03:21.520]  甚至到修訂本
[00:03:21.520 --> 00:03:23.800]  仍然留下這段經文
[00:03:23.800 --> 00:03:25.160]  修訂本更有趣
[00:03:25.160 --> 00:03:26.400]  有一個短的結語
[00:03:26.400 --> 00:03:26.920]  只有一句
[00:03:26.920 --> 00:03:27.800]  只有第九節
[00:03:27.800 --> 00:03:30.200]  然後有第二個長的結語
[00:03:30.200 --> 00:03:31.040]  我覺得這樣放下來
[00:03:31.040 --> 00:03:32.560]  其實有時候會令我們很混淆
[00:03:32.560 --> 00:03:34.760]  究竟我看什麼呢
[00:03:34.760 --> 00:03:39.560]  當然他覺得他跟隨一個更加嚴謹的做法
[00:03:41.200 --> 00:03:45.720]  雖然大部分聖經學者都認為這段經文不是《馬可》所寫的
[00:03:45.720 --> 00:03:48.040]  不過也有些學者認為
[00:03:48.040 --> 00:03:50.360]  《馬可》在寫這本福音書的時候
[00:03:50.360 --> 00:03:54.040]  沒理由結束得這麼奇怪
[00:03:54.040 --> 00:03:56.440]  所以他們認為《馬可》福音
[00:03:56.440 --> 00:03:59.800]  可能在被修編入正典之前
[00:03:59.800 --> 00:04:02.920]  結尾的部分已經不見了
[00:04:02.920 --> 00:04:05.000]  這是學者的研究的看法
[00:04:05.000 --> 00:04:06.640]  覺得應該還有一個結尾的
[00:04:06.640 --> 00:04:09.000]  不過那部分不見了
[00:04:09.000 --> 00:04:11.720]  我覺得讀起來好像沒寫完
[00:04:11.720 --> 00:04:16.400]  好像欠缺了一些很重要的部分
[00:04:16.400 --> 00:04:19.000]  不過當然也有學者認為
[00:04:19.000 --> 00:04:20.600]  不是的
[00:04:20.600 --> 00:04:24.080]  《馬可》的作者是故意這樣寫的
[00:04:24.080 --> 00:04:27.400]  我相信上次兩位講者都是這樣的結論
[00:04:27.400 --> 00:04:28.960]  就說他這樣寫
