
[00:00:00.000 --> 00:00:04.000]  謝謝Charles,希望姐妹平安!
[00:00:04.000 --> 00:00:08.000]  感謝神我們能夠這樣相聚來聽他的話語。
[00:00:08.000 --> 00:00:12.000]  今天是一個聖誕節的崇拜,
[00:00:12.000 --> 00:00:15.000]  所以今天我選的題目是:耶穌是誰?
[00:00:15.000 --> 00:00:17.000]  祂與我們有什麼關係?
[00:00:17.000 --> 00:00:23.000]  今天這段經文就讓我們看見一段我們很熟悉的經文,
[00:00:23.000 --> 00:00:26.000]  就是耶穌平靜風浪這件事件。
[00:00:26.000 --> 00:00:30.000]  在這裡我們看到聖經記載耶穌上了船,
[00:00:30.000 --> 00:00:33.000]  門徒跟著祂,然後起了狂風暴雨。
[00:00:33.000 --> 00:00:37.000]  那個風浪是很大的,如果你有機會去過以色列,
[00:00:37.000 --> 00:00:41.000]  你去到北部的加利利湖,是一個很大的湖,
[00:00:41.000 --> 00:00:48.000]  它像一個盤形,突然間風一轉,因為比較狹窄,
[00:00:48.000 --> 00:00:50.000]  所以起的風浪可以很大很大。
[00:00:50.000 --> 00:00:55.000]  所以那些漁夫他們都很清楚,可以是非常非常危險的。
[00:00:55.000 --> 00:01:00.000]  所以這些門徒裡面有一些漁夫,他們知道裡面有多麼的危險,
[00:01:00.000 --> 00:01:03.000]  他們想要救自己救不了,他們就叫醒耶穌,
[00:01:03.000 --> 00:01:08.000]  "主啊,救我們吧,你怎麼還在睡覺啊?我們要喪命了。"
[00:01:08.000 --> 00:01:10.000]  那麼耶穌竟然起來就說,
[00:01:10.000 --> 00:01:13.000]  "你們真的是對我沒有信心嗎?你們這小信的人,
[00:01:13.000 --> 00:01:15.000]  為什麼害怕,為什麼膽怯呢?"
[00:01:15.000 --> 00:01:20.000]  一起來就斥責風和海,風和海就立刻的平靜了。
[00:01:20.000 --> 00:01:23.000]  那麼關鍵是什麼呢?這段經文關鍵是,
[00:01:23.000 --> 00:01:28.000]  一件事,眾人都很稀奇的說,這是怎樣的人?
[00:01:28.000 --> 00:01:30.000]  那麼在那個希臘文,
[00:01:30.000 --> 00:01:36.000]  "Tis arahutos estin"是很強調這個身份是誰?
[00:01:36.000 --> 00:01:39.000]  這到底是一個怎樣的人?
[00:01:39.000 --> 00:01:41.000]  所以整段經文的關鍵是,
[00:01:41.000 --> 00:01:45.000]  跟了耶穌這麼多年的門徒,還要問這個問題,
[00:01:45.000 --> 00:01:49.000]  他到底是誰?他到底是誰?
[00:01:49.000 --> 00:01:52.000]  所以不要以為我們今天到了21世紀,
[00:01:52.000 --> 00:01:56.000]  還在想這個到底耶穌是誰。
[00:01:56.000 --> 00:02:00.000]  其實跟著他的門徒,一路跟著他,一路看他做的事情,
[00:02:00.000 --> 00:02:03.000]  說的話,一路也在想他到底是誰,
[00:02:03.000 --> 00:02:05.000]  怎麼有能力做這些事情?
[00:02:05.000 --> 00:02:08.000]  所以今天在這個聖誕節的平安夜的日子,
[00:02:08.000 --> 00:02:14.000]  很想跟大家一起的來重溫耶穌的身份。
[00:02:14.000 --> 00:02:15.000]  如果你是已經信耶穌的,
[00:02:15.000 --> 00:02:19.000]  我希望你能夠借著這個主題,
[00:02:19.000 --> 00:02:22.000]  能夠再重溫你的信仰,必須有根有機。
[00:02:22.000 --> 00:02:24.000]  如果你還沒有認識耶穌,
[00:02:24.000 --> 00:02:28.000]  希望你能夠從中更認識主耶穌基督,他到底是誰。
[00:02:28.000 --> 00:02:32.000]  因為世界上其中一個最主要的問題,
[00:02:32.000 --> 00:02:35.000]  就是耶穌到底是誰?
[00:02:35.000 --> 00:02:38.000]  這是全世界我覺得最關鍵的一個問題。
[00:02:38.000 --> 00:02:42.000]  那麼今天我會從三個方面跟大家來分享。
[00:02:42.000 --> 00:02:45.000]  一個是有關耶穌的資料來源。
[00:02:45.000 --> 00:02:49.000]  第二就是耶穌的言論和事跡。
[00:02:49.000 --> 00:02:52.000]  第三就是耶穌和我們的關係。
[00:02:52.000 --> 00:02:55.000]  讓我們一起再做一次禱告。
[00:02:55.000 --> 00:02:58.000]  天父上帝,我們來到你跟前,
[00:02:58.000 --> 00:03:00.000]  我們真的是要感謝你。
[00:03:00.000 --> 00:03:03.000]  感謝你把你的話語留在聖經裡面,
[00:03:03.000 --> 00:03:06.000]  使到我們有機會來認識你是誰。
[00:03:06.000 --> 00:03:09.000]  主我們祈求你與我們同在,
[00:03:09.000 --> 00:03:12.000]  因為耶穌說,每個人在聽道的時候,
[00:03:12.000 --> 00:03:17.000]  如果自己的心是一片好土,就能夠接收到神的道。
[00:03:17.000 --> 00:03:20.000]  主我們祈求你給我們一個謙卑的心,
[00:03:20.000 --> 00:03:23.000]  一個開放的心,以致我們能夠聽你的話語,
[00:03:23.000 --> 00:03:27.000]  好好地去思量,以致我們的心能夠收到你的道,
[00:03:27.000 --> 00:03:30.000]  能夠結出好多倍的果子。
[00:03:30.000 --> 00:03:32.000]  我們感謝贊美你,求你與我們同在,
[00:03:32.000 --> 00:03:36.000]  榮耀你的聖名,禱告奉耶穌基督聖名祈求。
[00:03:36.000 --> 00:03:37.000]  Amen!
[00:03:37.000 --> 00:03:41.000]  有關耶穌的資料來源,
[00:03:41.000 --> 00:03:46.000]  主要猶太人的摩西五經,先知書跟著作。
[00:03:46.000 --> 00:03:52.000]  大家可能都知道猶太人的聖經叫做坦納克,
[00:03:52.000 --> 00:03:55.000]  基本上就是包括了這三個部分,
[00:03:55.000 --> 00:03:59.000]  就是摩西寫下來的五經,The Five Books of Moses,
[00:03:59.000 --> 00:04:05.000]  還有先知書,他們的先知書也包括了基督教的歷史書。
[00:04:05.000 --> 00:04:09.000]  他們把它全部都稱為先知書,
[00:04:09.000 --> 00:04:14.000]  叫做先知書,因為他們相信是上帝啓示這些人
[00:04:14.000 --> 00:04:17.000]  把歷史從神的角度記錄下來的。
[00:04:17.000 --> 00:04:20.000]  然後還有一些著作,比如說《箴言》、
[00:04:20.000 --> 00:04:24.000]  《詩篇》、《誦語》這些都放在最後一部,
[00:04:24.000 --> 00:04:29.000]  叫做《寫下來的三部》,
[00:04:29.000 --> 00:04:34.000]  這三部基本上就是基督教的舊約聖經。
[00:04:34.000 --> 00:04:39.000]  所以有關耶穌來源,在猶太人的著作裡面
