
[00:00:00.000 --> 00:00:02.000]  各位影子晚安
[00:00:02.000 --> 00:00:05.000]  今天我們要看這段經文
[00:00:05.000 --> 00:00:10.000]  出現在高揚揭開第六印和第七印之間
[00:00:10.000 --> 00:00:17.000]  為何作者約翰要在這兩個印揭開中間插文字下來呢?
[00:00:17.000 --> 00:00:21.000]  作用在哪裏?裏面又說了甚麼?
[00:00:21.000 --> 00:00:24.000]  這段經文對我們有甚麼提醒和教導?
[00:00:24.000 --> 00:00:29.000]  今晚我們嘗試就這幾個題目和問題去思考
[00:00:29.000 --> 00:00:34.000]  首先作者約翰為何要在這裏插一段經文裏?
[00:00:34.000 --> 00:00:36.000]  作用在哪裏?
[00:00:36.000 --> 00:00:40.000]  這個問題比較容易回答
[00:00:40.000 --> 00:00:43.000]  大家記得第六章說了甚麼嗎?
[00:00:43.000 --> 00:00:47.000]  第六章說到高揚逐一揭開七個印
[00:00:47.000 --> 00:00:49.000]  一個一個揭開
[00:00:49.000 --> 00:00:54.000]  接著災難以不同的方式和程度來到這個世界上
[00:00:54.000 --> 00:01:01.000]  有很多戰爭、殺害、物資短缺、饑荒、瘟疫
[00:01:01.000 --> 00:01:04.000]  各種災禍一一來到這個世界上
[00:01:04.000 --> 00:01:08.000]  結果有四分之一的人被殺害
[00:01:08.000 --> 00:01:11.000]  情況很可怕吧?
[00:01:11.000 --> 00:01:14.000]  來到揭開第五、第六個印的時候
[00:01:14.000 --> 00:01:16.000]  不知道大家有沒有印象
[00:01:16.000 --> 00:01:21.000]  有兩個問題經受苦人的口提了出來
[00:01:21.000 --> 00:01:25.000]  第一個問題出現在第十節
[00:01:25.000 --> 00:01:28.000]  當高揚揭開第五印的時候
[00:01:28.000 --> 00:01:33.000]  那些為上帝的道作見證而被殺的人就大聲喊著說
[00:01:33.000 --> 00:01:35.000]  神聖真實的主宰也
[00:01:35.000 --> 00:01:37.000]  你不審判住在地上的人
[00:01:37.000 --> 00:01:42.000]  為我們所留的血身冤要到何時呢?
[00:01:42.000 --> 00:01:46.000]  第一個問題是問要到何時呢?
[00:01:46.000 --> 00:01:50.000]  第二個問題出現在第十七節
[00:01:50.000 --> 00:01:54.000]  剛剛是第六章的最後一節上
[00:01:54.000 --> 00:01:57.000]  那時候高揚揭開第六個印
[00:01:57.000 --> 00:01:59.000]  揭開第六個印的時候
[00:01:59.000 --> 00:02:02.000]  那些藏在山洞和岩石裡的人
[00:02:02.000 --> 00:02:03.000]  包括了很多人
[00:02:03.000 --> 00:02:08.000]  包括了地上的君王、神宰、將軍、父護、壯士
[00:02:08.000 --> 00:02:11.000]  一切為奴的、自主的
[00:02:11.000 --> 00:02:13.000]  因為抵受不住這些災難
[00:02:13.000 --> 00:02:17.000]  就向山和岩石來說
[00:02:17.000 --> 00:02:20.000]  倒在我們身上吧,把我們藏起來
[00:02:20.000 --> 00:02:26.000]  躲避寶座上的那位臉面和高揚的憤怒
[00:02:26.000 --> 00:02:30.000]  因為他們遭憤怒的日子到了
[00:02:30.000 --> 00:02:32.000]  誰能站立得住呢?
[00:02:32.000 --> 00:02:37.000]  第二個問題就是誰能站立得住?
[00:02:37.000 --> 00:02:42.000]  在災難裡,兩班不同的人問了兩個不同的問題
[00:02:42.000 --> 00:02:43.000]  要到何時呢?
[00:02:43.000 --> 00:02:48.000]  還有,誰能夠站立得住?
[00:02:48.000 --> 00:02:51.000]  《大英展部》有沒有問過這些問題?
[00:02:51.000 --> 00:02:54.000]  我相信第一個問題會比較多人問
[00:02:54.000 --> 00:02:57.000]  特別在艱難、困苦的時期
[00:02:57.000 --> 00:03:01.000]  我們很自然就會問,要到何時呢?
[00:03:01.000 --> 00:03:05.000]  很多神學生在第一年修讀希伯來文、希臘文的時候
[00:03:05.000 --> 00:03:08.000]  就經常問,要到何時呢?
[00:03:08.000 --> 00:03:09.000]  要到何時呢?
[00:03:09.000 --> 00:03:11.000]  很淒涼
[00:03:11.000 --> 00:03:13.000]  當我們想到要到何時的時候
[00:03:13.000 --> 00:03:15.000]  我們很多時候都在想什麼呢?
[00:03:15.000 --> 00:03:19.000]  那種痛苦造成我們痛苦的東西
[00:03:19.000 --> 00:03:21.000]  可以很快地離開我們
[00:03:21.000 --> 00:03:25.000]  離開我們就好了
[00:03:25.000 --> 00:03:26.000]  但我們回看經文
[00:03:26.000 --> 00:03:29.000]  那些為主被殺的人當時在想什麼呢?
[00:03:29.000 --> 00:03:32.000]  當他們去問,要到何時的時候
[00:03:32.000 --> 00:03:33.000]  究竟他們在想什麼呢?
[00:03:33.000 --> 00:03:38.000]  是否只是想快點離開的痛苦這麼簡單?
[00:03:38.000 --> 00:03:42.000]  留意剛才讀到六章十節的經文是這麼說的
[00:03:42.000 --> 00:03:45.000]  神聖真實的主宰
[00:03:45.000 --> 00:03:48.000]  理不審判在地上的人
[00:03:48.000 --> 00:03:50.000]  為我們所留的血身冤
[00:03:50.000 --> 00:03:53.000]  要到何時呢?
[00:03:53.000 --> 00:03:55.000]  在想什麼呢?
[00:03:55.000 --> 00:03:57.000]  在想的是上帝的審判和上帝的身冤
[00:03:57.000 --> 00:04:01.000]  他們不只是想那件令我們很困苦的事
[00:04:01.000 --> 00:04:02.000]  快點離開這麼簡單
[00:04:02.000 --> 00:04:08.000]  是上帝何時會為我們審判和伸冤
[00:04:08.000 --> 00:04:12.000]  背後說的是他們很期待看到上帝的審判
[00:04:12.000 --> 00:04:14.000]  上帝為他們伸冤
[00:04:14.000 --> 00:04:16.000]  但一直都看不到
[00:04:16.000 --> 00:04:19.000]  於是他們就問,要到何時呢?
[00:04:19.000 --> 00:04:24.000]  這個問題其實是針對上帝的公義
[00:04:24.000 --> 00:04:26.000]  上帝的神聖
[00:04:26.000 --> 00:04:28.000]  上帝的真實
[00:04:28.000 --> 00:04:31.000]  在痛苦裡面,究竟上帝去了哪裡?
[00:04:31.000 --> 00:04:33.000]  上帝有沒有出手?
[00:04:33.000 --> 00:04:37.000]  為什麼一直都看不到上帝會工作,會審判?
[00:04:37.000 --> 00:04:41.000]  要到何時才看到上帝公義的彰顯?
[00:04:41.000 --> 00:04:43.000]  這是第一個問題要問的
[00:04:43.000 --> 00:04:46.000]  其實是問一些很深的神學問題
[00:04:46.000 --> 00:04:49.000]  是針對上帝說的話算不算數?
[00:04:49.000 --> 00:04:50.000]  你是否真實?
[00:04:50.000 --> 00:04:51.000]  你是否愛我們?
[00:04:51.000 --> 00:04:54.000]  你是否公義?
[00:04:54.000 --> 00:04:56.000]  第二個問題
[00:04:56.000 --> 00:04:59.000]  我相信我們比較少問
[00:04:59.000 --> 00:05:02.000]  誰能夠站立得住?
[00:05:02.000 --> 00:05:06.000]  這個問題和第一個問題是相關的
[00:05:06.000 --> 00:05:10.000]  如果上帝是神聖,如果上帝是公義,是真實的
[00:05:10.000 --> 00:05:15.000]  這樣的時候,當上帝真的顯出憤怒審判的時候
[00:05:15.000 --> 00:05:17.000]  誰能夠躲避?
[00:05:17.000 --> 00:05:22.000]  誰能夠站立得住?
[00:05:22.000 --> 00:05:24.000]  聖經有不少地方說到
[00:05:24.000 --> 00:05:26.000]  有一天主耶穌要再回來
[00:05:26.000 --> 00:05:29.000]  主耶穌再回來的時候會怎樣?
[00:05:29.000 --> 00:05:31.000]  會有審判
[00:05:31.000 --> 00:05:33.000]  每一個人都要面對審判
[00:05:33.000 --> 00:05:36.000]  包括信主和不信主的人
[00:05:36.000 --> 00:05:39.000]  保羅在哥倫多前書五章十字提醒我們
[00:05:39.000 --> 00:05:42.000]  要立志得主的喜悅
[00:05:42.000 --> 00:05:44.000]  為什麼我們要立志得主的喜悅?
[00:05:44.000 --> 00:05:50.000]  因為我們眾人都必須站在基督審判台前受審
[00:05:50.000 --> 00:05:55.000]  為使各人按照本身所行的或善或惡受報
