
[00:00:00.000 --> 00:00:05.120]  今日我都好開心可以再跟大家分享
[00:00:05.120 --> 00:00:08.120]  今日我所講嘅其實個題目就係
[00:00:08.120 --> 00:00:11.440]  由先Maurice都同我講咗
[00:00:11.440 --> 00:00:13.440]  性結同唔性結
[00:00:13.440 --> 00:00:18.800]  其實我都唔知大家睇性結呢一個嘅感覺係啲乜嘢
[00:00:18.800 --> 00:00:22.160]  或者你地點樣定義乜嘢為之性結
[00:00:22.160 --> 00:00:25.400]  其實我自己都有睇到喺我自己嘅角度
[00:00:25.400 --> 00:00:28.720]  譬如性結同埋總括嚟講就係
[00:00:28.720 --> 00:00:32.360]  佢唔係話一件要你好完美或者唔可以用
[00:00:32.360 --> 00:00:35.600]  單唔單或者純潔與唔純潔咁去睇
[00:00:35.600 --> 00:00:38.800]  其實性結係我哋真係要同罪惡
[00:00:38.800 --> 00:00:43.080]  我哋身為基督徒我哋要同罪惡要去打割席
[00:00:43.080 --> 00:00:46.440]  同埋其實我哋係要分別出嚟
[00:00:46.440 --> 00:00:49.480]  我哋其實要保持我哋嘅純潔同埋
[00:00:49.480 --> 00:00:53.520]  我哋要畀人哋睇到我哋係過一啲好性結嘅生活
[00:00:53.520 --> 00:00:56.680]  咁呢個為之係一個概念嚟嘅總括嚟講
[00:00:56.680 --> 00:01:00.240]  不過一陣間我哋就喺透過保羅
[00:01:00.240 --> 00:01:04.320]  喺哥倫多前書對教會裏面所講嘅嘢裏面
[00:01:04.320 --> 00:01:07.520]  去話睇下保羅睇落性結係啲乜嘢
[00:01:07.520 --> 00:01:10.360]  哥倫多教會呢其實有好多問題嘅
[00:01:10.360 --> 00:01:11.880]  咁佢嘅問題係啲乜嘢呢
[00:01:11.880 --> 00:01:14.840]  就係第一啦佢就話俾世俗嘅智慧
[00:01:14.840 --> 00:01:16.040]  譬如啲人就講
[00:01:16.040 --> 00:01:18.840]  我夠醒㗎喇唔使你教
[00:01:18.840 --> 00:01:21.240]  因為佢哋好繁榮嘛成個教會都
[00:01:21.240 --> 00:01:25.280]  第二就話佢哋好鍾意去挑戰一啲嘅權柄
[00:01:25.280 --> 00:01:27.280]  即係話成日會問保羅你係邊個
[00:01:27.280 --> 00:01:28.680]  點解我要聽你講
[00:01:28.680 --> 00:01:32.200]  第三呢就話呢佢哋好鍾意搞小圈子
[00:01:32.200 --> 00:01:34.120]  我要跟邊個即係等於上次
[00:01:34.120 --> 00:01:36.280]  Pastor Johnny都話我要跟下邊個
[00:01:36.280 --> 00:01:40.240]  我要跟邊個我要跟保羅我要跟邊個
[00:01:40.240 --> 00:01:44.760]  第四而係今日所講最嚴重發生嘅問題
[00:01:44.760 --> 00:01:47.320]  就喺多哥倫多嘅教會裏面
[00:01:47.320 --> 00:01:50.280]  竟然會發生咗啲男女關係嘅一啲
[00:01:50.280 --> 00:01:52.960]  唔係咁好嘅狀況而教會係認同
[00:01:52.960 --> 00:01:55.400]  就係話佢哋同繼母發生關係
[00:01:55.400 --> 00:01:58.600]  佢哋呢竟然教會呢係覺得係冇問題嘅
[00:01:58.600 --> 00:02:01.280]  咁所以呢喺保羅嚟講佢覺得
[00:02:01.280 --> 00:02:04.520]  係需要去同佢哋呢即係要講得
[00:02:04.520 --> 00:02:06.360]  即係直接要話話畀佢哋聽
[00:02:06.360 --> 00:02:10.760]  其實要分別所謂性結同唔成同要話畀佢聽
[00:02:10.760 --> 00:02:12.720]  咁呢跟住我哋就會睇返
[00:02:12.720 --> 00:02:15.720]  我哋喺睇返啲問題之後呢我哋就會
[00:02:15.720 --> 00:02:20.080]  我就會回憶返就話企返上次哥倫多前書
[00:02:20.080 --> 00:02:23.280]  喺第六章九至十節裏面呢其實
[00:02:23.280 --> 00:02:26.440]  係有講過呢樣嘢我讀畀大家聽先
[00:02:26.440 --> 00:02:29.080]  其實佢哋提返一樣嘢呢就係話
[00:02:29.080 --> 00:02:31.160]  我哋每一個人其實呢
[00:02:31.160 --> 00:02:35.280]  都有一啲嘅行為譬如我哋會咒罵人啦
[00:02:35.280 --> 00:02:38.160]  會飲酒啦會做一啲唔好嘅嘢
[00:02:38.160 --> 00:02:41.080]  其實呢啲呢佢點解會睇上一章
[00:02:41.080 --> 00:02:44.880]  即係上一次Pastor Johnny有講話我哋唔好去批評人哋
[00:02:44.880 --> 00:02:49.520]  唔好去話人哋係因為其實本來我哋都有一啲嘅問題
[00:02:49.520 --> 00:02:52.240]  其實但係呢啲問題呢
[00:02:52.240 --> 00:02:56.880]  其實係點解我哋做最後我哋可以被潔淨
[00:02:56.880 --> 00:03:02.400]  係因為我哋嘅耶穌喺十字架去為我哋留咗補血
[00:03:02.400 --> 00:03:04.720]  而去幫我哋去贖國返嚟
[00:03:04.720 --> 00:03:07.760]  咁所以呢樣嘢呢其實佢提返點解佢解釋
[00:03:07.760 --> 00:03:11.520]  我哋唔好去批評或者去話人哋呢樣唔好
[00:03:11.520 --> 00:03:15.120]  或者我哋唔好去咒罵人哋呢個就係
[00:03:15.120 --> 00:03:16.640]  或者去批判人哋
[00:03:16.640 --> 00:03:20.080]  呢個就係保羅喺上一章去同我哋去講
[00:03:20.080 --> 00:03:24.320]  咁所以呢但係我想問返大家記唔記得上次Pastor Johnny提返我哋
[00:03:24.320 --> 00:03:28.160]  有幾點係我哋唔可以做㗎
[00:03:28.160 --> 00:03:29.440]  有冇人記得
[00:03:29.440 --> 00:03:33.920]  一個都好㗎喇
[00:03:33.920 --> 00:03:35.520]  有冇人記得
[00:03:35.520 --> 00:03:37.360]  唔緊要我哋繼續落
[00:03:37.360 --> 00:03:39.280]  咁呢佢有提過我哋喎
[00:03:39.280 --> 00:03:42.240]  佢提醒我哋要有正確嘅判斷
[00:03:42.240 --> 00:03:46.880]  我哋要有見證我哋呢最緊要後面其實嗰兩點呢
[00:03:46.880 --> 00:03:50.560]  就係亦都有福音嘅見證同埋彼此嘅包容
[00:03:50.560 --> 00:03:52.480]  同埋彼此嘅寬恕
