
[00:00:00.000 --> 00:00:03.000]  各位弟兄姊妹們 大家主內平安
[00:00:03.000 --> 00:00:06.000]  非常感恩 在父親節這個主日
[00:00:06.000 --> 00:00:09.000]  又和大家一起相聚在神的殿中
[00:00:09.000 --> 00:00:12.000]  今天是父親節 也要
[00:00:12.000 --> 00:00:15.000]  祝願我們在座的各位父親們
[00:00:15.000 --> 00:00:18.000]  父親節快樂
[00:00:18.000 --> 00:00:21.000]  也要祝賀我們所有弟兄姊妹的
[00:00:21.000 --> 00:00:24.000]  父親們 父親節快樂
[00:00:24.000 --> 00:00:27.000]  每次到父親節的時候 都會有
[00:00:27.000 --> 00:00:30.000]  父親節快樂 那麼每次到
[00:00:30.000 --> 00:00:33.000]  父親節的時候 都會讓我們去想到
[00:00:33.000 --> 00:00:36.000]  父親 在我們生活
[00:00:36.000 --> 00:00:39.000]  和生命當中的點點滴滴
[00:00:39.000 --> 00:00:42.000]  他可能是我們兒時的玩伴
[00:00:42.000 --> 00:00:45.000]  可能是我們的支持者 鼓勵者
[00:00:45.000 --> 00:00:48.000]  他呢 也是一個家裡面
[00:00:48.000 --> 00:00:51.000]  默默的耕耘者
[00:00:51.000 --> 00:00:54.000]  經常有人去形容父親 說
[00:00:54.000 --> 00:00:57.000]  父愛如山
[00:00:57.000 --> 00:01:00.000]  默默的付出 默默的支撐
[00:01:00.000 --> 00:01:03.000]  他不願意表達太多 可能這個時候
[00:01:03.000 --> 00:01:06.000]  你有想到父親 有的時候
[00:01:06.000 --> 00:01:09.000]  卻也非常的嚴厲
[00:01:09.000 --> 00:01:12.000]  就好像我一樣
[00:01:12.000 --> 00:01:15.000]  我呢 和大家 和很多
[00:01:15.000 --> 00:01:18.000]  這個 傳統這個
[00:01:18.000 --> 00:01:21.000]  華人家庭的這個背景呢 比較
[00:01:21.000 --> 00:01:24.000]  接近 我成長的背景呢 也是在一個
[00:01:24.000 --> 00:01:27.000]  嚴父慈母的環境
[00:01:27.000 --> 00:01:30.000]  當中成長起來的 父親呢
[00:01:30.000 --> 00:01:33.000]  讓我體會到了那種的 公義
[00:01:33.000 --> 00:01:36.000]  鐵面無私 遇到什麼問題
[00:01:36.000 --> 00:01:39.000]  就要把我在問題上面 把我解決了
[00:01:39.000 --> 00:01:42.000]  才可以 媽媽呢 又是那麼的
[00:01:42.000 --> 00:01:45.000]  慈愛 柔情似水
[00:01:45.000 --> 00:01:48.000]  以至於後來我念了神學 我信了主以後
[00:01:48.000 --> 00:01:51.000]  我就感慨啊 我說感謝我的
[00:01:51.000 --> 00:01:54.000]  爸爸媽媽 讓我分別從他們的身上
[00:01:54.000 --> 00:01:57.000]  學懂了
[00:01:57.000 --> 00:02:00.000]  神的聖潔和公義
[00:02:00.000 --> 00:02:03.000]  還有這個慈愛
[00:02:03.000 --> 00:02:06.000]  在他們的身上學到 當然
[00:02:06.000 --> 00:02:09.000]  講到神的這個公義慈愛
[00:02:09.000 --> 00:02:12.000]  我們到了父親節的時候 除了想到
[00:02:12.000 --> 00:02:15.000]  我們世上的父親 我們還會想到誰啊
[00:02:15.000 --> 00:02:18.000]  我們的天父
[00:02:18.000 --> 00:02:21.000]  我們在天上的父 那麼也盼望
[00:02:21.000 --> 00:02:24.000]  我們今天的這樣一個 講道訊息的
[00:02:24.000 --> 00:02:27.000]  分享 讓我們所有做天父
[00:02:27.000 --> 00:02:30.000]  兒女的 共同來思想 這樣一個
[00:02:30.000 --> 00:02:33.000]  為父的課題 我們一起來禱告
[00:02:33.000 --> 00:02:36.000]  天父上帝啊
[00:02:36.000 --> 00:02:39.000]  感謝你的恩典和
[00:02:39.000 --> 00:02:42.000]  帶領 把我們從罪惡當中
[00:02:42.000 --> 00:02:43.500]  拯救出來
[00:02:43.500 --> 00:02:45.760]  主啊
[00:02:45.760 --> 00:02:49.000]  應著你的這個 引領 福分和
[00:02:49.000 --> 00:02:52.000]  智慧 你教導我們 在我們的人生
[00:02:52.000 --> 00:02:54.500]  當中 有不同的位份
[00:02:54.500 --> 00:02:58.000]  我們可能有做父親的 可能有做
[00:02:58.000 --> 00:03:01.000]  母親的 我們可能有做兒女的
[00:03:01.000 --> 00:03:04.000]  我們可能還有在社會 在這個世界當中
[00:03:04.000 --> 00:03:05.880]  承擔各種角色的
[00:03:05.880 --> 00:03:09.500]  主啊 就盼望你透過今天這樣一份
[00:03:09.500 --> 00:03:12.500]  父親節的訊息 就跟我們說話
[00:03:12.500 --> 00:03:15.500]  以至於 我們做
[00:03:15.500 --> 00:03:18.500]  兒女的 從天父你那裡 得到
[00:03:18.500 --> 00:03:21.500]  智慧和力量 知道我們的人生道路
[00:03:21.500 --> 00:03:24.500]  應該怎麼樣去行 怎麼樣去走
[00:03:24.500 --> 00:03:27.500]  以至於我們更加的可以學
[00:03:27.500 --> 00:03:30.500]  下你 我們把接下來我們講道的環節
[00:03:30.500 --> 00:03:33.500]  也恭敬的交託仰望
[00:03:33.500 --> 00:03:36.500]  求主你賜福和帶領 我們同心
[00:03:36.500 --> 00:03:39.500]  合一的禱告 奉主耶穌基督
[00:03:39.500 --> 00:03:42.500]  得勝的名而求 阿們
[00:03:42.500 --> 00:03:45.500]  好 感謝剛才
[00:03:45.500 --> 00:03:48.500]  我們的主席 帶領我們已經讀過了經文
[00:03:48.500 --> 00:03:51.500]  接下來呢 會把剛才大家讀過一次的
[00:03:51.500 --> 00:03:54.500]  經文呢 把它拆解開來
[00:03:54.500 --> 00:03:57.500]  用5個點來分析
[00:03:57.500 --> 00:04:00.500]  啊 上帝給我們怎麼樣的提醒和
[00:04:00.500 --> 00:04:03.500]  啟示 第一點
[00:04:03.500 --> 00:04:04.500]  好
[00:04:04.500 --> 00:04:08.740]  第一點 就是
[00:04:08.740 --> 00:04:11.620]  我們要有一個 真切的愛心
[00:04:11.620 --> 00:04:14.100]  就好像保羅他和鐵撒尼
[00:04:14.100 --> 00:04:17.500]  羅尼加教會的這些弟兄姊妹分享的
[00:04:17.500 --> 00:04:20.540]  我既是這樣愛你們
[00:04:20.540 --> 00:04:22.180]  愛
[00:04:22.180 --> 00:04:25.700]  愛了以後 要有行動
[00:04:25.700 --> 00:04:29.020]  行動就把福音給你們
[00:04:29.020 --> 00:04:32.220]  給了以後還不算 表達愛的時候
[00:04:32.220 --> 00:04:33.700]  人家是這樣表達的
[00:04:33.700 --> 00:04:37.460]  甚至連自己的性命
