
[00:00:00.000 --> 00:00:06.000]   - Hey, hello everyone.
[00:00:06.000 --> 00:00:07.000]   Happy New Year.
[00:00:07.000 --> 00:00:08.000]   Thank you, Jonny.
[00:00:08.000 --> 00:00:13.000]   Starting this new series, it's really exciting, Living Hope.
[00:00:13.000 --> 00:00:15.000]   We're going to be going through one Peter.
[00:00:15.000 --> 00:00:19.000]   It's a joy to be able to share the word of God with all of you here.
[00:00:19.000 --> 00:00:22.000]   It's been a crazy year, right, 2020.
[00:00:22.000 --> 00:00:25.000]   And of course, we've talked a lot about hope,
[00:00:25.000 --> 00:00:27.000]   talked a lot about what is actually hope.
[00:00:27.000 --> 00:00:33.000]   I'm going to put the slides on the screen right now.
[00:00:33.000 --> 00:00:37.000]   And the title for today is "Where there's Christ, there's hope."
[00:00:37.000 --> 00:00:39.000]   And it's been a crazy two years.
[00:00:39.000 --> 00:00:42.000]   You know, we as a family, Christina and I and the two kids,
[00:00:42.000 --> 00:00:44.000]   we've been in Hong Kong for two years now.
[00:00:44.000 --> 00:00:48.000]   And that word seems to have taken a new life and a new meaning for us.
[00:00:48.000 --> 00:00:49.000]   What is hope?
[00:00:49.000 --> 00:00:52.000]   Finding out what hope is and actually is how do we keep hope alive
[00:00:52.000 --> 00:00:54.000]   during this season?
[00:00:54.000 --> 00:01:00.000]   And maybe any hopes we had of this new year being better were probably
[00:01:00.000 --> 00:01:04.000]   very quickly dashed with everything that has been happening with the U.S.
[00:01:04.000 --> 00:01:06.000]   and the U.K. and just the whole world.
[00:01:06.000 --> 00:01:09.000]   And suddenly we're back to a place of just asking,
[00:01:09.000 --> 00:01:11.000]   how do we still have hope?
[00:01:11.000 --> 00:01:13.000]   How do we maintain that kind of hope?
[00:01:13.000 --> 00:01:15.000]   And that's what I really wanted to focus on today.
[00:01:15.000 --> 00:01:17.000]   And we're going to be looking through the word of God,
[00:01:17.000 --> 00:01:22.000]   one Peter specifically, versus Chapter 1, Verse 3 to 12.
[00:01:22.000 --> 00:01:24.000]   So if you've got your Bibles, if you've got your apps,
[00:01:24.000 --> 00:01:27.000]   then do feel free to open it up and we'll go from there.
[00:01:27.000 --> 00:01:30.000]   But I really wanted to start with just asking this question to all of you.
[00:01:30.000 --> 00:01:33.000]   We've heard this word a lot, "Hope."
[00:01:33.000 --> 00:01:36.000]   How hopeful of a person are you?
[00:01:36.000 --> 00:01:39.000]   How hopeful are you?
[00:01:39.000 --> 00:01:41.000]   And I've talked about this before.
[00:01:41.000 --> 00:01:46.000]   The way we use hope now in this modern era is very different to the way
[00:01:46.000 --> 00:01:47.000]   the Bible uses it.
[00:01:47.000 --> 00:01:50.000]   Now we're talking, "Hey, I hope the weather gets warmer soon.
[00:01:50.000 --> 00:01:52.000]   I hope the vaccine will work.
[00:01:52.000 --> 00:01:55.000]   I hope we'll be able to figure out a way to get the vaccine.
[00:01:55.000 --> 00:01:57.000]   I hope things will go back to normal."
[00:01:57.000 --> 00:02:03.000]   All these things that we're hoping for are really actually us not having control.
[00:02:03.000 --> 00:02:07.000]   So we are just being very hopeful and just hoping that it will happen.
[00:02:07.000 --> 00:02:09.000]   There's a certain level of uncertainty about it.
[00:02:09.000 --> 00:02:13.000]   But the way the Bible talks about hope is very, very different.
[00:02:13.000 --> 00:02:18.000]   The way the Bible talks about hope is in a much more certain kind of way.
[00:02:18.000 --> 00:02:22.000]   Actually, our clan and I recently, we looked at this word,
[00:02:22.000 --> 00:02:24.000]   and we watched a video on it.
[00:02:24.000 --> 00:02:26.000]   And the Bible talks about hope in a different way.
[00:02:26.000 --> 00:02:30.000]   And, of course, the language that it was written in is much more complex
[00:02:30.000 --> 00:02:33.000]   than English, especially in the New Testament.
[00:02:33.000 --> 00:02:37.000]   The Bible, the scriptural writers use two different words.
[00:02:37.000 --> 00:02:43.000]   One is "kavar," which is a word that is talking about a kind of like an
[00:02:43.000 --> 00:02:48.000]   expecting time that you're waiting for, is an experience in this kind of tension
[00:02:48.000 --> 00:02:50.000]   as you wait.
[00:02:50.000 --> 00:02:53.000]   And the Apostle Peter, actually, in 1 Peter, is talking all about hope.
[00:02:53.000 --> 00:02:57.000]   And he uses the word "alpiz," which is this kind of like joyful
[00:02:57.000 --> 00:03:01.000]   and confident expectation of eternal salvation.
[00:03:01.000 --> 00:03:06.000]   And that's how the Bible talks about it, not the way we talk about it
[00:03:06.000 --> 00:03:08.000]   in this modern era.
[00:03:08.000 --> 00:03:11.000]   But the way the Bible talks about it carries this kind of certainty,
[00:03:11.000 --> 00:03:13.000]   carries this kind of joy.
[00:03:13.000 --> 00:03:19.000]   And Peter specifically talks about this in the verses that we're going to read.
[00:03:19.000 --> 00:03:21.000]   And, of course, it's quite wordy.
[00:03:21.000 --> 00:03:26.000]   I have to confess, 1 Peter is not one of my favorite books because, actually,
[00:03:26.000 --> 00:03:27.000]   I find it very hard to read.
[00:03:27.000 --> 00:03:28.000]   It's very packed.
[00:03:28.000 --> 00:03:29.000]   There's a lot of things.
[00:03:29.000 --> 00:03:33.000]   And I was trying to read even just the first three verses with you here,
[00:03:33.000 --> 00:03:36.000]   just for you to get a sense of what he's talking about.
[00:03:36.000 --> 00:03:40.000]   It says, verse 3, "Blessed be the God and Father of our Lord Jesus Christ,
[00:03:40.000 --> 00:03:45.000]   according to his great mercy he has caused us to be born again to a living
[00:03:45.000 --> 00:03:49.000]   hope through the resurrection of Jesus Christ from the dead,
[00:03:49.000 --> 00:03:54.000]   to an inheritance that is imperishable, undefiled, and unfading,
[00:03:54.000 --> 00:03:58.000]   kept in heaven for you, who by God's power are being guarded through faith
[00:03:58.000 --> 00:04:03.000]   for a salvation ready to be revealed in the last time."
[00:04:03.000 --> 00:04:04.000]   Wow.
[00:04:04.000 --> 00:04:07.000]   When you read that, doesn't it just kind of come at you?
[00:04:07.000 --> 00:04:09.000]   And there's just so much to take.
[00:04:09.000 --> 00:04:13.000]   Every sentence seems to deserve a sermon on its own.
[00:04:13.000 --> 00:04:16.000]   And yet here, as we're looking through this, I encourage you all,
[00:04:16.000 --> 00:04:20.000]   as we see what the Apostle Peter is saying about hope,
[00:04:20.000 --> 00:04:24.000]   the real question I want to ask you is, how hopeful are you?
[00:04:24.000 --> 00:04:26.000]   How hopeful are you?
[00:04:26.000 --> 00:04:31.000]   You see, as a believer, we should be absolutely maxed out with our hope.
[00:04:31.000 --> 00:04:34.000]   We should be completely hopeful.
[00:04:34.000 --> 00:04:36.000]   You should be able to say, I should be able to say,
[00:04:36.000 --> 00:04:40.000]   I am completely filled with hope.
[00:04:40.000 --> 00:04:41.000]   Why?
[00:04:41.000 --> 00:04:46.000]   Because that's what the Bible tells us, that we've been born into a living hope.
[00:04:46.000 --> 00:04:49.000]   We believe that there is a victory that is coming at the end.
[00:04:49.000 --> 00:04:50.000]   And, again, I'll share this story.
[00:04:50.000 --> 00:04:54.000]   I'm the kind of person that when I watch a movie,
[00:04:54.000 --> 00:04:57.000]   I go to Wikipedia and I read about the plot first.
