
[00:00:00.000 --> 00:00:12.680]  感謝神 多謝剛才喜樂師班代表我們會眾一起呈獻這首詩歌給上帝
[00:00:12.680 --> 00:00:16.120]  其實我們每一次回到神的殿
[00:00:16.120 --> 00:00:19.720]  我們每個星期我們的敬拜
[00:00:19.720 --> 00:00:24.200]  這種集體的聚集是與神相遇
[00:00:24.200 --> 00:00:28.000]  其實我們來到教會 神的家
[00:00:28.000 --> 00:00:33.400]  我們的敬拜是帶著這一份感恩和認罪
[00:00:33.400 --> 00:00:37.200]  這個是與神和好的必經階段
[00:00:37.200 --> 00:00:42.800]  但同時間 如果留心我今天要講的經文 你們都看到
[00:00:42.800 --> 00:00:48.200]  其實不單止是與神和好 我們也都需要與人和好
[00:00:48.200 --> 00:00:52.600]  其實我們今天將會看的這一段聖經
[00:00:52.600 --> 00:00:56.400]  是在《文素記》第七章
[00:00:56.400 --> 00:01:01.800]  也是整本書裡最長的一章聖經
[00:01:01.800 --> 00:01:07.200]  這一段經文給我們有很多反思和學習
[00:01:07.200 --> 00:01:11.800]  不過同樣好像比較累贅
[00:01:11.800 --> 00:01:14.800]  因為它會重複十二次
[00:01:14.800 --> 00:01:19.600]  即是十二個支派他們的領袖照著神的吩咐
[00:01:19.600 --> 00:01:23.000]  帶禮物到祭壇裡面來呈獻
[00:01:23.000 --> 00:01:29.000]  我等一下會用一個比較特別的方式幫大家濃縮
[00:01:29.000 --> 00:01:32.400]  因為如果不是讀完那八十九節經文
[00:01:32.400 --> 00:01:36.400]  我就已經沒有時間講了
[00:01:36.400 --> 00:01:39.600]  我們看這一段聖經的時候
[00:01:39.600 --> 00:01:43.000]  我們必須要明白它是緊接前文的
[00:01:43.000 --> 00:01:47.000]  頭六章是以色列起行前的準備
[00:01:47.000 --> 00:01:50.000]  百姓和安營的位置都有關係
[00:01:50.000 --> 00:01:53.400]  第五章也提到他們納潔淨的條例
[00:01:53.400 --> 00:01:55.000]  是照著神的吩咐
[00:01:55.000 --> 00:01:58.200]  這個對他們在曠野路是非常重要
[00:01:58.200 --> 00:02:02.200]  因為那個和他們的衛生很有關係
[00:02:02.200 --> 00:02:04.400]  也是給他們一個提醒
[00:02:04.400 --> 00:02:07.200]  神的聖潔人不能冒犯
[00:02:07.200 --> 00:02:10.200]  我們必須是尊神為聖
[00:02:10.200 --> 00:02:14.600]  我們也要看到我們的生活必須要分別為聖
[00:02:14.600 --> 00:02:18.800]  第六章其實就是講到分別為聖歸於神
[00:02:18.800 --> 00:02:22.000]  其中就是那釋爾人的那個條例
[00:02:22.000 --> 00:02:27.000]  和最後就是大祭司他們的祝福、祈禱
[00:02:27.000 --> 00:02:30.000]  在跟著我們第七章之後
[00:02:30.000 --> 00:02:32.000]  我們都會去到第十章
[00:02:32.000 --> 00:02:35.800]  都會看到神是透過這個會幕
[00:02:35.800 --> 00:02:38.000]  日間有雲彩
[00:02:38.000 --> 00:02:42.600]  就是來到是在他們的會幕當中停留
[00:02:42.600 --> 00:02:45.200]  就表示他們不要起行了
[00:02:45.200 --> 00:02:47.200]  他們就停在這個地方
[00:02:47.200 --> 00:02:50.600]  夜間亦都在雲彩裏面是有火
[00:02:50.600 --> 00:02:52.400]  所謂火柱
[00:02:52.400 --> 00:02:57.400]  這些都是很清楚神的同在和神的引導
[00:02:57.400 --> 00:02:58.400]  什麼時候動呢
[00:02:58.400 --> 00:03:00.600]  就是雲彩要行
[00:03:00.600 --> 00:03:03.000]  代表神要吩咐他們要行
[00:03:03.000 --> 00:03:04.400]  他一行的時候
[00:03:04.400 --> 00:03:10.400]  就整個會幕那些基建那些組件全部拆出來
[00:03:10.400 --> 00:03:15.000]  所以工程都是很多事情要做的
[00:03:15.000 --> 00:03:17.000]  你要明白這個背景
[00:03:17.000 --> 00:03:20.000]  我們之前其實是有看過
