
[00:00:00.000 --> 00:00:05.000]  那麼我們繼續我們的馬可福音的講道系列。
[00:00:05.000 --> 00:00:11.000]  那麼我們上一次講到耶穌的開路先鋒尋道,
[00:00:11.000 --> 00:00:15.000]  那時候我們看到施洗約翰他被斬首了。
[00:00:15.000 --> 00:00:19.000]  那麼我們提醒自己有四個重要的功課。
[00:00:19.000 --> 00:00:23.000]  上一次我們看到的是我們要避免隨意的承諾,
[00:00:23.000 --> 00:00:25.000]  大家記得那個西律王嗎?
[00:00:25.000 --> 00:00:27.000]  他就隨意的承諾,
[00:00:27.000 --> 00:00:31.000]  結果就是做了他自己不願意做的事情。
[00:00:31.000 --> 00:00:34.000]  第二就是我們要珍惜回轉的機會,
[00:00:34.000 --> 00:00:38.000]  他雖然有施洗約翰在他的身邊,
[00:00:38.000 --> 00:00:39.000]  他也很喜歡講道,
[00:00:39.000 --> 00:00:44.000]  他距離真正的信仰就是這麼近卻那麼遠,
[00:00:44.000 --> 00:00:45.000]  我們都記得。
[00:00:45.000 --> 00:00:49.000]  第三就是我們要按著職份講主言,
[00:00:49.000 --> 00:00:51.000]  施洗約翰他當然知道他的危險,
[00:00:51.000 --> 00:00:54.000]  如果他指出這個危險,
[00:00:54.000 --> 00:00:56.000]  他當然知道他的危險,
[00:00:56.000 --> 00:00:59.000]  如果他指出這個王的不對,
[00:00:59.000 --> 00:01:03.000]  但是上帝給他的職份就是他要把話講出來,
[00:01:03.000 --> 00:01:05.000]  他就衷心的講出來。
[00:01:05.000 --> 00:01:08.000]  第四就是我們要衷心活出好見證,
[00:01:08.000 --> 00:01:11.000]  施洗約翰就是耶穌的開路先鋒,
[00:01:11.000 --> 00:01:14.000]  他跟耶穌一樣他要受苦,
[00:01:14.000 --> 00:01:16.000]  他要犧牲生命,
[00:01:16.000 --> 00:01:19.000]  他做了耶穌之後會做的事情,
[00:01:19.000 --> 00:01:22.000]  他是真正的衷心做了一個美好的見證。
[00:01:22.000 --> 00:01:24.000]  我們每個人的使命都不一樣,
[00:01:24.000 --> 00:01:29.000]  我們有沒有盡量的在上帝面前衷心的做見證。
[00:01:29.000 --> 00:01:32.000]  今天我們要看第十九講,
[00:01:32.000 --> 00:01:35.000]  耶穌行無比惡於的神跡。
[00:01:35.000 --> 00:01:40.000]  剛才主席立慧弟兄已經帶領我們一起起應的方式,
[00:01:40.000 --> 00:01:42.000]  讀了這段經文,
