
[00:00:00.000 --> 00:00:02.000]  (陳健波) 各位姐妹早安
[00:00:02.000 --> 00:00:06.000]  今天我們要看的經文是啟示錄第七章
[00:00:06.000 --> 00:00:12.000]  這段經文出現在高揚揭開第六印和第七印的中間
[00:00:12.000 --> 00:00:19.000]  為何作者約翰要在兩個印的中間插這段文字下來呢?
[00:00:19.000 --> 00:00:23.000]  有甚麼作用?當中說了甚麼?
[00:00:23.000 --> 00:00:26.000]  這段經文對我們有甚麼提醒和教導?
[00:00:26.000 --> 00:00:30.000]  今天早上跟大家思考這幾個問題
[00:00:30.000 --> 00:00:36.000]  首先為何約翰要在兩個印的中間插這段經文?
[00:00:36.000 --> 00:00:38.000]  作用在哪裏?
[00:00:38.000 --> 00:00:41.000]  大家還有印象第六章說了甚麼?
[00:00:41.000 --> 00:00:45.000]  高揚揭開頭六個印,一個一個揭開
[00:00:45.000 --> 00:00:51.000]  接著災難以不同的方式和程度來到這個世界上
[00:00:51.000 --> 00:00:56.000]  有很多戰爭、災禍、殺害、饑荒、瘟疫
[00:00:56.000 --> 00:01:02.000]  各種災禍來到這個世界上,結果有四分一的人被殺害
[00:01:02.000 --> 00:01:05.000]  情景是否很可怕?
[00:01:05.000 --> 00:01:10.000]  來到揭開第五和第六個印的時候
[00:01:10.000 --> 00:01:15.000]  有兩個問題通過受苦人的口提出
[00:01:15.000 --> 00:01:19.000]  第一個問題出現在六章的第十節
[00:01:19.000 --> 00:01:22.000]  當高揚揭開第五個印的時候
[00:01:22.000 --> 00:01:26.000]  那些為上帝的道作見證而被殺的人
[00:01:26.000 --> 00:01:28.000]  他們大聲喊著說
[00:01:28.000 --> 00:01:32.000]  神聖真實的主宰,你不審判住在地上的人
[00:01:32.000 --> 00:01:37.000]  為我們所留的血身冤,要到何時?
[00:01:37.000 --> 00:01:41.000]  第一個問題是要到何時?
[00:01:41.000 --> 00:01:44.000]  第二個問題出現在六章的十七節
[00:01:44.000 --> 00:01:47.000]  即是第六章的最後一節
[00:01:47.000 --> 00:01:49.000]  當高揚揭開第六印的時候
[00:01:49.000 --> 00:01:53.000]  那些藏在山洞和岩石洞穴裡的人
[00:01:53.000 --> 00:01:58.000]  這些人包括了地上的君王、臣宰、將軍、父護、壯士
[00:01:58.000 --> 00:02:00.000]  一切為奴的和自主的
[00:02:00.000 --> 00:02:03.000]  他們因為抵受不住各樣的災禍
[00:02:03.000 --> 00:02:06.000]  他們向山和岩石說
[00:02:06.000 --> 00:02:08.000]  倒在我們身上吧
[00:02:08.000 --> 00:02:14.000]  讓我們藏起來,躲避保佑者的臉面和高揚的憤怒
[00:02:14.000 --> 00:02:17.000]  因為他們遭憤怒的大日子到了
[00:02:17.000 --> 00:02:20.000]  誰能站得住呢?
[00:02:20.000 --> 00:02:24.000]  第二個問題是誰能站得住呢?
[00:02:24.000 --> 00:02:27.000]  在大災難裡,約翰見到兩班人
[00:02:27.000 --> 00:02:31.000]  兩班人發出了兩個不同的問題
[00:02:31.000 --> 00:02:35.000]  要到何時?誰能站得住?
