
[00:00:00.000 --> 00:00:04.000]   >>
[00:00:04.000 --> 00:00:07.040]   Good evening, everybody.
[00:00:07.040 --> 00:00:09.440]   Have you ever been to one of these events
[00:00:09.440 --> 00:00:10.380]   where the organiser
[00:00:10.380 --> 00:00:11.480]   feels you need an icebreaker
[00:00:11.480 --> 00:00:14.520]   in order to
[00:00:14.520 --> 00:00:17.320]   get the atmosphere
[00:00:17.320 --> 00:00:18.660]   and you get told to find
[00:00:18.660 --> 00:00:19.420]   somebody
[00:00:19.420 --> 00:00:22.420]   you don't know?
[00:00:22.420 --> 00:00:23.820]   And you then tell them
[00:00:23.820 --> 00:00:26.660]   three things about yourself.
[00:00:26.660 --> 00:00:29.200]   Two things are true and one is false.
[00:00:29.200 --> 00:00:31.740]   And you have to guess which one is false.
[00:00:31.740 --> 00:00:33.100]   And in the process,
[00:00:33.100 --> 00:00:34.640]   your new friend
[00:00:34.640 --> 00:00:38.240]   has got to know you a little better.
[00:00:38.240 --> 00:00:41.340]   Now, my favourite icebreaker is this one.
[00:00:41.340 --> 00:00:43.540]   If they were to make a film
[00:00:43.540 --> 00:00:47.080]   about you and your life,
[00:00:47.080 --> 00:00:49.980]   who would you choose?
[00:00:49.980 --> 00:00:52.880]   Who do you think I could choose?
[00:00:52.880 --> 00:00:56.800]   Any suggestions?
[00:00:56.820 --> 00:00:59.460]   If they were making a film about my life,
[00:00:59.460 --> 00:01:01.460]   you weren't listening,
[00:01:01.460 --> 00:01:04.360]   and I had to choose anyone to play me,
[00:01:04.360 --> 00:01:07.700]   who would I play me?
[00:01:07.700 --> 00:01:09.840]   Who?
[00:01:09.840 --> 00:01:10.800]   Andy Lyle.
[00:01:10.800 --> 00:01:12.340]   That's interesting.
[00:01:12.340 --> 00:01:13.680]   I must look very local.
[00:01:13.680 --> 00:01:15.180]   That's good.
[00:01:15.180 --> 00:01:16.080]   Anybody else?
[00:01:16.080 --> 00:01:18.080]   Any other guesses?
[00:01:18.080 --> 00:01:19.180]   Sir Patrick Stewart.
[00:01:19.180 --> 00:01:20.320]   Okay, that's interesting.
[00:01:20.320 --> 00:01:22.460]   He's about 90, isn't he?
[00:01:22.460 --> 00:01:26.260]   I don't know.
[00:01:26.280 --> 00:01:26.960]   Anybody else?
