
[00:00:00.000 --> 00:00:02.000]   You
[00:00:02.000 --> 00:00:07.160]   Last week I stood here
[00:00:07.160 --> 00:00:10.560]   introducing Susanna
[00:00:10.560 --> 00:00:12.960]   when I stood here I was
[00:00:12.960 --> 00:00:15.960]   69 years of old
[00:00:15.960 --> 00:00:19.120]   just
[00:00:19.120 --> 00:00:21.760]   Today
[00:00:21.760 --> 00:00:24.640]   I'm 70
[00:00:24.640 --> 00:00:27.240]   And
[00:00:27.240 --> 00:00:29.240]   had six days
[00:00:30.240 --> 00:00:32.240]   Something
[00:00:32.240 --> 00:00:34.480]   Has changed. I
[00:00:34.480 --> 00:00:38.680]   am now in my eighth decade a
[00:00:38.680 --> 00:00:48.200]   Septuagenarian for those who like long words to put this in the context the same as Donald Trump
[00:00:48.200 --> 00:00:53.040]   By the way, I loved the dinner and
[00:00:54.520 --> 00:01:01.200]   There is nothing better in my humble opinion than a church eating together. Do you agree?
[00:01:01.200 --> 00:01:03.960]   and
[00:01:03.960 --> 00:01:07.320]   following last week's excellent talk by Susanna I
[00:01:07.320 --> 00:01:10.280]   want to talk today about
[00:01:10.280 --> 00:01:13.040]   change
[00:01:13.040 --> 00:01:15.040]   And I've called this week's sermon
[00:01:15.040 --> 00:01:17.040]   serving
[00:01:17.040 --> 00:01:19.040]   changes me
[00:01:19.040 --> 00:01:23.640]   But before I go further let me put this into perspective
[00:01:24.600 --> 00:01:28.400]   Serving will not save you
[00:01:28.400 --> 00:01:32.600]   I'm gonna repeat that again
[00:01:32.600 --> 00:01:40.600]   Serving will not save you how we are saved is by faith in God's Son Jesus Christ
[00:01:40.600 --> 00:01:48.160]   and by accepting the free gift of salvation that could be paid for only by his precious blood
[00:01:48.160 --> 00:01:51.320]   No amount of good works
[00:01:51.880 --> 00:01:53.880]   No amount of good works
[00:01:53.880 --> 00:01:56.400]   no amount of good behavior or
[00:01:56.400 --> 00:01:59.520]   No amount of service
[00:01:59.520 --> 00:02:03.640]   Can save us from our sins?
[00:02:03.640 --> 00:02:07.160]   But read my lips
[00:02:07.160 --> 00:02:17.120]   We've each been saved in order in order to serve those around us do you get that?
[00:02:19.200 --> 00:02:24.880]   Christ called each of his disciples to follow him and he charged them with
[00:02:24.880 --> 00:02:28.920]   Doing things that he himself could have done in the blink of an eye
[00:02:28.920 --> 00:02:31.480]   and
[00:02:31.480 --> 00:02:35.400]   In the same way he will task us you and me
[00:02:35.400 --> 00:02:40.040]   With things to fulfill our purpose here on earth
[00:02:40.040 --> 00:02:42.600]   Remember our theme for this series
[00:02:42.600 --> 00:02:46.000]   saved people serve people
[00:02:47.360 --> 00:02:50.400]   And I want to make a very simple point today
[00:02:50.400 --> 00:02:59.800]   Serving is the quickest way to see change in our lives. I'll say it again
[00:02:59.800 --> 00:03:04.960]   Serving is the quickest way to
[00:03:04.960 --> 00:03:12.240]   See change in our lives. I want to ask you a rather obvious question
[00:03:12.240 --> 00:03:15.600]   Do you want to be more like Jesus?
[00:03:16.680 --> 00:03:18.680]   I've put the answer on the screen
[00:03:18.680 --> 00:03:22.760]   If you want to be more like Jesus
[00:03:22.760 --> 00:03:29.320]   Focus more on serving others than being served
[00:03:29.320 --> 00:03:37.720]   We'll be looking later at Matthew 20 28, you know it the Son of Man that's Jesus
[00:03:37.720 --> 00:03:42.160]   Came not to be served but to serve
[00:03:43.720 --> 00:03:47.280]   Philippians 2 7 but Jesus emptied himself
[00:03:47.280 --> 00:03:52.240]   by taking the very nature of a servant
[00:03:52.240 --> 00:03:59.240]   The best way we can make a difference in our workplaces
[00:03:59.240 --> 00:04:02.880]   to improve our marriages those who are married and
[00:04:02.880 --> 00:04:10.880]   Discover our spiritual gifts is to serve those around us
[00:04:12.960 --> 00:04:15.400]   Serving is the quickest way
[00:04:15.400 --> 00:04:18.760]   to see change in our lives and
[00:04:18.760 --> 00:04:22.040]   Tonight I'm going to be making four points. Yeah, I know
[00:04:22.040 --> 00:04:26.560]   Sermon should be three points, but I'm greedy right four points
[00:04:26.560 --> 00:04:29.560]   First one is this
[00:04:29.560 --> 00:04:33.080]   serving increases my faith and
[00:04:33.080 --> 00:04:38.840]   To make my point I'm gonna do it dwell delve into a well-known
[00:04:39.880 --> 00:04:46.840]   Story the account of Jesus's first miracle that we know as turning water into wine
[00:04:46.840 --> 00:04:53.160]   Those of you were here on time tonight actually saying it right Jesus tells the story. Let me read it to you
[00:04:53.160 --> 00:04:56.400]   on the third day
[00:04:56.400 --> 00:05:01.560]   There was a wedding at Cana in Galilee and the mother of Jesus was there
[00:05:01.560 --> 00:05:05.560]   Jesus also was invited to the wedding with his disciples
[00:05:06.040 --> 00:05:09.960]   When the wine ran out the mother of Jesus said to him they have no wine
[00:05:09.960 --> 00:05:13.680]   Jesus said to mom woman
[00:05:13.680 --> 00:05:16.720]   What does it have to do with me?
[00:05:16.720 --> 00:05:19.800]   My hour has not yet come
[00:05:19.800 --> 00:05:24.400]   His mother said to the servants do
[00:05:24.400 --> 00:05:27.200]   Whatever he tells you
[00:05:27.200 --> 00:05:31.920]   Now there were six stone water jars there for Jewish rites of purification
[00:05:32.560 --> 00:05:36.000]   each holding 20 to 30 gallons Jesus
[00:05:36.000 --> 00:05:40.560]   said to the servants fill the jars with water and
[00:05:40.560 --> 00:05:43.920]   they filled them up to the brim and
[00:05:43.920 --> 00:05:46.640]   He said to them
[00:05:46.640 --> 00:05:48.640]   now draw some out and
[00:05:48.640 --> 00:05:51.680]   Take it to the master of the feast
[00:05:51.680 --> 00:05:59.160]   So they took it when the master of the feast tasted the water now become wine and did not know where it came from
[00:06:00.040 --> 00:06:06.480]   But the servants who had drawn the water knew the master of the feast called the bridegroom and said
[00:06:06.480 --> 00:06:14.440]   Isn't everyone serves the good wine first and when people have drunk freely then they serve the poor wine
[00:06:14.440 --> 00:06:17.080]   but you
