
[00:00:00.000 --> 00:00:02.000]  (剩餘時間)
[00:00:02.000 --> 00:00:05.000]  好,各位explorer早安
[00:00:05.000 --> 00:00:07.000]  各位mentor早安
[00:00:07.000 --> 00:00:10.000]  特別歡迎所有的junior
[00:00:10.000 --> 00:00:12.000]  在我們中間一起跟我們聽導
[00:00:12.000 --> 00:00:14.000]  今天junior的舉手
[00:00:14.000 --> 00:00:17.000]  不要叫你們junior
[00:00:17.000 --> 00:00:19.000]  我們都是我們的一份子
[00:00:19.000 --> 00:00:21.000]  所以我們都是同一個群體
[00:00:21.000 --> 00:00:23.000]  我們特別歡迎你們
[00:00:23.000 --> 00:00:27.000]  以往當你們離開了
[00:00:27.000 --> 00:00:28.000]  去了分組之後
[00:00:28.000 --> 00:00:30.000]  這裡會空了一個
[00:00:30.000 --> 00:00:31.000]  整個area空了
[00:00:31.000 --> 00:00:32.000]  我很開心
[00:00:32.000 --> 00:00:34.000]  因為今天見到有人
[00:00:34.000 --> 00:00:36.000]  亦都很感動
[00:00:36.000 --> 00:00:38.000]  很感謝勁敗隊
[00:00:38.000 --> 00:00:40.000]  亦都很感謝Crystal的祈禱
[00:00:40.000 --> 00:00:41.000]  我想問一下
[00:00:41.000 --> 00:00:42.000]  再次問一下
[00:00:42.000 --> 00:00:47.000]  除了剛才在網上那個slide
[00:00:47.000 --> 00:00:48.000]  即是今...
[00:00:48.000 --> 00:00:51.000]  即將會考公開試的各位
[00:00:51.000 --> 00:00:53.000]  我想問還有誰在四月
[00:00:53.000 --> 00:00:55.000]  都要考試和測驗的
[00:00:55.000 --> 00:00:56.000]  有沒有
[00:00:56.000 --> 00:00:57.000]  考試和測驗
[00:00:57.000 --> 00:00:59.000]  剛才的都舉手
[00:00:59.000 --> 00:01:00.000]  考DSE
[00:01:00.000 --> 00:01:01.000]  考所有公開試
[00:01:01.000 --> 00:01:02.000]  四月要開始的
[00:01:02.000 --> 00:01:05.000]  你可以到處看一下
[00:01:05.000 --> 00:01:07.000]  放下手
[00:01:07.000 --> 00:01:10.000]  我們要繼續為他們祈禱
[00:01:10.000 --> 00:01:12.000]  同時都很欣賞你們
[00:01:12.000 --> 00:01:13.000]  仍然會回來
[00:01:13.000 --> 00:01:14.000]  實在的
[00:01:14.000 --> 00:01:16.000]  我們要考試
[00:01:16.000 --> 00:01:18.000]  這些對我們來說都是很大挑戰
[00:01:18.000 --> 00:01:19.000]  是嗎
[00:01:19.000 --> 00:01:21.000]  不過考試
[00:01:21.000 --> 00:01:22.000]  要不要回教會
[00:01:22.000 --> 00:01:24.000]  要不要敬拜神
[00:01:24.000 --> 00:01:26.000]  其實更加
[00:01:26.000 --> 00:01:28.000]  你們說得很真誠
[00:01:28.000 --> 00:01:30.000]  當然要
