
[00:00:00.000 --> 00:00:02.000]  謝謝Narissa牧師
[00:00:02.000 --> 00:00:04.000]  各位大影姐妹平安
[00:00:04.000 --> 00:00:06.000]  我是Pastor Carmen
[00:00:06.000 --> 00:00:08.000]  大家好
[00:00:08.000 --> 00:00:10.000]  我主要是在兒童區服務的牧者
[00:00:10.000 --> 00:00:12.000]  多數這個時間
[00:00:12.000 --> 00:00:14.000]  其實我會在二樓的
[00:00:14.000 --> 00:00:16.000]  兒童主日學
[00:00:16.000 --> 00:00:18.000]  或者Avana裏面
[00:00:18.000 --> 00:00:20.000]  幫小朋友點名
[00:00:20.000 --> 00:00:22.000]  或者問他們
[00:00:22.000 --> 00:00:24.000]  問小朋友這個禮拜
[00:00:24.000 --> 00:00:26.000]  有什麼感恩的事情
[00:00:26.000 --> 00:00:28.000]  發生了
[00:00:28.000 --> 00:00:30.000]  一起祈禱
[00:00:30.000 --> 00:00:32.000]  今天很感恩
[00:00:32.000 --> 00:00:34.000]  可以以另一種形式
[00:00:34.000 --> 00:00:36.000]  來服侍
[00:00:36.000 --> 00:00:38.000]  來到各位大影姐妹當中
[00:00:38.000 --> 00:00:40.000]  一同學習
[00:00:40.000 --> 00:00:42.000]  真的很珍惜這個機會
[00:00:42.000 --> 00:00:44.000]  今天我們會繼續
[00:00:44.000 --> 00:00:46.000]  一起了解上帝透過
[00:00:46.000 --> 00:00:48.000]  他的僕人約翰所寫的
[00:00:48.000 --> 00:00:50.000]  啟示錄
[00:00:50.000 --> 00:00:52.000]  十章要給我們的訊息
[00:00:52.000 --> 00:00:54.000]  開始先讓我們一同禱告
[00:00:56.000 --> 00:00:58.000]  主啊!我們的天父
[00:00:58.000 --> 00:01:00.000]  感謝祢朝聚今天來到教會
[00:01:00.000 --> 00:01:02.000]  一同聽道的弟兄姊妹
[00:01:02.000 --> 00:01:04.000]  主啊!我們每一個都
[00:01:04.000 --> 00:01:06.000]  渴望神祢的話語
[00:01:06.000 --> 00:01:08.000]  我們需要祢在我們的心中
[00:01:08.000 --> 00:01:10.000]  求主祢幫助孩子
[00:01:10.000 --> 00:01:12.000]  講解啟示錄第十章
[00:01:12.000 --> 00:01:14.000]  有清晰
