
[00:00:00.000 --> 00:00:02.000]  各位平安!
[00:00:02.000 --> 00:00:05.000]  我們一起來聽上帝的話語。
[00:00:05.000 --> 00:00:10.000]  我會一連四次,一連四個星期跟大家講越南書。
[00:00:10.000 --> 00:00:13.000]  這是第一講,越南書共有四章。
[00:00:13.000 --> 00:00:20.000]  我在平安夜跟Kelly,她老公,還有她女兒一起喫飯。
[00:00:20.000 --> 00:00:24.000]  她老公是新加坡人,我們就談到了很多當兵的趨勢。
[00:00:24.000 --> 00:00:29.000]  當兵有一件趨勢是什麼?漢詩在那邊笑,漢詩也知道。
[00:00:29.000 --> 00:00:32.000]  我們當兵有一樣東西是非常好玩的。
[00:00:32.000 --> 00:00:39.000]  就是長官他會來問我們,Any volunteers?有沒有志願者?
[00:00:39.000 --> 00:00:42.000]  你不知道他要叫你做什麼。
[00:00:42.000 --> 00:00:46.000]  有願意自告奮勇的就舉手。
[00:00:46.000 --> 00:00:54.000]  他就會看到五個人舉手,其他35個人他就會說,扶我撐。
[00:00:54.000 --> 00:00:56.000]  沒有舉手的就是扶我撐。
[00:00:56.000 --> 00:01:00.000]  然後他就會再問一次,還有沒有志願者?
[00:01:00.000 --> 00:01:04.000]  然後你猜什麼?全部都舉手了。
[00:01:04.000 --> 00:01:09.000]  所以很簡單的,在軍隊裏面當軍官,一來就會問,有沒有志願者?
[00:01:09.000 --> 00:01:12.000]  每個人都,哦哦哦,舉得越高越好。
[00:01:12.000 --> 00:01:18.000]  那麼,志願者,不想做志願者,所以我們不知道他的任務是什麼。
[00:01:18.000 --> 00:01:23.000]  我們很怕很辛苦很累,又很怕做不完,就被懲罰。
[00:01:23.000 --> 00:01:27.000]  那麼,爲什麼我們有時候會逃避任務呢?
[00:01:27.000 --> 00:01:29.000]  你會不會逃避任務呢?
[00:01:29.000 --> 00:01:33.000]  你逃避任務是因爲什麼原因呢?
[00:01:33.000 --> 00:01:37.000]  應該都是,大概我們的原因都是一樣的。
[00:01:37.000 --> 00:01:42.000]  就是怕做不來啊,或者懶啊,或者不想承擔責任啊,
[00:01:42.000 --> 00:01:49.000]  不想被放在那個燈光下,照射燈下,spotlight啊,給人家看啊。
[00:01:49.000 --> 00:01:52.000]  各樣的我們逃避任務啊。
[00:01:52.000 --> 00:01:54.000]  那麼,今天這段經文呢,大家很熟悉啊。
[00:01:54.000 --> 00:01:56.000]  簡單講一下它的故事情節啊。
[00:01:56.000 --> 00:02:01.000]  就是,上帝的任務呢,他臨到了越南,越南呢,卻嘗試想逃避啊。
[00:02:01.000 --> 00:02:05.000]  越南呢,就搭船想遠離上帝,卻遇到了大風浪。
[00:02:05.000 --> 00:02:08.000]  船上的人想方設法救自己的命,卻不管用。
[00:02:08.000 --> 00:02:15.000]  後來越南向他們坦承呢,是他闖的禍,建議他們把他丟下海。
[00:02:15.000 --> 00:02:19.000]  他們本來呢,不想這麼做,後來沒有辦法,就把越南丟下海。
[00:02:19.000 --> 00:02:21.000]  風浪就真的平息了。
[00:02:21.000 --> 00:02:25.000]  然後上帝安排了一條大魚呢,把耶穌接進大魚的肚子裏面啊。
[00:02:25.000 --> 00:02:28.000]  就是這樣的一個故事,我們很熟悉的。
[00:02:28.000 --> 00:02:34.000]  那麼,今天的講道經文是,這段經文,我要一起跟大家思想的是,
[00:02:34.000 --> 00:02:39.000]  當我們接到不願意執行的任務的時候,我們應該如何看啊?
[00:02:39.000 --> 00:02:47.000]  2026年我不知道你會有什麼新的使命,新的任務,是可能你要去考慮接不接的,對嗎?
[00:02:47.000 --> 00:02:52.000]  我們一起來思想,求上帝來幫助我們,讓我們同心禱告。
[00:02:52.000 --> 00:02:57.000]  主啊,求禰的話語臨到我們的生命中,以致我們知道,禰是我們的神。
[00:02:57.000 --> 00:03:04.000]  我們是渺小的,我們是禰的被造物,我們需要禰的話語來建立我們的生命。
