
[00:00:00.000 --> 00:00:15.000]  多謝廣福師班及Jimmy老師帶領我們聆聽拉丁文的詩歌
[00:00:15.000 --> 00:00:19.000]  我們更加體會原來在基督耶穌裏面
[00:00:19.000 --> 00:00:23.000]  我們這一份憐憫、這一份平安
[00:00:23.000 --> 00:00:27.000]  完全是源自我們上帝給予人類的
[00:00:27.000 --> 00:00:30.000]  一個很大的祝福
[00:00:30.000 --> 00:00:37.000]  我們今天在世其實是我們還活在地上的日子
[00:00:37.000 --> 00:00:40.000]  我們就應該懂得去感恩
[00:00:40.000 --> 00:00:46.000]  今天和大家分享的是彼得後書開頭的一個大段落
[00:00:46.000 --> 00:00:53.000]  而這個大段落可以說是彼得心目中裏面
[00:00:53.000 --> 00:00:58.000]  一個很重要的訊息
[00:00:58.000 --> 00:01:03.000]  甚至我們可以說是彼得的一個遺言、一個訓誨
[00:01:03.000 --> 00:01:07.000]  為何這樣說呢?因為經文是這樣告訴我們的
[00:01:07.000 --> 00:01:09.000]  我們先試試看
[00:01:09.000 --> 00:01:13.000]  在這段段落不是從第一節和大家思想
[00:01:13.000 --> 00:01:15.000]  我試試用倒敘法
[00:01:15.000 --> 00:01:17.000]  我們用後面看回頭
[00:01:17.000 --> 00:01:21.000]  在十二節到十五節彼得是怎樣說呢?
[00:01:21.000 --> 00:01:23.000]  我們一起讀一次
[00:01:23.000 --> 00:01:27.000]  「雖然你們已經知道這些事
[00:01:27.000 --> 00:01:31.000]  並且在你們已有的真道上得到堅固
[00:01:31.000 --> 00:01:36.000]  我還是要常常提醒你們這些事」
[00:01:36.000 --> 00:01:39.000]  究竟這些是甚麼事呢?
[00:01:39.000 --> 00:01:41.000]  在這裏先賣個關子
[00:01:41.000 --> 00:01:44.000]  因為這些事就是我們今天所要看的經文
[00:01:44.000 --> 00:01:46.000]  那個最重要的部份
[00:01:46.000 --> 00:01:50.000]  是彼得心裏一直都記掛著的東西
[00:01:50.000 --> 00:01:52.000]  所以他不能說
[00:01:52.000 --> 00:01:58.000]  他也知道他的交代就是他快要離世
[00:01:58.000 --> 00:01:59.000]  我們一起讀
[00:01:59.000 --> 00:02:03.000]  「我認為趁我還在這帳篷的時候
[00:02:03.000 --> 00:02:05.000]  應該激發你們的記憶
[00:02:05.000 --> 00:02:10.000]  因為知道我脫離這帳篷的時候快到了
