
[00:00:00.000 --> 00:00:06.000]  我們謝謝喜樂師班為我們獻唱這麼優美的詩歌
[00:00:06.000 --> 00:00:09.000]  提醒我們基督為我們犧牲的愛
[00:00:09.000 --> 00:00:12.000]  我們今天繼續會有門訓的主日
[00:00:12.000 --> 00:00:15.000]  繼續會從《馬可福音》當中學習
[00:00:15.000 --> 00:00:21.000]  我們今天看的經文就在五章的21至43節
[00:00:21.000 --> 00:00:25.000]  只是說一些章節 大家覺得都不知道在哪裡
[00:00:25.000 --> 00:00:28.000]  說什麼 但是一說以下這兩個人物
[00:00:28.000 --> 00:00:32.000]  很可能大家就會說「哦」
[00:00:32.000 --> 00:00:37.000]  因為這段經文是關於兩個主角的
[00:00:37.000 --> 00:00:39.000]  最重要的除了耶穌之外
[00:00:39.000 --> 00:00:44.000]  一個就是會堂的主管 叫做耶路
[00:00:44.000 --> 00:00:47.000]  耶路你可能覺得不是葉劉
[00:00:47.000 --> 00:00:51.000]  很可能你覺得好像有點陌生
[00:00:51.000 --> 00:00:55.000]  其實如果你常看舊版的和合本
[00:00:55.000 --> 00:00:58.000]  翻譯就是耶路 會不會是艾路?
[00:00:58.000 --> 00:01:01.000]  不是耶路 是艾路 沒錯
[00:01:01.000 --> 00:01:04.000]  我讀了普通話 假裝是
[00:01:04.000 --> 00:01:13.000]  另外一個主人翁就是一個患有12年血流的婦人
[00:01:13.000 --> 00:01:17.000]  是兩個很不同的人
[00:01:17.000 --> 00:01:23.000]  他們都帶著生命的難處來尋求耶穌的幫助
[00:01:23.000 --> 00:01:29.000]  這兩個人 大家一會兒讀這段經文的時候
[00:01:29.000 --> 00:01:33.000]  你會發現經文刻意讓我們看見
[00:01:33.000 --> 00:01:37.000]  他們兩個真的有很多不同的對比
[00:01:37.000 --> 00:01:42.000]  但在現實生活裡 沒什麼可能走在一起的兩個人
[00:01:42.000 --> 00:01:47.000]  不過在一個很特別的同一個時空下
[00:01:47.000 --> 00:01:51.000]  他們都來找耶穌來醫治
[00:01:51.000 --> 00:01:54.000]  為什麼會這樣走在一起呢?
[00:01:54.000 --> 00:01:56.000]  我們一起來看一看
[00:01:56.000 --> 00:02:00.000]  這段經文有二十多節 但都想跟大家讀一讀
[00:02:00.000 --> 00:02:03.000]  我省略了中間的部分
[00:02:03.000 --> 00:02:07.000]  尤其是今天不會花時間或沒有時間
[00:02:07.000 --> 00:02:11.000]  去看一些篇幅的細節
[00:02:11.000 --> 00:02:13.000]  我省略了 抱歉
[00:02:13.000 --> 00:02:17.000]  但我們先讀了
[00:02:17.000 --> 00:02:23.000]  特別用顏色的字來識別哪一段是關於葉老
[00:02:23.000 --> 00:02:28.000]  哪一段是關於患有血流的女人
[00:02:28.000 --> 00:02:32.000]  不如也讓我們投入這段經文
