
[00:00:00.000 --> 00:00:06.160]   Good evening, everyone.
[00:00:06.160 --> 00:00:11.400]   It's so good to be here tonight, and thank you, Pastor John, who's watching online from
[00:00:11.400 --> 00:00:12.400]   the UK.
[00:00:12.400 --> 00:00:13.400]   We miss you.
[00:00:13.400 --> 00:00:15.820]   We can't wait to see you soon.
[00:00:15.820 --> 00:00:17.320]   But it's so good to be here tonight.
[00:00:17.320 --> 00:00:22.960]   I've been part of the KFCI family officially for about six months, but we're all part of
[00:00:22.960 --> 00:00:25.680]   the family of God, so we've been family a long, long time.
[00:00:25.680 --> 00:00:27.960]   Wouldn't you agree?
[00:00:27.960 --> 00:00:35.720]   I'm often asked how I ended up in Hong Kong, and behind me you see my beautiful family,
[00:00:35.720 --> 00:00:37.120]   my parents.
[00:00:37.120 --> 00:00:39.280]   My brother is right beside me.
[00:00:39.280 --> 00:00:44.120]   Beside him is my nephew, my brother-in-law, my sister, and my niece, Hope, on the end.
[00:00:44.120 --> 00:00:46.860]   She's the jewel of our family.
[00:00:46.860 --> 00:00:49.580]   But I'm often asked how I got here.
[00:00:49.580 --> 00:00:53.560]   How did I leave this beautiful group of people and end up here?
[00:00:53.560 --> 00:00:59.160]   Well, there's a long answer and a very, very short answer.
[00:00:59.160 --> 00:01:03.720]   We're going to go with option number two tonight, because number one could be like a whole sermon
[00:01:03.720 --> 00:01:04.720]   in itself.
[00:01:04.720 --> 00:01:11.480]   So I'll give you the short version, kind of my origin story, if you will.
[00:01:11.480 --> 00:01:15.840]   When I was a little girl, probably less than five years old at that time, there was just
[00:01:15.840 --> 00:01:17.840]   me and my sister.
[00:01:17.840 --> 00:01:21.800]   My dad was a young pastor starting out in the ministry.
[00:01:21.800 --> 00:01:25.120]   He had seen pastors lose their children.
[00:01:25.120 --> 00:01:30.840]   He had seen pastors pour out their entire lives winning other people to the gospel,
[00:01:30.840 --> 00:01:34.200]   and their own children rebel and walk away from God.
[00:01:34.200 --> 00:01:39.320]   And he could not bear the thought of losing his two little daughters.
[00:01:39.320 --> 00:01:41.280]   It was more than he could bear.
[00:01:41.280 --> 00:01:45.720]   So he began to pray, and prayed this prayer later when my brother came along.
[00:01:45.720 --> 00:01:49.800]   And his simple prayer was, "God, give me my children.
[00:01:49.800 --> 00:01:53.480]   God, I don't have to be a famous pastor.
[00:01:53.480 --> 00:01:56.520]   I don't have to pastor big, big churches.
[00:01:56.520 --> 00:02:03.920]   I just want my children to grow up and know you and accept you for their own."
[00:02:03.920 --> 00:02:06.920]   Then he got even a little more bold in his prayer.
[00:02:06.920 --> 00:02:12.920]   And he said, "Lord, it would be okay with me if my children live on the other side of
[00:02:12.920 --> 00:02:17.840]   the world far away from me, if they know you and they're serving you.
[00:02:17.840 --> 00:02:23.040]   I would rather have them on the other side of the world than live next door to me and
[00:02:23.040 --> 00:02:25.720]   rebel against you and go to hell."
[00:02:25.720 --> 00:02:28.760]   So fast forward 30 plus years.
[00:02:28.760 --> 00:02:31.240]   My sister grew up to be a worship leader.
[00:02:31.240 --> 00:02:35.120]   And oh, little caveat, we never knew dad prayed that prayer.
[00:02:35.120 --> 00:02:37.200]   He didn't pray that prayer in front of us.
[00:02:37.200 --> 00:02:40.080]   That was his personal private plea with the Lord.
[00:02:40.080 --> 00:02:43.120]   So we didn't know it was a setup.
[00:02:43.120 --> 00:02:45.760]   My sister grew up to be a worship leader.
[00:02:45.760 --> 00:02:48.280]   My brother grew up to be a pastor.
[00:02:48.280 --> 00:02:50.520]   And me, here I am.
[00:02:50.520 --> 00:02:56.240]   When I came to my dad in my mid-30s and said, "I believe God's leading me to move to Hong
