
[00:00:00.000 --> 00:00:04.920]  領事會好 我們今天會繼續來看民訴記
[00:00:04.920 --> 00:00:08.320]  我們看這一段的經文
[00:00:08.320 --> 00:00:15.080]  我們會看見都是來到一個很特別的一個情景
[00:00:15.080 --> 00:00:23.040]  因為20章裏面其實跟我們交代了兩個領袖的去世
[00:00:23.040 --> 00:00:34.560]  亦都在當中我們看見其實是再一次神的百姓是怎樣向摩西亞倫發怨言
[00:00:34.560 --> 00:00:42.720]  我們看見整件事都帶來很多令我們覺得是很憂傷的事
[00:00:42.720 --> 00:00:45.760]  但在憂傷的背後亦都讓我們看見
[00:00:45.760 --> 00:00:54.000]  縱然人會有軟弱 但上帝的心意和計劃是永遠都不會失敗的
[00:00:54.000 --> 00:01:04.120]  我們看這個經文之前 我們可以先來到很快的了解
[00:01:04.120 --> 00:01:14.480]  整章聖經我們知道這裏被我們看見是以色列民他們來到抗野旅程的一個尾聲
[00:01:14.480 --> 00:01:21.720]  他們在出埃及已經去到接近40年的時候
[00:01:21.720 --> 00:01:29.000]  舊世代的領袖提到我們在開始和這一章的結尾
[00:01:29.000 --> 00:01:35.200]  你就會看見米利安和他的弟弟亞倫相繼離世
[00:01:35.200 --> 00:01:41.640]  而摩西亦都因為米利巴這個水的事件
[00:01:41.640 --> 00:01:46.040]  他錯失入迦南地的機會 究竟這件是甚麼事呢
[00:01:46.040 --> 00:01:49.720]  我們待會看經文的時候亦都會讓我們看到的
[00:01:49.720 --> 00:01:54.400]  亦都是我們看見這一章和我們交代了
[00:01:54.400 --> 00:02:01.480]  舊的一代他們基本上沒有一個是可以入到迦南地
[00:02:01.480 --> 00:02:07.760]  除了約書亞和迦勒
[00:02:07.760 --> 00:02:17.360]  另外新一代他們是要在新的領袖約書亞帶領他們進去得著這個迦南地
[00:02:17.360 --> 00:02:25.640]  歷史背景亦都讓我們看見是包括出埃及之後大概40年的時候
[00:02:25.640 --> 00:02:30.040]  而地點就是這個迦底斯這個地方
[00:02:30.040 --> 00:02:35.200]  這個地方我們等會有一張地圖讓大家稍微有一個了解
