
[00:00:00.000 --> 00:00:02.680]  好 各位弟兄姐妹 大家主內平安
[00:00:02.680 --> 00:00:07.280]  今天要和大家一起思想的主題叫做
[00:00:07.280 --> 00:00:09.400]  突破框架的見命
[00:00:09.400 --> 00:00:12.840]  相信這段經文大家一定是不會陌生的了
[00:00:12.840 --> 00:00:17.200]  那麼就有一個文士來向耶穌提問了以後
[00:00:17.200 --> 00:00:20.880]  耶穌給他有在他知識體系當中
[00:00:20.880 --> 00:00:23.080]  一個相呼應的答案
[00:00:23.080 --> 00:00:26.160]  而且這樣去教導他 鼓勵他
[00:00:26.800 --> 00:00:32.280]  這樣的一個講題也和我八月的講道篇牌是有呼應
[00:00:32.280 --> 00:00:36.280]  上一次和大家分享了突破框架的信仰
[00:00:36.280 --> 00:00:41.360]  講到的是一個重生復活的一個問題
[00:00:41.360 --> 00:00:45.760]  今天要和大家講到一個突破框架的見命
[00:00:45.760 --> 00:00:49.640]  在馬可福音的第十二章當中
[00:00:49.640 --> 00:00:55.680]  耶穌他面對了三個問題的挑戰
[00:00:56.120 --> 00:00:59.720]  別人來提問 專門是來刁難耶穌的
[00:00:59.720 --> 00:01:02.480]  試探耶穌 挑戰他的
[00:01:02.480 --> 00:01:06.560]  分別在之前都和大家分享過
[00:01:06.560 --> 00:01:10.800]  有法利塞人和西律黨人曾經講過
[00:01:10.800 --> 00:01:13.400]  要納稅給凱撒的問題
[00:01:13.400 --> 00:01:16.080]  還有上次和大家分享過
[00:01:16.080 --> 00:01:20.400]  撒都該人來提問的一個復活的問題
[00:01:20.400 --> 00:01:24.680]  那麼今天要講到的就是文士又來了
[00:01:25.320 --> 00:01:28.480]  問的是最大的見命是什麼
[00:01:28.480 --> 00:01:31.520]  那麼對於以色列羣體
[00:01:31.520 --> 00:01:34.560]  這些分了各種的族羣
[00:01:34.560 --> 00:01:37.240]  分黨分派的一個羣體當中
[00:01:37.240 --> 00:01:40.880]  他們是很看重見命的
[00:01:40.880 --> 00:01:44.600]  從摩西當時領受的十戒開始
[00:01:44.600 --> 00:01:49.360]  他們就認爲了這是神給他們的一個約定
[00:01:49.360 --> 00:01:51.120]  生活的指引
[00:01:51.120 --> 00:01:54.520]  但是慢慢在他們的整個族羣
[00:01:55.120 --> 00:01:57.520]  成長和發展的過程當中
[00:01:57.520 --> 00:02:01.920]  他們已經不覺得這個十條的見命
[00:02:01.920 --> 00:02:05.000]  可以能夠幫助到他們生命更多的
[00:02:05.000 --> 00:02:06.960]  活出榮耀神的生命了
[00:02:06.960 --> 00:02:09.480]  所以就衍生出來了
[00:02:09.480 --> 00:02:12.840]  總共有613條的見命
[00:02:12.840 --> 00:02:15.600]  爲什麼是613條呢
[00:02:15.600 --> 00:02:17.320]  按照他們的傳統
[00:02:17.320 --> 00:02:20.840]  這613條分別就對應於
[00:02:21.520 --> 00:02:27.520]  十戒所用的希伯來文字的字數的總和
[00:02:27.520 --> 00:02:30.720]  613個字就衍生出來了
[00:02:30.720 --> 00:02:32.360]  613條的見命
[00:02:32.360 --> 00:02:36.520]  分別在其間有248條
[00:02:36.520 --> 00:02:39.680]  是正面的條例
[00:02:39.680 --> 00:02:41.600]  你應該做什麼事情
[00:02:41.600 --> 00:02:44.720]  它相對於當時以色列民
[00:02:44.720 --> 00:02:47.520]  他們對於人體構造的種的數目
[00:02:48.120 --> 00:02:51.960]  有448條這樣的一個數目
[00:02:51.960 --> 00:02:55.880]  另外還有減下來大家就知道還有
[00:02:55.880 --> 00:02:59.640]  365條反面的條例
[00:02:59.640 --> 00:03:01.240]  不應該做什麼的
[00:03:01.240 --> 00:03:07.560]  對應的也是相等於一年日期總和的數目
[00:03:07.560 --> 00:03:12.080]  所以在這613條的戒令下面
[00:03:12.080 --> 00:03:17.480]  就變成了整個以色列種族
