
[00:00:00.000 --> 00:00:05.240]  我們今天四月來到一個新的系列
[00:00:05.240 --> 00:00:07.880]  或者是中間我們插入了一個系列
[00:00:07.880 --> 00:00:08.840]  為了復活節
[00:00:08.840 --> 00:00:10.600]  就是Follow Jesus in the Holy Week
[00:00:10.600 --> 00:00:18.200]  我們去跟從耶穌去走最後的一個星期
[00:00:18.200 --> 00:00:19.480]  我們經常…
[00:00:19.480 --> 00:00:22.040]  例如基督徒總會知道復活節的
[00:00:22.040 --> 00:00:25.400]  但是有時問那些大人
[00:00:25.400 --> 00:00:27.160]  或者是直情可能只記得
[00:00:27.160 --> 00:00:31.000]  「哦,釘十字架,鞭打」
[00:00:31.000 --> 00:00:32.880]  沒有其他那些
[00:00:32.880 --> 00:00:35.600]  之後就有些靈性的聲音回答我
[00:00:35.600 --> 00:00:38.840]  還有發生過什麼事件
[00:00:38.840 --> 00:00:43.720]  其實我們很少去放大到耶穌的心裡面
[00:00:43.720 --> 00:00:46.680]  去聽其實祂的心聲是什麼
[00:00:46.680 --> 00:00:47.960]  我們只覺得
[00:00:47.960 --> 00:00:50.960]  見到外人去鞭打祂
[00:00:50.960 --> 00:00:54.600]  擺一個荊棘冠冕在祂頭上
[00:00:54.600 --> 00:00:57.440]  糟蹋祂,祂走苦路
[00:00:57.440 --> 00:01:00.600]  走上葛國塔,揹著十字架
[00:01:00.600 --> 00:01:03.800]  但好像很少去聽到祂說話
[00:01:03.800 --> 00:01:07.480]  今天在赫西瑪利園這個地方
[00:01:07.480 --> 00:01:10.280]  我們試試放大到耶穌的腦子裡面
[00:01:10.280 --> 00:01:15.360]  心裡面究竟祂對十字架這件事
[00:01:15.360 --> 00:01:18.720]  是在想什麼呢
[00:01:18.720 --> 00:01:21.560]  今天的場景
[00:01:21.560 --> 00:01:23.680]  就是在赫西瑪利園
[00:01:23.680 --> 00:01:24.720]  這幅圖你見到
[00:01:24.720 --> 00:01:26.560]  耶穌不是在睡覺
[00:01:26.560 --> 00:01:29.360]  是在禱告
[00:01:29.360 --> 00:01:34.520]  赫西瑪利園現在變成一個花園
[00:01:34.520 --> 00:01:39.320]  左邊有很多橄欖樹
[00:01:39.320 --> 00:01:41.440]  其實赫西瑪利這個字
[00:01:41.440 --> 00:01:48.440]  本來是橄欖壓榨的地區
[00:01:48.440 --> 00:01:50.920]  以至於他們壓榨橄欖油出來
[00:01:50.920 --> 00:01:53.000]  現在我去以色列
[00:01:53.000 --> 00:01:56.520]  其實現在赫西瑪利這個地方
[00:01:56.520 --> 00:01:57.720]  在現代來說
[00:01:57.720 --> 00:02:00.240]  不同的神學家會說有不同的地方
[00:02:00.240 --> 00:02:03.560]  所以真正的地方其實是不知道的
[00:02:03.560 --> 00:02:06.240]  但有人真的做了赫西瑪利園
[00:02:06.240 --> 00:02:08.000]  中間有一個祈禱的石
[00:02:08.000 --> 00:02:10.600]  就說耶穌在赫西瑪利園的祈禱
[00:02:10.600 --> 00:02:11.760]  就在這塊石上
[00:02:11.760 --> 00:02:14.080]  所以現在就變成一個打卡的地方
[00:02:14.080 --> 00:02:17.680]  說一點赫西瑪利大概是這樣
[00:02:17.680 --> 00:02:19.840]  不過在耶穌的時代
[00:02:19.840 --> 00:02:22.440]  其實赫西瑪利園對於門徒來說
[00:02:22.440 --> 00:02:24.040]  是一個很熟悉的地方
[00:02:24.040 --> 00:02:25.120]  為什麼這樣說呢
[00:02:25.120 --> 00:02:27.920]  在約翰福音十八章二字
[00:02:27.920 --> 00:02:30.240]  他說出賣耶穌的猶大也
[00:02:30.240 --> 00:02:32.440]  知道那地方因為耶穌和門徒
[00:02:32.440 --> 00:02:33.920]  屢次在那裡聚集
[00:02:33.920 --> 00:02:37.240]  其實這塊地方對於門徒和耶穌來說
[00:02:37.240 --> 00:02:38.320]  是一點也不陌生
[00:02:38.320 --> 00:02:40.840]  而耶穌是經常去那裡祈禱
[00:02:40.840 --> 00:02:45.280]  但是今天我們再去看這塊地方的時候
[00:02:45.480 --> 00:02:51.560]  就是耶穌最後一次來這個花園
[00:02:51.560 --> 00:02:54.960]  和最後一次和門徒去這個地方
[00:02:54.960 --> 00:03:01.360]  其實四卷福音書都有記載赫西瑪利園
[00:03:01.360 --> 00:03:04.280]  而這個地方我看上來
[00:03:04.280 --> 00:03:08.760]  其實有很多課程可以讓我們今天去看得到
[00:03:08.760 --> 00:03:09.760]  第一個
[00:03:09.760 --> 00:03:11.760]  我一會兒全部都會說
[00:03:11.760 --> 00:03:15.760]  這是一個讓我們看到
[00:03:15.760 --> 00:03:17.760]  耶穌為我們犧牲的地方
[00:03:17.760 --> 00:03:19.760]  赫西瑪利園也是
[00:03:19.760 --> 00:03:22.760]  耶穌為我們去馴服
[00:03:22.760 --> 00:03:24.760]  surrender的地方
[00:03:24.760 --> 00:03:26.760]  也是一個
[00:03:26.760 --> 00:03:32.760]  我們可以一起去見證上帝賜予能力的地方
[00:03:32.760 --> 00:03:35.760]  來到赫西瑪利園之前
[00:03:35.760 --> 00:03:38.760]  其實經濟發生了什麼事呢
[00:03:38.760 --> 00:03:41.360]  如果我們看《瑪太福音》
[00:03:41.360 --> 00:03:45.760]  我們會看到瑪利亞用了極貴香膏來羞辱耶穌
[00:03:45.760 --> 00:03:48.760]  用她的頭髮幫助耶穌抹腳
[00:03:48.760 --> 00:03:52.760]  耶穌還稱讚這個女士
[00:03:52.760 --> 00:03:57.760]  猶太人用了三十塊錢出賣耶穌
[00:03:57.760 --> 00:04:01.760]  之後耶穌和門徒去守禦節
[00:04:01.760 --> 00:04:03.760]  而在晚餐的最後
[00:04:03.760 --> 00:04:06.760]  也是這一段經文的剛剛之前
[00:04:07.160 --> 00:04:12.160]  耶穌給了她三次不認主
[00:04:12.160 --> 00:04:15.160]  不是 耶穌給了她三次不認主
[00:04:15.160 --> 00:04:16.160]  真的拍了她的胸口
[00:04:16.160 --> 00:04:18.160]  不管她去哪裡
[00:04:18.160 --> 00:04:20.160]  我總是不會不認你的
