
[00:00:00.000 --> 00:00:04.000]  鄭智慧記者
[00:00:04.000 --> 00:00:06.000]  在預備這篇訊息的時候
[00:00:06.000 --> 00:00:10.000]  沒有想到在這個星期
[00:00:10.000 --> 00:00:14.000]  在香港發生一件令人很心痛的事
[00:00:14.000 --> 00:00:19.000]  我不知道在星期三那天
[00:00:19.000 --> 00:00:25.000]  你是當時在做些什麼
[00:00:25.000 --> 00:00:27.000]  因為發生在下午的時候
[00:00:27.000 --> 00:00:30.000]  我想很多人都忙於工作
[00:00:32.000 --> 00:00:34.000]  當時我記得
[00:00:34.000 --> 00:00:38.000]  曾經好像在手機有人傳過一些片段
[00:00:38.000 --> 00:00:41.000]  但是初初火災起的時候
[00:00:41.000 --> 00:00:49.000]  其實沒有想到會演變成這樣
[00:00:49.000 --> 00:00:56.000]  當時我的心一直忙於其他的事情和工作
[00:00:56.000 --> 00:01:00.000]  我基本上去到黃昏的時候
[00:01:00.000 --> 00:01:04.000]  要回家吃飯
[00:01:04.000 --> 00:01:09.000]  看到那個新聞才知道這麼嚴重
[00:01:09.000 --> 00:01:14.000]  而且當時已經升到五級的大火
[00:01:14.000 --> 00:01:18.000]  一直燃燒的時候
[00:01:18.000 --> 00:01:20.000]  我不知道大家當時看到這個情景
[00:01:20.000 --> 00:01:23.000]  你會有什麼感受
[00:01:23.000 --> 00:01:25.000]  對於我來說
[00:01:25.000 --> 00:01:27.000]  本身我自己以前是做工程的
[00:01:27.000 --> 00:01:33.000]  所以我自己是有很大的感受在裡面
[00:01:33.000 --> 00:01:39.000]  我覺得這一班居民住在裡面
[00:01:39.000 --> 00:01:43.000]  其實他們逃生的機會可能已經越來越微
[00:01:43.000 --> 00:01:47.000]  甚至如果可以倖存是一個神蹟
[00:01:47.000 --> 00:01:49.000]  因為你想一下
[00:01:49.000 --> 00:01:53.000]  當時後來看回那些資料
[00:01:53.000 --> 00:01:56.000]  原來是初初起火的時候
[00:01:56.000 --> 00:02:00.000]  短短在半個小時內
[00:02:00.000 --> 00:02:04.000]  它從三級升到四級
