
[00:00:00.000 --> 00:00:02.000]  (字幕:梁美芬)
[00:00:03.000 --> 00:00:06.000]  各位線上的朋友,弟兄姊妹
[00:00:06.000 --> 00:00:09.000]  在疫情很嚴峻的時候
[00:00:09.000 --> 00:00:12.000]  向大家去問安
[00:00:12.000 --> 00:00:16.000]  願神方方面面去保守各位
[00:00:16.000 --> 00:00:18.000]  知道在擔心的裏面
[00:00:18.000 --> 00:00:22.000]  知道我們去看媒體、新聞
[00:00:22.000 --> 00:00:27.000]  都讓我們的心有跌宕、很矛盾
[00:00:27.000 --> 00:00:30.000]  但是既然大家都很清楚
[00:00:30.000 --> 00:00:34.000]  我們回到上帝的面前得平安
[00:00:34.000 --> 00:00:39.000]  剛才的詩歌也給我們有盼望和鼓勵
[00:00:39.000 --> 00:00:44.000]  我很想藉著《約翰一書》的訊息
[00:00:44.000 --> 00:00:46.000]  神兒女的特質
[00:00:46.000 --> 00:00:49.000]  彼此勉勵、彼此體會
[00:00:49.000 --> 00:00:53.000]  上帝給我們神兒女這麼寶貴的身份
[00:00:53.000 --> 00:00:57.000]  讓我們去經歷人生的旅程
[00:00:57.000 --> 00:01:00.000]  現在非常大的考驗裏面
[00:01:00.000 --> 00:01:03.000]  神給過我們的特質
[00:01:03.000 --> 00:01:07.000]  讓我們可以安然去面對
[00:01:07.000 --> 00:01:10.000]  現在香港的市民
[00:01:10.000 --> 00:01:14.000]  心裏面都有一個目標
[00:01:14.000 --> 00:01:18.000]  就是在抗疫環境裏面
[00:01:18.000 --> 00:01:22.000]  能夠成功地去完成
[00:01:22.000 --> 00:01:27.000]  不同人去看成功是有他的定義的
[00:01:27.000 --> 00:01:31.000]  好像愛因斯坦這樣說
[00:01:31.000 --> 00:01:35.000]  成功就是艱苦的勞動
[00:01:35.000 --> 00:01:40.000]  要加上正確的方法和小說、空話
[00:01:40.000 --> 00:01:43.000]  我的理解就是不說一些無謂的話
[00:01:43.000 --> 00:01:46.000]  不要只說,要有行動
[00:01:46.000 --> 00:01:50.000]  對他來說,成功需要人的勞力
[00:01:50.000 --> 00:01:55.000]  也需要在一些步驟、工具、方式上
[00:01:55.000 --> 00:02:00.000]  去用得正確,這樣才可以達至成功
[00:02:00.000 --> 00:02:03.000]  另外一個人就說
[00:02:03.000 --> 00:02:05.000]  要成功一項事業
[00:02:05.000 --> 00:02:09.000]  必須花一輩子的時間
[00:02:09.000 --> 00:02:16.000]  是否需要這麼長時間去完成一個事業呢?
[00:02:16.000 --> 00:02:21.000]  我看會就是原來人生在做一些工作
[00:02:21.000 --> 00:02:23.000]  要達成一個目標
[00:02:23.000 --> 00:02:25.000]  可能都會有跌跌碰碰
[00:02:25.000 --> 00:02:29.000]  有時做到,然後走三步
[00:02:29.000 --> 00:02:31.000]  可能又跌一步
[00:02:31.000 --> 00:02:33.000]  然後又向前兩步
[00:02:33.000 --> 00:02:35.000]  又退後兩步
[00:02:35.000 --> 00:02:37.000]  在這些跌跌碰碰底下
[00:02:37.000 --> 00:02:39.000]  持久力是很重要
[00:02:39.000 --> 00:02:42.000]  能夠堅持到底
[00:02:42.000 --> 00:02:48.000]  用一生人,最終就會達至所要的目標和結果
[00:02:48.000 --> 00:02:52.000]  另外,冰心是用一個很文雅的方式
[00:02:52.000 --> 00:02:54.000]  我覺得很有意思
[00:02:54.000 --> 00:03:00.000]  他說:收養的花兒在寂靜中開過去了
[00:03:00.000 --> 00:03:05.000]  成功的果子便要在光明裡結實
[00:03:05.000 --> 00:03:08.000]  他用字很精簡
[00:03:08.000 --> 00:03:13.000]  要種花,要培育,要修剪
[00:03:13.000 --> 00:03:17.000]  在這個過程中經歷了
[00:03:17.000 --> 00:03:21.000]  很自然地,按照大自然的規律
[00:03:21.000 --> 00:03:24.000]  花就會結果
[00:03:24.000 --> 00:03:28.000]  無論不同的人如何去看待成功
[00:03:28.000 --> 00:03:33.000]  我覺得有一個必然的因素
[00:03:33.000 --> 00:03:36.000]  就是必須有清晰的目標
[00:03:36.000 --> 00:03:39.000]  今天跟大家從約翰一書
[00:03:39.000 --> 00:03:42.000]  二章二十八到三章十四
[00:03:42.000 --> 00:03:45.000]  去看信徒的生命旅程
[00:03:45.000 --> 00:03:50.000]  老約翰寫這段經文的時候
[00:03:50.000 --> 00:03:57.000]  十一位的使徒已經離世
[00:03:57.000 --> 00:04:03.000]  他當時大概是公元八十幾九十年
[00:04:03.000 --> 00:04:09.000]  他如何去看待自己的人生旅程
[00:04:09.000 --> 00:04:12.000]  當然他也過渡了很多目標
[00:04:12.000 --> 00:04:17.000]  但他在這段經文裡告訴我們
[00:04:17.000 --> 00:04:21.000]  信徒的明確目標是甚麼
[00:04:21.000 --> 00:04:25.000]  他只說了兩件事,但都是很重要的
[00:04:25.000 --> 00:04:30.000]  他告訴我們在達至明確目標的中
[00:04:30.000 --> 00:04:37.000]  甚麼是我們要持有的能力傳源
[00:04:37.000 --> 00:04:43.000]  我們需要依靠這些能力才能達到目標
[00:04:43.000 --> 00:04:46.000]  他再用一個比較長的篇幅
[00:04:46.000 --> 00:04:50.000]  他就說這個過程中有很多干擾
[00:04:50.000 --> 00:04:53.000]  我們要切斷這些干擾
[00:04:53.000 --> 00:04:59.000]  我們持續向目標的一切
[00:04:59.000 --> 00:05:01.000]  當我們看這段經文的時候
[00:05:01.000 --> 00:05:06.000]  就發覺有些詞語出現得比較多
[00:05:06.000 --> 00:05:09.000]  例如「神的兒女」
[00:05:09.000 --> 00:05:14.000]  在這段經文裡已經出現了四個詞語
[00:05:14.000 --> 00:05:18.000]  「神的兒女」在約翰一書之前
[00:05:18.000 --> 00:05:22.000]  一章、二章都沒有提及過
[00:05:22.000 --> 00:05:25.000]  都是用信徒來形容
[00:05:25.000 --> 00:05:29.000]  另一個詞語就是「由神生的」
[00:05:29.000 --> 00:05:31.000]  「他所生的」
[00:05:31.000 --> 00:05:34.000]  不單是我們今天所看的這段
[00:05:34.000 --> 00:05:37.000]  接下來的四章、五章
[00:05:37.000 --> 00:05:42.000]  都有七次提及「從甚麼而生」
