
[00:00:00.000 --> 00:00:02.000]  頂智妹早晨
[00:00:02.000 --> 00:00:06.800]  我們繼續看今日啟示錄的時候
[00:00:06.800 --> 00:00:09.680]  這是緊接上一堂
[00:00:09.680 --> 00:00:13.000]  我們在這裡有黃國峰傳道
[00:00:13.000 --> 00:00:16.800]  和林朗熙傳道都有和我們分享過的
[00:00:16.800 --> 00:00:18.800]  第十一章尾部
[00:00:18.800 --> 00:00:21.800]  是講到七號結束的時候
[00:00:21.800 --> 00:00:23.800]  神的時候到了
[00:00:23.800 --> 00:00:27.200]  去到講七碗大災難的時候
[00:00:27.200 --> 00:00:28.800]  在十五到十六章
[00:00:28.800 --> 00:00:32.200]  其實中間夾著三張聖經
[00:00:32.200 --> 00:00:37.000]  這三張聖經其實正是要告訴我們
[00:00:37.000 --> 00:00:40.800]  今日在地上的所有教會屬神的兒女
[00:00:40.800 --> 00:00:42.600]  我們知道我們在地上
[00:00:42.600 --> 00:00:48.400]  是要來面對一連串的衝擊
[00:00:48.400 --> 00:00:50.800]  那些困難和挑戰
[00:00:50.800 --> 00:00:53.000]  這個是來自黑暗的勢力
[00:00:53.000 --> 00:00:56.200]  來自魔鬼的權勢
[00:00:56.200 --> 00:01:01.800]  但是我們有一個很重要的訊息在這裡
[00:01:01.800 --> 00:01:04.200]  特別我們今天講十二章的時候
[00:01:04.200 --> 00:01:07.000]  你正是要掌握到
[00:01:07.000 --> 00:01:11.400]  這個正邪爭戰的結局已經定了
[00:01:11.400 --> 00:01:13.000]  已經發生了
[00:01:13.000 --> 00:01:15.200]  已經是讓我們很清楚看見
[00:01:15.200 --> 00:01:20.200]  主耶穌已經坐在天上的寶座為王
[00:01:20.200 --> 00:01:23.400]  但是人類歷史還沒完的
[00:01:23.400 --> 00:01:25.400]  他有第二次再來的
[00:01:25.400 --> 00:01:27.800]  在這張聖經裡面
[00:01:27.800 --> 00:01:31.600]  單是十二章已經是很濃縮的
[00:01:31.600 --> 00:01:32.600]  其中有一節
[00:01:32.600 --> 00:01:34.600]  是將耶穌基督的降生
[00:01:34.600 --> 00:01:37.600]  至到人類歷史終結的審判
[00:01:37.600 --> 00:01:42.200]  是壓縮了在一個很短的片段裡面
[00:01:42.200 --> 00:01:43.200]  為什麼呢?
[00:01:43.200 --> 00:01:45.000]  為什麼要越過了
[00:01:45.000 --> 00:01:46.600]  因為這個不是福音書
[00:01:46.600 --> 00:01:49.200]  他不是在講耶穌基督的生平
[00:01:49.200 --> 00:01:50.600]  這個是啟示錄
[00:01:50.600 --> 00:01:54.000]  他要將人類歷史整個大佈局
[00:01:54.000 --> 00:01:57.400]  以及上帝他自己的心意
[00:01:57.400 --> 00:02:00.000]  他要他的兒女們謹記
[00:02:00.000 --> 00:02:02.600]  你不要只看眼前的挑戰
[00:02:02.600 --> 00:02:04.200]  那些苦難 那些困難
[00:02:04.200 --> 00:02:05.200]  你要看什麼?
[00:02:05.200 --> 00:02:07.200]  你要終結這個大圖畫
[00:02:07.200 --> 00:02:08.600]  這個大爭戰
[00:02:08.600 --> 00:02:10.200]  結局已經定了
[00:02:10.200 --> 00:02:12.400]  主耶穌基督就是那個神的羔羊
[00:02:12.400 --> 00:02:13.800]  已經得勝了
[00:02:13.800 --> 00:02:16.400]  所以我們今天可以靠著
[00:02:16.400 --> 00:02:19.600]  他在十字架為我們所成就的救恩
[00:02:19.600 --> 00:02:21.400]  是致命的一擊
[00:02:21.400 --> 00:02:24.200]  叫魔鬼撒旦和他所有的差役
[00:02:24.200 --> 00:02:25.800]  全部失敗
[00:02:25.800 --> 00:02:28.800]  當我們有一個這樣的理解的時候
[00:02:28.800 --> 00:02:30.000]  我們再看一看
[00:02:30.000 --> 00:02:32.200]  我們過去這半年裡面
[00:02:32.200 --> 00:02:35.000]  其實整個啟示錄除了頭三章
[00:02:35.000 --> 00:02:37.000]  我們講到七教會之外
