
[00:00:00.000 --> 00:00:04.000]  我們今天來到馬可福音的講道系列的第九講,
[00:00:04.000 --> 00:00:08.000]  我們要看第三章第一到第十二節。
[00:00:08.000 --> 00:00:12.000]  我們今天會看耶穌的自我隱藏。
[00:00:12.000 --> 00:00:16.000]  我不知道你小時候看電視劇,
[00:00:16.000 --> 00:00:22.000]  有哪一些電視劇是對你印象比較深刻的?
[00:00:22.000 --> 00:00:26.000]  對我來說,我印象比較深刻的是,
[00:00:26.000 --> 00:00:30.000]  其中一個是這一句,
[00:00:30.000 --> 00:00:34.000]  不是這一句,是小時候沒有機會看這一句。
[00:00:34.000 --> 00:00:38.000]  現在年紀大了,但是大概有這樣的。
[00:00:38.000 --> 00:00:44.000]  就是皇帝微服初尋這個情節,
[00:00:44.000 --> 00:00:48.000]  對我小時候覺得太棒了,太聰明瞭,太厲害了。
[00:00:48.000 --> 00:00:50.000]  為什麼呢?
[00:00:50.000 --> 00:00:54.000]  我覺得皇帝微服初尋這個情節,
[00:00:54.000 --> 00:00:58.000]  我覺得皇帝竟然能夠到民間,
[00:00:58.000 --> 00:01:02.000]  不是到人間,他也是人,到民間,
[00:01:02.000 --> 00:01:06.000]  能夠去到民間,然後以一種隱藏的身份,
[00:01:06.000 --> 00:01:12.000]  就知道民間他們在吃什麼,喝什麼,
[00:01:12.000 --> 00:01:15.000]  講論這個國家什麼等等。
[00:01:15.000 --> 00:01:18.000]  我就覺得皇帝就在那邊一面聽,
[00:01:18.000 --> 00:01:21.000]  一面瞭解真正的狀態是怎樣的。
[00:01:21.000 --> 00:01:25.000]  我就是在小時候就心裡想,這個太聰明瞭,
[00:01:25.000 --> 00:01:29.000]  然後就會想像如果是公司的老闆,
[00:01:29.000 --> 00:01:33.000]  能夠很難,現在已經有科技,
[00:01:33.000 --> 00:01:36.000]  就算你是個大集團的企業,
[00:01:36.000 --> 00:01:39.000]  很多人都知道你的樣子是怎樣的,
[00:01:39.000 --> 00:01:42.000]  很難隱藏,不過如果可以的話多麼好啊,
[00:01:42.000 --> 00:01:47.000]  你可以去到那邊,你可以知道員工真正想的是什麼,
[00:01:47.000 --> 00:01:52.000]  百姓想的是什麼,真正想的是什麼,多麼好啊。
[00:01:52.000 --> 00:01:56.000]  父母能夠知道孩子真正想的是什麼,
[00:01:56.000 --> 00:02:01.000]  真正把心裡話講出來到底是什麼,多麼好的一件事情。
[00:02:01.000 --> 00:02:07.000]  當然這裡是紀曉蘭那些的系列,
[00:02:07.000 --> 00:02:11.000]  張國立演紀曉蘭,張鐵林就演乾隆,
[00:02:11.000 --> 00:02:16.000]  還有何生是誰演的,王剛演的。
[00:02:16.000 --> 00:02:22.000]  其中一個情節很有意思的,我記得,
[00:02:22.000 --> 00:02:26.000]  我沒有完全看完,沒有時間看那麼多劇,
[00:02:26.000 --> 00:02:35.000]  其中一個就是去問,很開心的問一個婦女雞蛋賣多少錢,
[00:02:35.000 --> 00:02:39.000]  很開心的,當時心情還蠻好的,問雞蛋賣多少錢,
[00:02:39.000 --> 00:02:46.000]  婦女就說五文錢,她立刻就龍顏就改變了面色,
[00:02:46.000 --> 00:02:51.000]  因為她的官員跟她說雞蛋一個賣十兩,
[00:02:51.000 --> 00:03:01.000]  報上來的是十兩,在民間是五文錢一個。
[00:03:01.000 --> 00:03:06.000]  就是這裡有很多的貪污,她頓時就知道了,
[00:03:06.000 --> 00:03:11.000]  當然其他官員想要告訴她不一樣的,
[00:03:11.000 --> 00:03:16.000]  在咱們朝廷裡面吃的雞蛋特別好,質量特別好,
[00:03:16.000 --> 00:03:19.000]  所以基本上很有意思。
[00:03:19.000 --> 00:03:26.000]  今天我們要看耶穌的自我隱藏,沒有主題的意思,
[00:03:26.000 --> 00:03:33.000]  耶穌也曾經在世的時候,他也把自己的身份刻意地隱藏起來,
[00:03:33.000 --> 00:03:38.000]  在1901年有一個德國學者Rader,
[00:03:38.000 --> 00:03:43.000]  他就留意到這一點,他就說馬可福音,
