
[00:00:00.000 --> 00:00:02.000]   Good morning, everyone.
[00:00:02.000 --> 00:00:05.000]   Today we are going to talk about the fourth chapter.
[00:00:05.000 --> 00:00:18.000]   This picture is about a tree, or a plant, if you remember.
[00:00:18.000 --> 00:00:30.000]   I thought of a famous V-Thot, but I was afraid that people would complain if I uploaded it.
[00:00:30.000 --> 00:00:33.000]   So I will use a German word.
[00:00:33.000 --> 00:00:38.000]   I heard the pronunciation, but I might have read it wrong.
[00:00:38.000 --> 00:00:41.000]   It's Schadenfreude.
[00:00:41.000 --> 00:00:44.000]   I will sing it again.
[00:00:44.000 --> 00:00:46.000]   Schadenfreude.
[00:00:46.000 --> 00:00:49.000]   Let's give Gabriel a round of applause.
[00:00:49.000 --> 00:00:51.000]   Schadenfreude.
[00:00:51.000 --> 00:00:57.000]   You might have guessed the meaning of this word if you watched the video.
[00:00:57.000 --> 00:00:59.000]   Let me show you what it means.
[00:00:59.000 --> 00:01:02.000]   I think Gabriel might know, but let me show you.
[00:01:02.000 --> 00:01:06.000]   The hint is that it is in the Oxford Dictionary.
[00:01:06.000 --> 00:01:09.000]   But it is a combination of two German words.
[00:01:09.000 --> 00:01:16.000]   Schadenfreude.
[00:01:16.000 --> 00:01:20.000]   I checked it online, so I might be wrong.
[00:01:20.000 --> 00:01:22.000]   Schaden means damage.
[00:01:22.000 --> 00:01:24.000]   And Freude means joy.
[00:01:24.000 --> 00:01:26.000]   Can you guess what this word means?
[00:01:26.000 --> 00:01:31.000]   The first one is damage, and the second one is joy.
[00:01:31.000 --> 00:01:38.000]   Joy over damage.
[00:01:38.000 --> 00:01:39.000]   Joy over damage.
[00:01:39.000 --> 00:01:42.000]   Yes, that's the German composition.
[00:01:42.000 --> 00:01:46.000]   What is this word?
[00:01:46.000 --> 00:01:49.000]   I chose this one.
[00:01:49.000 --> 00:01:54.000]   If I know the Chinese name, I will use the Chinese idiom "幸"
[00:01:54.000 --> 00:01:55.000]  幸在樂和
[00:01:55.000 --> 00:02:00.000]   I know there is a more common phrase in Hong Kong.
[00:02:00.000 --> 00:02:03.000]   It means "I am happy to see others being embarrassed."
[00:02:03.000 --> 00:02:04.000]   I won't post this one.
[00:02:04.000 --> 00:02:07.000]   I thought about it for a long time, but I was afraid that people would complain.
