
[00:00:00.000 --> 00:00:05.000]  那麼今天要和大家一起思想的一個主題叫做
[00:00:05.000 --> 00:00:08.000]  活出上帝的榮耀
[00:00:08.000 --> 00:00:11.000]  很多人理解基督徒的生命呢
[00:00:11.000 --> 00:00:14.000]  總是簡單的以為
[00:00:14.000 --> 00:00:21.000]  我們好像只是讀經 禱告 去到教會等等
[00:00:21.000 --> 00:00:22.000]  周啊 復識
[00:00:22.000 --> 00:00:25.000]  當然這些對我們的生命很重要
[00:00:25.000 --> 00:00:30.000]  除此以外呢 其實大家如果留意的時候又可以發現
[00:00:30.000 --> 00:00:32.000]  在我們的群體當中啊
[00:00:32.000 --> 00:00:35.000]  就像剛才看到大家的那些
[00:00:35.000 --> 00:00:38.000]  洋溢著喜樂的笑容的時候
[00:00:38.000 --> 00:00:39.000]  你就會發現
[00:00:39.000 --> 00:00:41.000]  我們的群體當中
[00:00:41.000 --> 00:00:45.000]  有老 有少 有小朋友
[00:00:45.000 --> 00:00:48.000]  大家就聚在一起一起生活
[00:00:48.000 --> 00:00:51.000]  經歷主的恩典和陶灶
[00:00:51.000 --> 00:00:57.000]  彼此去提醒 一起去建立這個鼠靈的家
[00:00:57.000 --> 00:01:01.000]  那麼今天和大家講這個活出上帝的榮耀呢
[00:01:01.000 --> 00:01:04.000]  特別選了提多書
[00:01:04.000 --> 00:01:10.000]  提多書呢 是使徒保羅特別寫給提多
[00:01:10.000 --> 00:01:12.000]  是保羅的一個生命當中
[00:01:12.000 --> 00:01:16.000]  在傳道當中一個好的夥伴 同伴
[00:01:16.000 --> 00:01:19.000]  在這裡呢 還有一個很重要的一個人
[00:01:19.000 --> 00:01:22.000]  同伴 在這裡呢 還把它稱為是
[00:01:22.000 --> 00:01:27.000]  共性之道做我真兒子的提多
[00:01:27.000 --> 00:01:31.000]  因著性 生命就彼此連接
[00:01:31.000 --> 00:01:34.000]  把一個重任交給了提多以後
[00:01:34.000 --> 00:01:40.000]  寫信給他 囑咐一些非常非常關鍵的教義
[00:01:40.000 --> 00:01:43.000]  那麼寫信給提多的時候呢
[00:01:43.000 --> 00:01:47.000]  當時這個情況呢 發生在了克里特
[00:01:47.000 --> 00:01:49.000]  那麼經文當中之前也有寫啊
[00:01:49.000 --> 00:01:52.000]  大家看一章的時候就可以看到
[00:01:52.000 --> 00:01:57.000]  這裡就講到了 我從前留你在克里特
[00:01:57.000 --> 00:02:02.000]  克里特呢 如果大家去旅行啊 以後啊
[00:02:02.000 --> 00:02:05.000]  或者是呢 查考地圖還有保羅的宣教旅程的話呢
[00:02:05.000 --> 00:02:06.000]  就可以發現
[00:02:06.000 --> 00:02:12.000]  它呢 是地中海當中一個很大的島嶼
[00:02:12.000 --> 00:02:16.000]  在這個島上呢 聚集了一幫的居民
[00:02:16.000 --> 00:02:18.000]  保羅透過宣教旅程呢
[00:02:18.000 --> 00:02:21.000]  還把提多留在了那裡
[00:02:21.000 --> 00:02:23.000]  有重任要交給他
[00:02:23.000 --> 00:02:24.000]  而且呢 要吩咐他
[00:02:24.000 --> 00:02:28.000]  在各城裡面呢 不是你一個人做就可以了
[00:02:28.000 --> 00:02:32.000]  你要去設立長老
[00:02:32.000 --> 00:02:35.000]  一起為著神的緣故 建立群體
[00:02:35.000 --> 00:02:37.000]  彼此去提醒
[00:02:37.000 --> 00:02:42.000]  那麼在思想這個要活出上帝榮耀的這個主題的時候呢
[00:02:42.000 --> 00:02:44.000]  我就想到了三點啊
[00:02:44.000 --> 00:02:47.000]  結合當時的一個克里特島
[00:02:47.000 --> 00:02:49.000]  當時的處境
[00:02:49.000 --> 00:02:52.000]  我們現在要面對的難處有三點
[00:02:52.000 --> 00:02:55.000]  接下來呢 會為大家一起來分享
[00:02:55.000 --> 00:02:58.000]  我們現在一起來禱告
[00:02:58.000 --> 00:03:01.000]  我們一起安靜在我們的主前
[00:03:01.000 --> 00:03:04.000]  我們同心合一地禱告
[00:03:04.000 --> 00:03:08.000]  天父上帝愛我們的主
[00:03:08.000 --> 00:03:14.000]  真的只有你才是我們生命當中最大的盼望
[00:03:14.000 --> 00:03:16.000]  不管時局如何
[00:03:16.000 --> 00:03:19.000]  我們只要緊緊地跟隨主
[00:03:19.000 --> 00:03:23.000]  就盡力主你特別的恩典和帶領
[00:03:23.000 --> 00:03:27.000]  幫助我們所行所言所做
[00:03:27.000 --> 00:03:30.000]  都榮耀我們天上的父
[00:03:30.000 --> 00:03:32.000]  今天是一個主日
[00:03:32.000 --> 00:03:35.000]  我們眾弟兄姐妹有一個特別的相聚
[00:03:35.000 --> 00:03:39.000]  是主你親自把我們的心聯繫在了一起
[00:03:39.000 --> 00:03:41.000]  求主你的真道
[00:03:41.000 --> 00:03:44.000]  祝福我們每一位弟兄姐妹
[00:03:44.000 --> 00:03:47.000]  不論在哪裡都祝福我們的每一位弟兄姐妹
[00:03:47.000 --> 00:03:50.000]  叫他們因著主你的道
[00:03:50.000 --> 00:03:52.000]  就被改變 被提醒
[00:03:52.000 --> 00:03:54.000]  家庭和生命就得祝福
[00:03:54.000 --> 00:03:57.000]  活出主你的榮耀來
[00:03:57.000 --> 00:04:00.000]  求主你也祝福我們接下來
[00:04:00.000 --> 00:04:03.000]  一起來思考主你真道的時間
[00:04:03.000 --> 00:04:05.000]  同心合一地禱告
[00:04:05.000 --> 00:04:08.000]  奉主耶穌基督得勝的名阿求
[00:04:08.000 --> 00:04:10.000]  Amen
[00:04:10.000 --> 00:04:13.000]  好 那麼首先第一點
[00:04:13.000 --> 00:04:16.000]  要活出上帝的榮耀
[00:04:16.000 --> 00:04:22.000]  就要看到面對世界的挑戰
[00:04:22.000 --> 00:04:23.000]  各位弟兄姐妹
[00:04:23.000 --> 00:04:27.000]  其實我們不是生活在一個完全真空
[00:04:27.000 --> 00:04:30.000]  沒有罪的環境裡面
[00:04:30.000 --> 00:04:34.000]  哪怕是就在伊甸園的時候
[00:04:34.000 --> 00:04:39.000]  也會有各樣的試探和挑戰
[00:04:39.000 --> 00:04:43.000]  引致到人就犯罪 墮落
[00:04:43.000 --> 00:04:46.000]  更加因為人類的始祖犯罪以後
[00:04:46.000 --> 00:04:50.000]  罪就臨到了這個世界當中
[00:04:50.000 --> 00:04:53.000]  我們每一天的生活 工作 侍奉等等
[00:04:53.000 --> 00:04:56.000]  都會面對這樣一種的挑戰
[00:04:56.000 --> 00:04:58.000]  世俗的挑戰也好
[00:04:58.000 --> 00:05:00.000]  宗教的宗戰也好
[00:05:00.000 --> 00:05:03.000]  都在影響著我們
[00:05:03.000 --> 00:05:06.000]  聽我自己的聲音呢
[00:05:06.000 --> 00:05:09.000]  還是聽主的聲音呢
[00:05:09.000 --> 00:05:11.000]  榮耀主的益處呢
[00:05:11.000 --> 00:05:14.000]  還是尋求別人的益處呢
[00:05:14.000 --> 00:05:17.000]  都是讓我們在做選擇的時候
[00:05:17.000 --> 00:05:20.000]  對我們生命產生的考驗
[00:05:20.000 --> 00:05:22.000]  所以第一點
[00:05:22.000 --> 00:05:25.000]  面對世界的挑戰
[00:05:25.000 --> 00:05:28.000]  當時的克里特呢
[00:05:28.000 --> 00:05:31.000]  你會發現當時的處境
[00:05:31.000 --> 00:05:34.000]  和現在也有相關
[00:05:34.000 --> 00:05:36.000]  非常的雷同
[00:05:36.000 --> 00:05:38.000]  甚至有些的局面呢
[00:05:38.000 --> 00:05:42.000]  比我們現在面對的還要糟糕
[00:05:42.000 --> 00:05:45.000]  那麼大家如果看伊甸的時候呢
[00:05:45.000 --> 00:05:48.000]  就可以在十二十三節看到
[00:05:48.000 --> 00:05:52.000]  當時保羅他都不自己去描述了
[00:05:52.000 --> 00:05:55.000]  他僅用了一個在當時啊
[00:05:55.000 --> 00:06:00.000]  當地一個的本地的先知就說了
[00:06:00.000 --> 00:06:03.000]  克里特人常說謊話
[00:06:03.000 --> 00:06:06.000]  乃是惡獸
[00:06:06.000 --> 00:06:08.000]  都不用人來形容啊
[00:06:08.000 --> 00:06:10.000]  你可以看到他敗壞到什麼程度
[00:06:10.000 --> 00:06:14.000]  惡獸又饞又懶
[00:06:14.000 --> 00:06:17.000]  我想到的一種的生命狀況啊
[00:06:17.000 --> 00:06:20.000]  就像是這幅圖一樣
[00:06:20.000 --> 00:06:24.000]  缺少了真的是神的這份愛的滋養
[00:06:24.000 --> 00:06:27.000]  缺少了真道的帶領
[00:06:27.000 --> 00:06:30.000]  慢慢的枯乾乾渴
[00:06:30.000 --> 00:06:34.000]  我需要很多東西來填滿我的內心
[00:06:34.000 --> 00:06:37.000]  說殘言
[00:06:37.000 --> 00:06:40.000]  我去墮落犯罪
[00:06:40.000 --> 00:06:44.000]  我是來實物來領受
[00:06:44.000 --> 00:06:47.000]  來表達自己的益處
[00:06:47.000 --> 00:06:50.000]  所以呢在這裡當時啊
[00:06:50.000 --> 00:06:54.000]  他面對的是一個非常艱巨的挑戰
[00:06:54.000 --> 00:06:56.000]  提多在那裡
[00:06:56.000 --> 00:06:59.000]  但是呢保羅吩咐提多啊
[00:06:59.000 --> 00:07:03.000]  他留在那裡的目的不是去審判的
[00:07:03.000 --> 00:07:06.000]  而是呢我們看到第十三節
[00:07:06.000 --> 00:07:08.000]  這個見證是真的
[00:07:08.000 --> 00:07:11.000]  形容克里特人的那個見證是真的
[00:07:11.000 --> 00:07:15.000]  所以你就吩咐了提多了
[00:07:15.000 --> 00:07:18.000]  要嚴嚴地責備他們
[00:07:18.000 --> 00:07:22.000]  責備的目的不是去審判啊
[00:07:22.000 --> 00:07:24.000]  而是呢可以把他們輓回回來
[00:07:24.000 --> 00:07:29.000]  使他們在真道上存全無詞啊
[00:07:29.000 --> 00:07:32.000]  以至於乾渴的心靈
[00:07:32.000 --> 00:07:35.000]  重新得到滋潤和慰安
[00:07:35.000 --> 00:07:38.000]  重新回到神的懷抱當中
[00:07:38.000 --> 00:07:42.000]  重新得享有主同行的喜樂
[00:07:42.000 --> 00:07:44.000]  那麼當時的挑戰呢
[00:07:44.000 --> 00:07:46.000]  不單是形容的這幾句啊
[00:07:46.000 --> 00:07:50.000]  這個說謊話啊惡獸啊又纏又狼啊
[00:07:50.000 --> 00:07:53.000]  大家如果在看六節你會發現
[00:07:53.000 --> 00:07:57.000]  不是那般的群體不認識神啊
[00:07:57.000 --> 00:08:02.000]  其實他們有的其實聽過上帝的真道
[00:08:02.000 --> 00:08:06.000]  我們在看第六節的時候我們就可以看到
