
[00:00:00.000 --> 00:00:03.660]  親愛的弟兄姊妹朋友們 平安
[00:00:03.660 --> 00:00:07.880]  這幾天我很感恩 我用了很多的時間
[00:00:07.880 --> 00:00:10.200]  安靜在神面前
[00:00:10.200 --> 00:00:13.660]  看了很多YouTube裡面的見證
[00:00:13.660 --> 00:00:17.720]  世界各地的基督徒怎麼樣經歷上帝
[00:00:17.720 --> 00:00:20.600]  得到很大的鼓勵跟安慰
[00:00:20.600 --> 00:00:24.780]  那麼今天很開心能夠在這個父兒節
[00:00:24.780 --> 00:00:27.620]  今天跟大家一起分享神的話語
[00:00:27.620 --> 00:00:30.200]  讓我們先做一個禱告
[00:00:30.200 --> 00:00:36.200]  親愛的天父上帝 我們滿心感謝讚美你
[00:00:36.200 --> 00:00:41.100]  當我們意識到你復活帶來的這個意義
[00:00:41.100 --> 00:00:44.500]  我們就更明白你為我們所做的一切
[00:00:44.500 --> 00:00:46.960]  是何等的幫助我們
[00:00:46.960 --> 00:00:49.160]  脫離那必死的結局
[00:00:49.160 --> 00:00:52.120]  使我們能夠有一個重生的機會
[00:00:52.120 --> 00:00:53.920]  我們感謝讚美你
[00:00:53.920 --> 00:00:56.360]  請你今天與我們同在
[00:00:56.360 --> 00:00:58.220]  也預備我們眾人的心
[00:00:58.220 --> 00:01:00.020]  就好像耶穌所說的
[00:01:00.020 --> 00:01:02.300]  我們的心成為一片好土
[00:01:02.300 --> 00:01:05.440]  能夠聆聽 能夠領受你的道
[00:01:05.440 --> 00:01:09.740]  我們就結出30倍 60倍 100倍的果子
[00:01:09.740 --> 00:01:11.300]  我們感謝讚美你
[00:01:11.300 --> 00:01:13.000]  願你的名得榮耀
[00:01:13.000 --> 00:01:15.580]  禱告奉耶穌基督聖名祈求
[00:01:15.580 --> 00:01:17.580]  Amen
[00:01:17.580 --> 00:01:21.920]  好 再一次的祝福大家復活節快樂
[00:01:21.920 --> 00:01:24.940]  復活節是一個非常重要的日子
[00:01:24.940 --> 00:01:29.040]  基督徒為什麼慶祝復活節呢?
[00:01:29.040 --> 00:01:31.660]  因為耶穌基督的復活
[00:01:31.660 --> 00:01:34.660]  戰勝了死亡的詮釋
[00:01:34.660 --> 00:01:37.140]  使人有永生的機會
[00:01:37.140 --> 00:01:38.940]  這個死亡的詮釋
[00:01:38.940 --> 00:01:44.900]  是有古以來全人類的一個痛角
[00:01:44.900 --> 00:01:46.580]  因為不管我們怎麼樣努力地
[00:01:46.580 --> 00:01:49.100]  去過一個有意義的人生
[00:01:49.100 --> 00:01:53.460]  我們知道死亡會使我們前面的努力
[00:01:53.460 --> 00:01:55.700]  一筆勾銷
[00:01:55.700 --> 00:01:58.500]  不但如此 聖經還告訴我們
[00:01:58.500 --> 00:02:00.420]  在這個死亡之後
[00:02:00.420 --> 00:02:03.820]  我們還要為我們生命中的罪
[00:02:03.820 --> 00:02:06.220]  來面對審判
[00:02:06.220 --> 00:02:10.500]  因為那位造物主是一位公義的主
[00:02:10.500 --> 00:02:12.540]  既然是一位公義的主
[00:02:12.540 --> 00:02:18.100]  就不應該讓有罪的能夠成為無罪
[00:02:18.100 --> 00:02:20.900]  所以公義必須得到伸張
[00:02:20.900 --> 00:02:23.180]  所以如果我們生命中有罪
[00:02:23.180 --> 00:02:27.860]  我們是免不了要接受懲罰
[00:02:27.860 --> 00:02:30.620]  那麼今天我跟大家一起看的
[00:02:30.620 --> 00:02:32.060]  這個也是我們基督徒
[00:02:32.060 --> 00:02:34.460]  為什麼慶祝復活節的原因
[00:02:34.460 --> 00:02:37.060]  就是我們今天的經文
[00:02:37.060 --> 00:02:38.300]  聖經這麼說
[00:02:38.300 --> 00:02:43.420]  然而叫耶穌從死裡復活者的靈
[00:02:43.420 --> 00:02:45.460]  是叫耶穌有能力
[00:02:45.460 --> 00:02:49.380]  叫耶穌從死裡復活的靈
[00:02:49.380 --> 00:02:52.020]  如果住在你們心裡
[00:02:52.020 --> 00:02:55.100]  那叫基督耶穌從死裡復活的
[00:02:55.100 --> 00:02:56.460]  再強調一次
[00:02:56.460 --> 00:02:59.820]  有能力叫基督耶穌復活的
[00:02:59.820 --> 00:03:04.300]  也必藉著住在你們心裡的聖靈
[00:03:04.300 --> 00:03:08.540]  就是上帝能夠藉著住在我們心裡的聖靈
[00:03:08.540 --> 00:03:12.900]  使你們必死的身體又活過來
[00:03:12.900 --> 00:03:16.740]  這個是今天我們要一起看的這段經文
[00:03:16.740 --> 00:03:19.380]  那麼我想問一下大家
[00:03:19.380 --> 00:03:26.740]  你希望你的人生有改變嗎?
[00:03:26.740 --> 00:03:31.300]  我相信大家的答案都不一樣的
[00:03:31.300 --> 00:03:35.180]  不同的生活範疇有不同的答案
[00:03:35.180 --> 00:03:39.060]  可能你對你的生活的某一些範疇很滿意了
[00:03:39.060 --> 00:03:41.300]  你說不要改變
[00:03:41.300 --> 00:03:44.700]  可是對於你的生活的另一些範疇
[00:03:44.700 --> 00:03:47.460]  你覺得總是有一些障礙
[00:03:47.460 --> 00:03:49.700]  你很想改變它
[00:03:49.700 --> 00:03:52.900]  所以我們不同人在不同的事情上
[00:03:52.900 --> 00:03:55.100]  有不同的答案
[00:03:55.100 --> 00:03:58.740]  另外就是你在不同的人生階段
[00:03:58.740 --> 00:04:01.860]  你也會有不同的答案
[00:04:01.860 --> 00:04:03.980]  可能你年紀輕的時候
[00:04:03.980 --> 00:04:07.020]  你在想如果我是這樣這樣這樣
[00:04:07.020 --> 00:04:11.020]  我能夠做到那樣那樣就好了
[00:04:11.020 --> 00:04:13.380]  但是如果你已經來到一個
[00:04:13.380 --> 00:04:15.780]  人生閱歷很豐富的時候
[00:04:15.780 --> 00:04:20.620]  你慢慢的也領悟到什麼叫知足常樂
