
[00:00:00.000 --> 00:00:04.760]   - Thanks, Pastor John.
[00:00:04.760 --> 00:00:06.200]   Good evening, everyone.
[00:00:06.200 --> 00:00:09.000]   Yeah, again, my name is Gabe,
[00:00:09.000 --> 00:00:12.360]   and I've been part of KFCI for the last two years,
[00:00:12.360 --> 00:00:16.920]   and very excited to dig into God's word with you all tonight.
[00:00:16.920 --> 00:00:19.740]   Thanks again to Pastor John for giving me the opportunity
[00:00:19.740 --> 00:00:22.200]   and for inviting me to preach today.
[00:00:22.200 --> 00:00:24.120]   So the past few weeks,
[00:00:24.120 --> 00:00:26.840]   we've been going through the book of 1 Peter,
[00:00:26.840 --> 00:00:30.600]   and in particular, we've been looking at the theme of hope.
[00:00:30.600 --> 00:00:34.100]   1 Peter is a letter written by the apostle Peter
[00:00:34.100 --> 00:00:36.800]   to Christians who have been exiled, scattered,
[00:00:36.800 --> 00:00:38.440]   uprooted from their homes
[00:00:38.440 --> 00:00:40.120]   because of the fact that they were Christians,
[00:00:40.120 --> 00:00:42.280]   they were being persecuted.
[00:00:42.280 --> 00:00:45.000]   He's writing to a people who are probably confused
[00:00:45.000 --> 00:00:47.360]   and discouraged by the persecution
[00:00:47.360 --> 00:00:49.600]   and suffering that they were facing.
[00:00:49.600 --> 00:00:52.260]   And he writes to them to remind them of the hope
[00:00:52.260 --> 00:00:55.800]   that they have in Christ, to take heart, to trust God,
[00:00:55.800 --> 00:00:58.720]   and to press on through their suffering.
[00:00:58.720 --> 00:01:01.400]   In chapter one, we saw that we have been born again
[00:01:01.400 --> 00:01:03.460]   to a living hope through the resurrection
[00:01:03.460 --> 00:01:05.040]   of Jesus Christ from the dead.
[00:01:05.040 --> 00:01:09.240]   And James asked us the question, how hopeful are you?
[00:01:09.240 --> 00:01:10.840]   In chapter two, Pastor John, he preached
[00:01:10.840 --> 00:01:13.920]   that we are a chosen race, a royal priesthood,
[00:01:13.920 --> 00:01:16.960]   a holy nation, a people for God's own possession,
[00:01:16.960 --> 00:01:19.440]   and that we should live according to our calling.
[00:01:19.440 --> 00:01:23.680]   And Michelle reminded me last week from chapter three
[00:01:23.680 --> 00:01:26.800]   to follow Christ's example to bless others.
[00:01:26.800 --> 00:01:29.440]   Do not repay evil for evil, but on the contrary,
[00:01:29.440 --> 00:01:32.320]   bless that you may obtain a blessing.
[00:01:32.320 --> 00:01:34.240]   And now today in chapter four,
[00:01:34.240 --> 00:01:36.440]   we will be answering this question.
[00:01:36.440 --> 00:01:40.720]   That is, what is the attitude of people living in hope?
[00:01:40.720 --> 00:01:43.200]   What attitude drives the lives of people with hope?
[00:01:43.200 --> 00:01:45.080]   What attitude molds our lives?
[00:01:45.080 --> 00:01:47.420]   Now there's a lot in this chapter,
[00:01:47.420 --> 00:01:49.680]   so we'll only be able to scratch the surface
[00:01:49.680 --> 00:01:52.000]   of the riches of God's words today.
[00:01:52.000 --> 00:01:53.760]   Peter gives many commands in this chapter
[00:01:53.760 --> 00:01:55.280]   and we can't touch on all of them,
[00:01:55.280 --> 00:01:58.560]   but he also gives us the motivation behind those commands.
[00:01:58.560 --> 00:02:01.040]   And my hope today is that we'll be able to see
[00:02:01.040 --> 00:02:04.080]   the big picture for the reason why Peter commands us
[00:02:04.080 --> 00:02:07.520]   the way he does in light of the hope that we have.
[00:02:07.520 --> 00:02:09.240]   So let's get into it.
[00:02:09.240 --> 00:02:10.800]   This is 1 Peter chapter four.
[00:02:10.800 --> 00:02:14.360]   Since therefore Christ suffered in the flesh,
[00:02:14.360 --> 00:02:16.900]   arm yourselves with the same way of thinking.
[00:02:16.900 --> 00:02:19.900]   For whoever has suffered in the flesh has ceased from sin.
[00:02:19.900 --> 00:02:22.280]   So as to live for the rest of the time in the flesh,
[00:02:22.280 --> 00:02:25.600]   no longer for human passions, before the will of God.
[00:02:25.600 --> 00:02:27.620]   For the time that is past suffices for doing
[00:02:27.620 --> 00:02:29.280]   what the Gentiles want to do.
[00:02:29.280 --> 00:02:31.520]   Living in sensuality, passions, drunkenness,
[00:02:31.520 --> 00:02:34.700]   orgies, drinking parties, and lawless idolatry.
[00:02:34.700 --> 00:02:37.000]   With respect to this, they are surprised
[00:02:37.000 --> 00:02:39.640]   when you do not join them in the same flood of debauchery
[00:02:39.640 --> 00:02:41.340]   and they malign you.
[00:02:41.340 --> 00:02:43.040]   But they will give an account to him
[00:02:43.040 --> 00:02:45.720]   who is ready to judge the living and the dead.
[00:02:45.720 --> 00:02:47.960]   For this is why the gospel was preached
[00:02:47.960 --> 00:02:49.480]   even to those who are dead.
[00:02:49.480 --> 00:02:51.760]   That though judged in the flesh the way people are,
[00:02:51.760 --> 00:02:54.520]   they might live in the spirit the way God does.
[00:02:54.520 --> 00:02:56.600]   The end of all things is at hand.
[00:02:56.600 --> 00:02:58.840]   Therefore, be self-controlled and sober minded
[00:02:58.840 --> 00:03:00.640]   for the sake of your prayers.
[00:03:00.640 --> 00:03:03.160]   Above all, keep loving one another earnestly,
[00:03:03.160 --> 00:03:05.840]   since love covers a multitude of sins.
[00:03:05.840 --> 00:03:08.640]   Show hospitality to one another without grumbling.
[00:03:08.640 --> 00:03:11.920]   As each has received a gift, use it to serve one another
[00:03:11.920 --> 00:03:14.760]   as good stewards of God's varied grace.
[00:03:14.760 --> 00:03:17.880]   Whoever speaks as one who speaks oracles of God,
[00:03:17.880 --> 00:03:19.680]   whoever serves as one who serves
[00:03:19.680 --> 00:03:21.640]   by the strength that God supplies,
[00:03:21.640 --> 00:03:23.040]   in order that in everything,
[00:03:23.040 --> 00:03:25.440]   God may be glorified through Jesus Christ.
[00:03:25.440 --> 00:03:29.240]   To him belong glory and dominion forever and ever, amen.
[00:03:29.240 --> 00:03:31.680]   Beloved, do not be surprised at the fiery trial
[00:03:31.680 --> 00:03:33.560]   when it comes upon you to test you,
[00:03:33.560 --> 00:03:35.960]   as though something strange were happening to you.
[00:03:35.960 --> 00:03:38.640]   But rejoice insofar as you share Christ's sufferings,
[00:03:38.640 --> 00:03:41.080]   that you may also rejoice and be glad
[00:03:41.080 --> 00:03:42.920]   when his glory is revealed.
[00:03:42.920 --> 00:03:44.960]   If you are insulted for the name of Christ,
[00:03:44.960 --> 00:03:47.200]   you are blessed because the spirit of glory
[00:03:47.200 --> 00:03:48.880]   and of God rests upon you.
[00:03:48.880 --> 00:03:51.040]   But let none of you suffer as a murderer or thief
[00:03:51.040 --> 00:03:53.360]   or evildoer or meddler.
[00:03:53.360 --> 00:03:55.840]   Yet if anyone suffers as a Christian,
[00:03:55.840 --> 00:03:57.240]   let him not be ashamed,
[00:03:57.240 --> 00:03:59.760]   but let him glorify God in that name.
[00:03:59.760 --> 00:04:01.440]   For it is time for judgment to begin
[00:04:01.440 --> 00:04:02.920]   at the household of God.
[00:04:02.920 --> 00:04:04.240]   And if it begins with us,
[00:04:04.240 --> 00:04:05.440]   what will be the outcome of those
[00:04:05.440 --> 00:04:07.840]   who do not obey the gospel of God?
[00:04:07.840 --> 00:04:10.160]   And if the righteous is scarcely saved,
[00:04:10.160 --> 00:04:13.400]   what will become of the ungodly and the sinner?
[00:04:13.400 --> 00:04:16.440]   Therefore, let those who suffer according to God's will
[00:04:16.440 --> 00:04:20.400]   entrust their souls to a faithful creator while doing good.
[00:04:20.400 --> 00:04:21.400]   This is God's word.
[00:04:21.400 --> 00:04:25.240]   Now, the first thing Peter calls us to do
[00:04:25.240 --> 00:04:29.560]   that we'll look in today is to fight sin by following Christ.
[00:04:29.560 --> 00:04:32.440]   To fight sin by following Christ.
[00:04:32.440 --> 00:04:34.760]   The context here is that there are Christians
[00:04:34.760 --> 00:04:39.560]   who are suffering persecution as a result of avoiding sin.
[00:04:39.560 --> 00:04:41.240]   We see this in verse three.
[00:04:41.240 --> 00:04:42.840]   For the time that has passed suffices
[00:04:42.840 --> 00:04:44.560]   for doing what the Gentiles want to do,
[00:04:44.560 --> 00:04:46.760]   living in sensuality, passions, drunkenness,
[00:04:46.760 --> 00:04:49.640]   orgies, drinking parties, and lawless idolatries.
[00:04:49.640 --> 00:04:51.600]   By Gentiles here,
[00:04:51.600 --> 00:04:55.400]   Peter is referring to unbelievers who do not fear God.
[00:04:55.400 --> 00:04:58.720]   The situation is that the world around these Christians
[00:04:58.720 --> 00:05:01.080]   is completely corrupt and they're indulging
[00:05:01.080 --> 00:05:02.840]   in all of these sinful passions.
[00:05:02.840 --> 00:05:05.400]   And then in verse four, with respect to this,
[00:05:05.400 --> 00:05:07.560]   they are surprised when you do not join them
[00:05:07.560 --> 00:05:11.280]   in the same flood of debauchery and they malign you.
[00:05:11.280 --> 00:05:14.960]   Sin is so ingrained in the culture that it is strange
[00:05:14.960 --> 00:05:18.120]   when these Christians, when we do not participate.
[00:05:18.120 --> 00:05:21.320]   And more than that, the world maligns, slanders,
[00:05:21.320 --> 00:05:24.040]   mocks these Christians, they persecute them
[00:05:24.040 --> 00:05:25.960]   because they choose not to indulge
[00:05:25.960 --> 00:05:27.960]   in the sin that the world wants.
[00:05:27.960 --> 00:05:30.560]   And so the Christians here are suffering
[00:05:30.560 --> 00:05:32.480]   because of their desire to fight sin
[00:05:32.480 --> 00:05:35.880]   and to do the will of God instead of the will of the world.
[00:05:35.880 --> 00:05:38.160]   And our situation might not be too different.
[00:05:38.160 --> 00:05:42.440]   2000 years later, we live in the same corrupt world.
[00:05:42.440 --> 00:05:45.240]   Maybe to your coworkers, one drink isn't enough.
[00:05:45.240 --> 00:05:47.640]   They want you to get completely blackout drunk
