
[00:00:00.000 --> 00:00:07.280]  (主持人: 丁子妹 早安)
[00:00:07.280 --> 00:00:11.840]  (主持人: 今天很開心能夠繼續跟大家來查考)
[00:00:11.840 --> 00:00:14.240]  (主持人: 事思記)
[00:00:14.240 --> 00:00:17.600]  (主持人: 其實我們看我們人生的時候)
[00:00:17.600 --> 00:00:21.360]  (主持人: 我們每個家庭都是一本難唸的經)
[00:00:21.360 --> 00:00:22.400]  (主持人: 今天的題目就是)
[00:00:22.400 --> 00:00:26.640]  (主持人: 你的家是否真的與神納約)
[00:00:26.640 --> 00:00:31.760]  (主持人: 我們看到最近在四五月期間)
[00:00:31.760 --> 00:00:35.280]  (主持人: 我參考了兩個新聞的資訊)
[00:00:35.280 --> 00:00:37.040]  (主持人: 都是說到在疫情下)
[00:00:37.040 --> 00:00:40.880]  (主持人: 其實各地的離婚數字是激增的)
[00:00:40.880 --> 00:00:43.120]  (主持人: 這個情況就是說)
[00:00:43.120 --> 00:00:47.200]  (主持人: 現在我們是否 work from home)
[00:00:47.200 --> 00:00:50.800]  (主持人: 更加與家人更加緊密相連)
[00:00:50.800 --> 00:00:53.520]  (主持人: 其實我們發覺情況不一定是)
[00:00:53.520 --> 00:00:57.360]  (主持人: 反而我們會見證)
[00:00:57.360 --> 00:01:02.000]  (主持人: 有很多是因為他們與家人緊密)
[00:01:02.000 --> 00:01:05.680]  (主持人: 相處時間多了就反而出事)
[00:01:05.680 --> 00:01:11.600]  (主持人: 在四月份有一個韓國的熱播電視劇)
[00:01:11.600 --> 00:01:13.360]  (主持人: 叫做《夫妻的世界》)
[00:01:13.360 --> 00:01:15.840]  (主持人: 播出之後反應很熱烈)
[00:01:15.840 --> 00:01:20.720]  (主持人: 也引來很多人在網上有非常多的討論)
[00:01:20.720 --> 00:01:24.080]  (主持人: 從數據上我們可以看到)
[00:01:24.080 --> 00:01:28.240]  (主持人: 無論是中國 日本 韓國 甚至香港)
[00:01:28.240 --> 00:01:31.680]  (主持人: 離婚的個案是有上升的趨勢)
[00:01:31.680 --> 00:01:37.360]  (主持人: 當中特別是香港的離婚個案)
[00:01:37.360 --> 00:01:39.280]  (主持人: 有三大主要原因)
[00:01:39.280 --> 00:01:43.920]  (主持人: 一方面是關於婚外情的問題)
[00:01:43.920 --> 00:01:45.760]  (主持人: 另外就是經濟的問題)
[00:01:45.760 --> 00:01:50.480]  (主持人: 第三方面就是子女教養的問題)
[00:01:50.480 --> 00:01:53.840]  (主持人: 這些問題也帶來)
[00:01:53.840 --> 00:01:54.960]  (主持人: 讓我們看到)
[00:01:54.960 --> 00:01:58.000]  (主持人: 就像上次我在港島的時候)
[00:01:58.000 --> 00:01:58.960]  (主持人: 跟大家提到)
[00:01:58.960 --> 00:02:00.320]  (主持人: 我們的人生)
[00:02:00.320 --> 00:02:02.640]  (主持人: 很多時候都有三方面)
