
[00:00:00.000 --> 00:00:03.000]  我們先來做一個禱告
[00:00:03.000 --> 00:00:05.000]  天父我們感謝你
[00:00:05.000 --> 00:00:07.000]  因為我們是你的兒女
[00:00:07.000 --> 00:00:10.000]  我們知道在這個東單不安
[00:00:10.000 --> 00:00:15.000]  對未來充滿很多不確定的因素
[00:00:15.000 --> 00:00:19.000]  但是我們心中有我們的主耶穌基督
[00:00:19.000 --> 00:00:23.000]  你是世界的真正的歷史的主
[00:00:23.000 --> 00:00:26.000]  所以我們心中不懼怕
[00:00:26.000 --> 00:00:29.000]  我們知道不單是我們個人
[00:00:29.000 --> 00:00:30.000]  我們的家庭
[00:00:30.000 --> 00:00:32.000]  我們的事業
[00:00:32.000 --> 00:00:34.000]  還有我們的社會
[00:00:34.000 --> 00:00:35.000]  我們的國家
[00:00:35.000 --> 00:00:37.000]  一切都在你的手裡
[00:00:37.000 --> 00:00:40.000]  求主幫助你的兒女
[00:00:40.000 --> 00:00:41.000]  我們有同樣的
[00:00:41.000 --> 00:00:44.000]  因為倚靠神敬畏神
[00:00:44.000 --> 00:00:49.000]  所以我們能夠有這個安穩在你的手中
[00:00:49.000 --> 00:00:50.000]  倚靠你的心
[00:00:50.000 --> 00:00:52.000]  求主幫助你的孩子
[00:00:52.000 --> 00:00:54.000]  今天要講得到
[00:00:54.000 --> 00:00:57.000]  能夠給弟兄姐妹有鼓勵
[00:00:57.000 --> 00:01:00.000]  讓聽的我們同感一靈
[00:01:00.000 --> 00:01:02.000]  我們懂得在這個大時代裡面
[00:01:02.000 --> 00:01:04.000]  我們怎樣去生活
[00:01:04.000 --> 00:01:06.000]  能夠永生一人
[00:01:06.000 --> 00:01:08.000]  求主幫助我們以下的時間
[00:01:08.000 --> 00:01:10.000]  同心合一地禱告
[00:01:10.000 --> 00:01:12.000]  是奉主耶穌基督的名求
[00:01:12.000 --> 00:01:13.000]  Amen
[00:01:13.000 --> 00:01:14.000]  好
[00:01:14.000 --> 00:01:19.000]  我們今天要講的是第八章
[00:01:19.000 --> 00:01:26.000]  剛才姐妹已經帶我們來讀過這一段的經文
[00:01:26.000 --> 00:01:30.000]  這段經文的前文是在第七章
[00:01:30.000 --> 00:01:36.000]  第七章跟第八章其實有很密切的關係
[00:01:36.000 --> 00:01:38.000]  在知與不知
[00:01:38.000 --> 00:01:41.000]  在人生經歷不公義的事情
[00:01:41.000 --> 00:01:44.000]  我們還是要敬畏神
[00:01:44.000 --> 00:01:46.000]  因為神的主權
[00:01:46.000 --> 00:01:48.000]  在洪水泛濫之時
[00:01:48.000 --> 00:01:51.000]  祂來還是坐著為皇
[00:01:51.000 --> 00:01:53.000]  在黑暗當中
[00:01:53.000 --> 00:01:57.000]  我們的上帝仍是世界的光
[00:01:57.000 --> 00:02:01.000]  所以我們今天作為神的兒女
[00:02:01.000 --> 00:02:05.000]  我們不需要各分來擔憂
[00:02:05.000 --> 00:02:07.000]  這是聖經的教導
[00:02:07.000 --> 00:02:10.000]  教導我們凡事我們要感恩
[00:02:10.000 --> 00:02:11.000]  要常常喜樂
[00:02:11.000 --> 00:02:13.000]  還有說什麼
[00:02:13.000 --> 00:02:19.000]  凡事我們來設恩感恩
[00:02:19.000 --> 00:02:20.000]  是嗎
[00:02:20.000 --> 00:02:25.000]  如果我們懂得保留給我們生活的秘訣的話
[00:02:25.000 --> 00:02:28.000]  我們今天不需要懼怕
[00:02:28.000 --> 00:02:31.000]  我們的不確定的明天
[00:02:31.000 --> 00:02:34.000]  在第七章其實他要告訴我們
