
[00:00:00.000 --> 00:00:07.440]   - Good evening, everyone.
[00:00:07.440 --> 00:00:08.440]   Can you hear me?
[00:00:08.440 --> 00:00:10.440]   I feel like I can't hear myself.
[00:00:10.440 --> 00:00:11.440]   Okay.
[00:00:11.440 --> 00:00:12.520]   It's great to be with you guys.
[00:00:12.520 --> 00:00:15.440]   I'm really glad to be sharing a message today.
[00:00:15.440 --> 00:00:21.760]   It's been on my heart to share about what it really means to bear one another's burden.
[00:00:21.760 --> 00:00:29.480]   Because many a times, you just think that we can come into faith, and this is a one-to-one
[00:00:29.480 --> 00:00:34.600]   thing where it's a relationship between just us and God.
[00:00:34.600 --> 00:00:39.080]   But God has actually given us a community to be with.
[00:00:39.080 --> 00:00:43.680]   And we've not only called to have a one-on-one relationship with God, but we've been called
[00:00:43.680 --> 00:00:48.400]   to have a relationship with the people around us in the community.
[00:00:48.400 --> 00:00:53.180]   And so today, we're gonna be looking at how we can bear one another's burden by looking
[00:00:53.180 --> 00:00:56.440]   at Galatians chapter six, verse one to two.
[00:00:56.440 --> 00:01:00.720]   Now before we get to that, I do wanna tell you a little bit of a background of what the
[00:01:00.720 --> 00:01:02.680]   book of Galatians was like.
[00:01:02.680 --> 00:01:08.820]   Now at that time, it was actually a letter written by Apostle Paul, and he was telling
[00:01:08.820 --> 00:01:13.840]   the churches in Galatia an issue that was disturbing them.
[00:01:13.840 --> 00:01:15.280]   Now what was the issue?
[00:01:15.280 --> 00:01:22.000]   The issue was that there were agitators, and they were telling the people that even though
[00:01:22.000 --> 00:01:28.560]   you have believed in Jesus, you still needed to follow the laws that were handed down by
[00:01:28.560 --> 00:01:29.760]   Moses.
[00:01:29.760 --> 00:01:35.880]   And now, Apostle Paul knew that this isn't right, so he wrote letters.
[00:01:35.880 --> 00:01:42.040]   And this letter, all six chapters address the different points that he wanted to tell
[00:01:42.040 --> 00:01:43.520]   the people there.
[00:01:43.520 --> 00:01:50.160]   And so as we look into this book, this is what we're gonna see.
[00:01:50.160 --> 00:01:55.440]   And so he's been trying to tell them that don't live by the laws, don't just follow
[00:01:55.440 --> 00:02:00.720]   them like rules, instead live in the spirit.
[00:02:00.720 --> 00:02:08.440]   And if you, one of the more famous passages from Galatians chapter five is that, the fruit
[00:02:08.440 --> 00:02:13.120]   of the spirits, and do you know all the fruit of the spirits?
[00:02:13.120 --> 00:02:14.120]   Yes.
[00:02:14.120 --> 00:02:21.840]   Love, joy, peace, kindness, goodness, faithfulness, gentleness.
[00:02:21.840 --> 00:02:25.520]   Don't forget patience, yes.
[00:02:25.520 --> 00:02:26.780]   Self-control.
[00:02:26.780 --> 00:02:29.640]   And why is it that he's asking them to do that?
[00:02:29.640 --> 00:02:34.880]   Is because right before then, he's saying that you need to live by the spirit.
[00:02:34.880 --> 00:02:39.000]   It doesn't mean that the law doesn't matter anymore, because the law is actually lived
[00:02:39.000 --> 00:02:40.520]   through the spirit.
[00:02:40.520 --> 00:02:45.720]   What that means is when you live by the spirit and have all these fruits, you have already
[00:02:45.720 --> 00:02:48.120]   followed the laws.
[00:02:48.120 --> 00:02:49.400]   And what does the law say?
[00:02:49.400 --> 00:02:53.320]   The law actually wanted people to be away from the flesh.
