
[00:00:00.000 --> 00:00:03.400]  讓我們今天看回我們的題目
[00:00:03.400 --> 00:00:06.280]  就是我們誰是出賣主的人
[00:00:06.280 --> 00:00:09.520]  我們來到馬學福音第15章
[00:00:09.520 --> 00:00:11.720]  和大家稍微溫習一下
[00:00:11.720 --> 00:00:14.680]  14章我們用了三堂的時間
[00:00:14.680 --> 00:00:18.880]  我們來看到怎樣為主
[00:00:18.880 --> 00:00:23.000]  來到香膏來抹主的腳
[00:00:23.000 --> 00:00:25.400]  用他的頭髮來抹乾
[00:00:25.400 --> 00:00:29.600]  這是預表著主耶穌要為我們去死
[00:00:29.600 --> 00:00:30.800]  上十字架
[00:00:30.800 --> 00:00:32.960]  而耶穌設立聖餐這件事
[00:00:32.960 --> 00:00:35.280]  我們看到聖餐的無教餅
[00:00:35.280 --> 00:00:37.600]  是預表著主的身體為我們抹
[00:00:37.600 --> 00:00:40.360]  可以還清我們每一個人犯罪
[00:00:40.360 --> 00:00:42.480]  所需要付的代價
[00:00:42.480 --> 00:00:43.480]  而最後
[00:00:43.480 --> 00:00:45.760]  舊約這麼多的很多預言
[00:00:45.760 --> 00:00:48.880]  都是指向這位尼塞亞耶穌基督
[00:00:48.880 --> 00:00:50.360]  他降生為人
[00:00:50.360 --> 00:00:52.960]  最後為我們走這條苦路
[00:00:52.960 --> 00:00:54.360]  是釘身十字架
[00:00:54.360 --> 00:00:57.560]  而今天馬學福音我們去到第15章
[00:00:57.560 --> 00:01:00.920]  就是整個過程也都很清楚和我們說
[00:01:00.920 --> 00:01:03.800]  主被帶到比拉多面前受審
[00:01:03.800 --> 00:01:04.920]  被定罪
[00:01:04.920 --> 00:01:06.880]  然後跟著被鞭打
[00:01:06.880 --> 00:01:08.160]  釘身十架
[00:01:08.160 --> 00:01:09.880]  和安葬在墓穴
[00:01:09.880 --> 00:01:13.360]  我們會分幾堂來分享
[00:01:13.360 --> 00:01:15.600]  我今天先和大家分享
[00:01:15.600 --> 00:01:17.680]  頭那一個大的段落
[00:01:17.680 --> 00:01:19.040]  頭那十五節
[00:01:19.040 --> 00:01:21.280]  是說到一個猶太人
[00:01:21.280 --> 00:01:22.480]  就是我們這位主耶穌
[00:01:22.480 --> 00:01:29.560]  被抓到一個外邦人的審判法庭裏面
[00:01:29.560 --> 00:01:32.160]  因為當時猶太人
[00:01:32.160 --> 00:01:33.640]  他們這個巴勒斯坦地
[00:01:33.640 --> 00:01:36.560]  是被羅馬帝國管轄的
[00:01:36.560 --> 00:01:38.640]  這個羅馬巡撫就是比拉多
[00:01:38.640 --> 00:01:41.440]  比拉多多次的審問耶穌
[00:01:41.440 --> 00:01:44.440]  其實他審不到耶穌有任何的罪
[00:01:44.440 --> 00:01:48.440]  但是就在他這些這麼清楚的證據底下
[00:01:48.440 --> 00:01:53.960]  他怎樣明明有他的良知呼喚他
[00:01:53.960 --> 00:01:56.240]  這個是一個義人
[00:01:56.240 --> 00:01:59.040]  但為什麼到最後他還是選擇了
[00:01:59.040 --> 00:02:04.440]  將耶穌交到迪亞尼號處決呢
[00:02:04.440 --> 00:02:06.080]  這個不義的過程
[00:02:06.080 --> 00:02:08.400]  我們都需要研究一下
[00:02:08.400 --> 00:02:11.920]  所以讓我們進入現場
[00:02:11.920 --> 00:02:14.120]  我們進入聖經
[00:02:14.120 --> 00:02:16.520]  在當時耶穌的年代
[00:02:16.520 --> 00:02:18.760]  我們要明白那些背景
[00:02:18.760 --> 00:02:22.400]  亦都要來代入那些角色
[00:02:22.400 --> 00:02:25.160]  我盼望今天我們沒有一個人坐在這裏聽
[00:02:25.160 --> 00:02:26.840]  你以為你是旁聽
[00:02:26.840 --> 00:02:29.120]  你以為是在這裏看一場戲
[00:02:29.120 --> 00:02:29.960]  不是
[00:02:29.960 --> 00:02:34.560]  你和我都好像要回到當日這個法庭裏面
[00:02:34.560 --> 00:02:36.680]  究竟你是屬於哪一個人
[00:02:36.680 --> 00:02:38.160]  我們一起祈禱
[00:02:38.160 --> 00:02:41.040]  天父我求你張開我們的眼
[00:02:41.040 --> 00:02:43.400]  亦都打開我們的耳朵
[00:02:43.400 --> 00:02:47.360]  讓我們的心靈有這份謙卑受教的心
[00:02:47.360 --> 00:02:50.800]  願你的聖靈將你的聖言打開
[00:02:50.800 --> 00:02:52.360]  你感動我們
[00:02:52.360 --> 00:02:53.960]  讓我們在哪個地方
[00:02:53.960 --> 00:02:56.680]  我們軟弱失敗跌倒犯罪
[00:02:56.680 --> 00:02:59.320]  就在何處我們要重新站立
[00:02:59.320 --> 00:03:01.160]  我們要重新興起
[00:03:01.160 --> 00:03:02.360]  為主的國
[00:03:02.360 --> 00:03:04.920]  為主的托付給我們的福音
[00:03:04.920 --> 00:03:06.680]  我們致死忠心
[00:03:06.680 --> 00:03:08.360]  我們要見證
[00:03:08.360 --> 00:03:11.560]  是我們這位從死裡復活的主耶穌
[00:03:11.560 --> 00:03:14.360]  你是不惜付最高的代價
[00:03:14.360 --> 00:03:15.880]  為我們眾人的罪
[00:03:15.880 --> 00:03:17.720]  犧牲了你自己
[00:03:17.720 --> 00:03:19.400]  主啊其實我們每一個人
[00:03:19.400 --> 00:03:22.600]  都有份參與出賣主
[00:03:22.600 --> 00:03:25.000]  求你讓我們今天再一次
[00:03:25.000 --> 00:03:26.600]  心被陰禁
[00:03:26.600 --> 00:03:28.920]  我們好好在你面前
[00:03:28.920 --> 00:03:30.280]  我們學習
[00:03:30.280 --> 00:03:34.160]  來到回到你自己的私人座前
[00:03:34.160 --> 00:03:35.960]  我們一起同心禱告
[00:03:35.960 --> 00:03:37.160]  奉主名求
[00:03:37.160 --> 00:03:38.880]  阿門
[00:03:38.880 --> 00:03:41.160]  我們看這一段經文
[00:03:41.160 --> 00:03:43.880]  是首先頭五節
[00:03:43.880 --> 00:03:45.480]  我們一起來讀
[00:03:45.480 --> 00:03:47.560]  一到早晨
[00:03:47.560 --> 00:03:50.520]  眾祭司長、長老、文士
[00:03:50.520 --> 00:03:52.280]  和全議會的人
[00:03:52.280 --> 00:03:53.720]  大家相議
[00:03:53.720 --> 00:03:55.720]  就把耶穌綁著
[00:03:55.720 --> 00:03:57.880]  解去交給彼拉多
[00:03:57.880 --> 00:03:59.240]  彼拉多問他
[00:03:59.240 --> 00:04:01.480]  你是猶太人的皇嗎
[00:04:01.480 --> 00:04:02.600]  耶穌回答
