
[00:00:00.000 --> 00:00:06.300]  真的很感恩神讓我們可以一起的去敬拜
[00:00:06.300 --> 00:00:09.400]  我覺得如果沒有疫情的經過
[00:00:09.400 --> 00:00:13.600]  我們可能就沒有那麼快就可以馬上一起的去敬拜
[00:00:13.600 --> 00:00:19.400]  好了,那大家我今天很高興可以跟你們一起分享信息
[00:00:19.400 --> 00:00:22.400]  今天的題目呢就是剛才Paul講到的
[00:00:22.400 --> 00:00:28.100]  就是我們從摩西的生平去看神的訓練
[00:00:28.100 --> 00:00:30.000]  然後這個是第一講
[00:00:30.000 --> 00:00:33.800]  所以我們會看預備器皿的那個時間
[00:00:33.800 --> 00:00:38.200]  那摩西是一個我們比較熟悉的人物
[00:00:38.200 --> 00:00:43.600]  他是帶領以色列民離開埃及要進入迦南地的那一位
[00:00:43.600 --> 00:00:47.900]  那當中呢他的生平我們可以學習很多
[00:00:47.900 --> 00:00:51.300]  有關神怎麼樣去訓練一個人
[00:00:51.300 --> 00:00:57.100]  讓他越來越貼近神成為聖潔的和護主用的
[00:00:57.100 --> 00:00:59.800]  他的生命有挺多的細節
[00:00:59.800 --> 00:01:02.800]  所以今天我們只會看經文
[00:01:02.800 --> 00:01:08.400]  就是從出埃及記記載的第一章到第二章
[00:01:08.400 --> 00:01:14.900]  那主要是說到摩西在他頭四十年的年日
[00:01:14.900 --> 00:01:19.000]  在後面的日子我們會看他不同階段裡面
[00:01:19.000 --> 00:01:21.400]  神怎麼樣訓練他
[00:01:21.400 --> 00:01:24.100]  所以今天我們一起來學習
[00:01:24.100 --> 00:01:28.400]  神是怎麼樣預備人做他的器皿
[00:01:28.400 --> 00:01:31.300]  那我們又怎麼樣去回應
[00:01:31.300 --> 00:01:38.200]  因為神是希望我們每一個人都成為他很特殊的器皿
[00:01:38.200 --> 00:01:42.300]  那器皿呢是一個我們常常會聽到的詞語
[00:01:42.300 --> 00:01:44.700]  就是在聖經裡面的
[00:01:44.700 --> 00:01:47.900]  比如說保羅看見耶穌以後
[00:01:47.900 --> 00:01:50.400]  主對亞拿尼揚說的就是
[00:01:50.400 --> 00:01:54.100]  保羅就是他所揀選的器皿
[00:01:54.100 --> 00:01:56.100]  有一個很特別的目的
[00:01:56.100 --> 00:01:58.200]  就是要去外邦人那裡
[00:01:58.200 --> 00:02:00.000]  要去君王那裡
[00:02:00.000 --> 00:02:02.700]  還有去以色列人的面前
[00:02:02.700 --> 00:02:05.000]  去傳揚他的名
[00:02:05.000 --> 00:02:06.800]  那器皿這個字呢
[00:02:06.800 --> 00:02:11.100]  其實在聖經裡面真的是一個分別為聖
[00:02:11.100 --> 00:02:15.700]  然後是用來為主而做算事的
[00:02:15.700 --> 00:02:20.100]  那摩西好明顯就是神的器皿
[00:02:20.100 --> 00:02:22.400]  那他是一個希伯來人
[00:02:22.400 --> 00:02:24.000]  生於埃及
[00:02:24.000 --> 00:02:26.800]  他的祖宗帶著記得他的名字叫什麼
[00:02:26.800 --> 00:02:28.100]  那現在不是現場
[00:02:28.100 --> 00:02:30.600]  或者是現場但是你們不能喊出來
[00:02:30.600 --> 00:02:32.200]  我就幫你喊出來了
[00:02:32.200 --> 00:02:33.900]  就是月色
[00:02:33.900 --> 00:02:38.100]  那當年呢他就在那裡就是埃及的宰相
[00:02:38.100 --> 00:02:42.800]  幫了埃及囤積了好多糧食
[00:02:42.800 --> 00:02:47.000]  逃過了飢荒所帶來的災難
[00:02:47.000 --> 00:02:51.800]  那個時候埃及也因為他的緣故變得強大
[00:02:51.800 --> 00:02:55.300]  那月色的傳家就是七十人
[00:02:55.300 --> 00:02:57.800]  當時就搬到埃及去了
[00:02:57.800 --> 00:03:01.000]  到摩西要出生的那個時間
[00:03:01.000 --> 00:03:03.400]  已經過了好幾百年
[00:03:03.400 --> 00:03:07.500]  那當時那個掌權的人都已經死掉了
[00:03:07.500 --> 00:03:11.100]  新興起的那個王又不認識月色
[00:03:11.100 --> 00:03:13.900]  不知道以前的事情
[00:03:13.900 --> 00:03:16.500]  所以我們看到以色列民
[00:03:16.500 --> 00:03:19.600]  就在埃及裡面做苦工
[00:03:19.600 --> 00:03:22.500]  基本上就是他們的奴隸
[00:03:22.500 --> 00:03:25.700]  但是神祝福以色列民
[00:03:25.700 --> 00:03:29.500]  他人數強大
[00:03:29.500 --> 00:03:34.600]  然後那個王就生怕他們有一天會反過來攻擊他們
[00:03:34.600 --> 00:03:36.500]  所以就要打壓他們
[00:03:36.500 --> 00:03:39.300]  所以你知道如果你記得的話
[00:03:39.300 --> 00:03:43.100]  那個希伯來人就教了
[00:03:43.100 --> 00:03:46.300]  叫接生婆就是希伯來的那個接生婆
[00:03:46.300 --> 00:03:49.100]  他就說他那個臨盆的時候
[00:03:49.100 --> 00:03:52.000]  如果是男的就把他殺掉
[00:03:52.000 --> 00:03:54.400]  如果接生
[00:03:54.400 --> 00:03:57.300]  然後那個接生的接生婆
[00:03:57.300 --> 00:03:59.700]  因為他敬畏神的緣故
[00:03:59.700 --> 00:04:03.600]  就沒有按照埃及王所說的做
[00:04:03.600 --> 00:04:05.300]  那當他被問的時候
[00:04:05.300 --> 00:04:08.200]  他變成說希伯來的婦人
[00:04:08.200 --> 00:04:09.900]  跟埃及的婦人不一樣的
[00:04:09.900 --> 00:04:11.300]  我還沒有到的時候
[00:04:11.300 --> 00:04:12.700]  他已經生出來了
[00:04:12.700 --> 00:04:15.800]  所以他來不及把那個男嬰殺掉了
[00:04:15.800 --> 00:04:17.800]  那當然不是這樣的
[00:04:17.800 --> 00:04:20.500]  所以他那個話
[00:04:20.500 --> 00:04:23.600]  其實是因為敬畏神而做的
[00:04:23.600 --> 00:04:30.100]  而且選擇因為這樣子祝福這個接生婆
[00:04:30.100 --> 00:04:34.900]  那我們看到其實就在這個那麼危險的時候
[00:04:34.900 --> 00:04:39.700]  摩西就在這樣的情況出生了
[00:04:39.700 --> 00:04:43.700]  我們看到他出生後過了三個月
[00:04:43.700 --> 00:04:46.600]  因為已經不能再長起來的時候
[00:04:46.600 --> 00:04:52.600]  他的父母他的母親就把他放在一個胡草箱裡面
[00:04:52.600 --> 00:04:55.300]  然後把他放在尼羅河
[00:04:55.300 --> 00:04:56.300]  為什麼呢
[00:04:56.300 --> 00:04:59.100]  因為雖然那個接生婆
[00:04:59.100 --> 00:05:02.500]  他是沒有把那個男嬰殺害
[00:05:02.500 --> 00:05:05.100]  但是因為如此
[00:05:05.200 --> 00:05:09.600]  那個王就說要把每一個男嬰
