
[00:00:00.000 --> 00:00:12.000]  歡迎大家今天回來Explorer,我們再次有機會聽關於上帝的話
[00:00:12.000 --> 00:00:19.000]  雖然暫時未能一起看,但我們還是一起學習
[00:00:19.000 --> 00:00:26.000]  上星期,巴塞加夫人跟我們講的內容,不知道大家記不記得
[00:00:26.000 --> 00:00:35.000]  我看到slide已經在這裡了,巴塞加夫人上星期跟我們回顧了神的關係
[00:00:35.000 --> 00:00:41.000]  如果大家記得,其實有四個不同的element,是哪四個呢?
[00:00:41.000 --> 00:00:48.000]  其實是一種熟悉的經文,盡心盡意盡聲盡力去愛主你的神
[00:00:48.000 --> 00:00:53.000]  大家記得的話,這四方面就是上星期巴塞加夫人帶我們去看的東西
[00:00:53.000 --> 00:00:59.000]  上星期看的是我們跟神的關係,但今天我們繼續回顧
[00:00:59.000 --> 00:01:04.000]  當然我們講一年的回顧,不是只看跟神的關係
[00:01:04.000 --> 00:01:09.000]  而是看一些我們自己做過的事情
[00:01:09.000 --> 00:01:14.000]  當然這一年因為COVID的情況,我們有很多想做的事情都做不到
[00:01:14.000 --> 00:01:25.000]  但也在問一個比較老套的問題,就是如果今年你想做的事情
[00:01:25.000 --> 00:01:32.000]  你很快就能打分,一分就是你很滿意,覺得今年很差
[00:01:32.000 --> 00:01:37.000]  十分就是你很滿意,大家會打多少分呢?
[00:01:37.000 --> 00:01:41.000]  你可以在新聞上打分,有興趣可以寫在checkroom
[00:01:41.000 --> 00:01:46.000]  今年你做過的事情,你覺得有多少分呢?
[00:01:46.000 --> 00:01:51.000]  一分到十分,為什麼會這樣問呢?
[00:01:51.000 --> 00:01:57.000]  很多時候我們覺得自己做得好,覺得自己做得不好,有很多事情
[00:01:57.000 --> 00:02:03.000]  所以可能大家心裡想的分數是怎樣呢?一分到十分
[00:02:03.000 --> 00:02:08.000]  不知道有沒有人十分呢?
[00:02:08.000 --> 00:02:13.000]  有沒有人十分呢?
[00:02:13.000 --> 00:02:18.000]  我想知道有沒有人十分呢?
[00:02:18.000 --> 00:02:23.000]  有六分,六分好一點,還有七分呢
[00:02:23.000 --> 00:02:31.000]  有沒有人十分呢?覺得自己今年做得很好,覺得很成功
[00:02:31.000 --> 00:02:41.000]  這個above average都ok多了,6.777
[00:02:41.000 --> 00:02:49.000]  我猜可能有人十分就害羞不說出來,我覺得應該也沒有人可能一分
[00:02:49.000 --> 00:02:56.000]  很多時候我們都在生活中,總有些事情我們滿意,有些事情我們不太滿意
[00:02:56.000 --> 00:03:03.000]  所以今天想討論一個題目,就是我們回顧今年做的事情
[00:03:03.000 --> 00:03:09.000]  可能有很多事情不如預期,或者做得不太好的時候
[00:03:09.000 --> 00:03:14.000]  其實怎樣去面對呢?怎樣去反思呢?
[00:03:14.000 --> 00:03:22.000]  可能對我們學青來說,我們未真的工作,可能在學校,或者有些人在兼職
[00:03:22.000 --> 00:03:29.000]  我們的所謂不太開心的經歷,或者失敗的經歷
[00:03:29.000 --> 00:03:33.000]  很多時候都是跟讀書,跟校內的活動有關
[00:03:33.000 --> 00:03:40.000]  例如我們當中有些學青,我們都談過
[00:03:40.000 --> 00:03:46.000]  有時候可能選會長,選captain,選head prefect,可能選不到
[00:03:46.000 --> 00:03:56.000]  這些就是選不到的失敗,多些當然是考試失手,或者是音樂比賽失手
[00:03:56.000 --> 00:04:03.000]  很多時候這些失敗都是我們大一點經歷到
[00:04:03.000 --> 00:04:11.000]  如果對一班快要考DSE的朋友來說,最害怕的就是考DSE打開墳卷
[00:04:11.000 --> 00:04:16.000]  突然之間發暈,忘記了所有事情
[00:04:16.000 --> 00:04:24.000]  可能這些就是我們經常在生活中遇到的挫折,或者一些我們不太願意的事情
[00:04:24.000 --> 00:04:29.000]  有些說話會說挫折會令人堅強
[00:04:29.000 --> 00:04:36.000]  但有些時候英文都會說what doesn't kill you makes you stronger
[00:04:36.000 --> 00:04:43.000]  但我們都看到現實中很多人面對失敗的時候,他們都沒有辦法再站起來
[00:04:43.000 --> 00:04:48.000]  在今年,我們在講年終回顧的時候
[00:04:48.000 --> 00:04:55.000]  如果問大家有什麼不太願意,或者覺得今年很失敗的事情
[00:04:55.000 --> 00:04:58.000]  可能是有一些,不是叫大家現在說
[00:04:58.000 --> 00:05:04.000]  而是你去想到的時候,其實可以怎樣去面對呢?
[00:05:04.000 --> 00:05:11.000]  怎樣去思考如何繼續向前走呢?
