
[00:00:00.000 --> 00:00:02.000]  各位Xponents 早安
[00:00:02.000 --> 00:00:06.160]  我們今天來到這個系列的最後一個分享
[00:00:06.160 --> 00:00:07.160]  最後一講
[00:00:07.160 --> 00:00:10.500]  今天很想和大家分享最後一位人物
[00:00:10.500 --> 00:00:11.500]  就是
[00:00:11.500 --> 00:00:14.000]  以西傑
[00:00:14.000 --> 00:00:15.000]  Ezekiel
[00:00:15.000 --> 00:00:16.500]  應該是這樣讀的
[00:00:16.500 --> 00:00:19.500]  我們先做一點回顧
[00:00:19.500 --> 00:00:23.000]  我們之前在那六次
[00:00:23.000 --> 00:00:25.000]  應該橫跨了三個月
[00:00:25.000 --> 00:00:27.000]  我們看過什麼人物
[00:00:27.000 --> 00:00:28.000]  可不可以叫出來
[00:00:28.000 --> 00:00:31.000]  摩西 還有呢
[00:00:31.000 --> 00:00:34.000]  約書亞 還有呢
[00:00:34.000 --> 00:00:38.000]  三毛耳 非常好 還有呢
[00:00:38.000 --> 00:00:42.000]  嘩 好厲害耶 耶利米 還有呢
[00:00:42.000 --> 00:00:50.000]  以塞亞 好厲害耶
[00:00:50.000 --> 00:00:51.000]  還有呢
[00:00:51.000 --> 00:00:55.000]  就是這麼多了
[00:00:55.000 --> 00:00:56.000]  就五個了
[00:00:56.000 --> 00:01:01.000]  我想問他們五位有什麼共通點
[00:01:01.000 --> 00:01:02.000]  好 舉手
[00:01:02.000 --> 00:01:03.000]  有什麼共通點
[00:01:03.000 --> 00:01:04.000]  左眼神
[00:01:04.000 --> 00:01:07.000]  看就看得到
[00:01:07.000 --> 00:01:08.000]  有什麼共通點
[00:01:08.000 --> 00:01:12.000]  以色列人
[00:01:12.000 --> 00:01:13.000]  有什麼共通點
[00:01:13.000 --> 00:01:20.000]  先知
[00:01:20.000 --> 00:01:22.000]  又不是全對的
[00:01:22.000 --> 00:01:24.000]  有些不是先知
[00:01:24.000 --> 00:01:26.000]  還有什麼共通點
[00:01:26.000 --> 00:01:29.000]  小朋友
[00:01:29.000 --> 00:01:32.000]  這五位有什麼共通點
[00:01:32.000 --> 00:01:36.000]  沒有共通點
[00:01:36.000 --> 00:01:38.000]  我以為大家會答男人
[00:01:38.000 --> 00:01:39.000]  是不是
[00:01:39.000 --> 00:01:41.000]  男人 還有呢
[00:01:41.000 --> 00:01:44.000]  新約還是舊約的人物
[00:01:44.000 --> 00:01:48.000]  舊約人物
[00:01:48.000 --> 00:01:51.000]  他們都是領受過呼召
[00:01:51.000 --> 00:01:54.000]  是上帝給他們很獨特的呼召
[00:01:54.000 --> 00:01:55.000]  還有呢
[00:01:55.000 --> 00:01:57.000]  在那些呼召當中
[00:01:57.000 --> 00:01:59.000]  是誰做主動的
[00:01:59.000 --> 00:02:00.000]  猜到嗎
[00:02:00.000 --> 00:02:03.000]  都是神做主動
[00:02:03.000 --> 00:02:05.000]  還有不少人當中
[00:02:05.000 --> 00:02:07.000]  都經歷了一些很獨特的
[00:02:07.000 --> 00:02:10.000]  所謂的vision 異象 經歷
[00:02:10.000 --> 00:02:13.000]  今天我們會看第六位人物
[00:02:13.000 --> 00:02:15.000]  就是以西傑
[00:02:15.000 --> 00:02:16.000]  老實說
[00:02:16.000 --> 00:02:18.000]  當我選了這位人兄之後
[00:02:18.000 --> 00:02:20.000]  我就有一點後悔
[00:02:20.000 --> 00:02:24.000]  因為我發現這位人物實在太複雜
[00:02:24.000 --> 00:02:25.000]  就是說
[00:02:25.000 --> 00:02:27.000]  他無照的經歷
[00:02:27.000 --> 00:02:31.000]  他的過程是覆蓋了三章的經文
[00:02:31.000 --> 00:02:32.000]  所以你剛才一看到
[00:02:32.000 --> 00:02:33.000]  就會看到
[00:02:33.000 --> 00:02:35.000]  我不是寫哪一節
[00:02:35.000 --> 00:02:37.000]  而是一到三章
[00:02:37.000 --> 00:02:38.000]  很複雜
[00:02:38.000 --> 00:02:40.000]  足足有65節的經文
[00:02:40.000 --> 00:02:43.000]  當然今天我們不會看完
[00:02:43.000 --> 00:02:46.000]  我們會抽一些去看
[00:02:46.000 --> 00:02:49.000]  鼓勵大家可以開著你的bible app
[00:02:49.000 --> 00:02:52.000]  可以看下去
[00:02:52.000 --> 00:02:54.000]  以致不會飛走了
[00:02:54.000 --> 00:02:56.000]  或者不知道在說什麼
[00:02:56.000 --> 00:02:59.000]  我邀請大家先讀出
[00:02:59.000 --> 00:03:01.000]  這裡的第一段
[00:03:01.000 --> 00:03:03.000]  是說這個背景
[00:03:03.000 --> 00:03:04.000]  一到三節
[00:03:04.000 --> 00:03:06.000]  先讀一到三節
[00:03:06.000 --> 00:03:07.000]  預備起
[00:03:07.000 --> 00:03:10.000]  在三十年四月初五
