
[00:00:00.000 --> 00:00:04.000]  等子妹萬安
[00:00:04.000 --> 00:00:09.000]  今天我們會開始看彼得後書
[00:00:09.000 --> 00:00:11.000]  在前書五章裏面
[00:00:11.000 --> 00:00:17.000]  分別有不同的童宮幫助大家探討
[00:00:17.000 --> 00:00:20.000]  在這個末後的世代裏面
[00:00:20.000 --> 00:00:26.000]  其實我們應當如何跟隨主耶穌
[00:00:26.000 --> 00:00:30.000]  我們在後書裏面
[00:00:30.000 --> 00:00:33.000]  我們今天所看的這段經文
[00:00:33.000 --> 00:00:38.000]  其實我不會由第一節開始看
[00:00:38.000 --> 00:00:43.000]  我會由最後這段看回頭
[00:00:43.000 --> 00:00:46.000]  原因是有一個原因
[00:00:46.000 --> 00:00:49.000]  我希望大家能夠看見
[00:00:49.000 --> 00:00:53.000]  原來彼得寫這一卷後書的時候
[00:00:53.000 --> 00:00:56.000]  他是很清楚自己將要離世
[00:00:56.000 --> 00:01:00.000]  他心裏最記掛的
[00:01:00.000 --> 00:01:03.000]  就是教會的弟兄姊妹
[00:01:03.000 --> 00:01:08.000]  他們應該如何跟隨主耶穌
[00:01:08.000 --> 00:01:13.000]  他們的屬靈生命要如何追求成長
[00:01:13.000 --> 00:01:17.000]  去記得主耶穌的教導和應許
[00:01:17.000 --> 00:01:20.000]  以致他們能夠分辨和抵擋
[00:01:20.000 --> 00:01:23.000]  那些假教師錯誤的教導
[00:01:23.000 --> 00:01:28.000]  和很多敗壞的行為
[00:01:28.000 --> 00:01:31.000]  原來自從第一世紀到如今
[00:01:31.000 --> 00:01:34.000]  我們在每一個時代都會看見
[00:01:34.000 --> 00:01:36.000]  有些所謂掛羊頭的
[00:01:36.000 --> 00:01:39.000]  就是賣狗肉的
[00:01:39.000 --> 00:01:41.000]  我們說的神棍
[00:01:41.000 --> 00:01:43.000]  所以你今天生活
[00:01:43.000 --> 00:01:45.000]  有時你遇到在你公司
[00:01:45.000 --> 00:01:47.000]  或者有時在你的朋友圈子裏面
[00:01:47.000 --> 00:01:50.000]  就算說自己是基督徒
