
[00:00:00.000 --> 00:00:02.000]  大家最近好嗎?
[00:00:02.000 --> 00:00:03.000]  (好)
[00:00:03.000 --> 00:00:05.000]  聽到好是
[00:00:05.000 --> 00:00:07.000]  (好)
[00:00:07.000 --> 00:00:11.000]  大家打不打壓力?
[00:00:11.000 --> 00:00:14.000]  讀書打不打壓力?
[00:00:14.000 --> 00:00:15.000]  (打壓力)
[00:00:15.000 --> 00:00:16.000]  對呀
[00:00:16.000 --> 00:00:18.000]  有沒有時間去玩一下
[00:00:18.000 --> 00:00:19.000]  約一下朋友?
[00:00:19.000 --> 00:00:20.000]  (沒有)
[00:00:20.000 --> 00:00:21.000]  對呀 沒有
[00:00:21.000 --> 00:00:24.000]  睡得夠不夠?
[00:00:24.000 --> 00:00:25.000]  (不夠)
[00:00:29.000 --> 00:00:31.000]  是不是功課
[00:00:31.000 --> 00:00:32.000]  Mock exam
[00:00:32.000 --> 00:00:33.000]  SBA deadline
[00:00:33.000 --> 00:00:34.000]  Group project
[00:00:34.000 --> 00:00:35.000]  Presentation
[00:00:35.000 --> 00:00:36.000]  Revision
[00:00:36.000 --> 00:00:37.000]  Term review
[00:00:37.000 --> 00:00:38.000]  小冊大餐
[00:00:38.000 --> 00:00:39.000]  密書補課
[00:00:39.000 --> 00:00:40.000]  上妝 搞活動
[00:00:40.000 --> 00:00:41.000]  是不是搞到大家
[00:00:41.000 --> 00:00:42.000]  呼吸不了呢?
[00:00:42.000 --> 00:00:43.000]  我也呼吸不了
[00:00:43.000 --> 00:00:44.000]  讀這句
[00:00:44.000 --> 00:00:46.000]  沒辦法背
[00:00:46.000 --> 00:00:47.000]  因為太多了
[00:00:47.000 --> 00:00:52.000]  我們不如邀請大家
[00:00:52.000 --> 00:00:54.000]  伸出你的右手
[00:00:54.000 --> 00:00:55.000]  如果你是左腰
[00:00:55.000 --> 00:00:56.000]  就伸出你的左手
[00:00:56.000 --> 00:00:59.000]  將它放在你的心前
[00:00:59.000 --> 00:01:02.000]  我們一起呼吸一下
[00:01:02.000 --> 00:01:06.000]  不要小看呼吸這個運動
[00:01:06.000 --> 00:01:09.000]  我們有時忘記了呼吸
[00:01:09.000 --> 00:01:13.000]  我們練習呼吸三次
[00:01:13.000 --> 00:01:14.000]  我們一起
[00:01:14.000 --> 00:01:17.000]  1 吸氣
[00:01:17.000 --> 00:01:18.000]  呼氣
[00:01:18.000 --> 00:01:22.000]  再來一次 第二
[00:01:22.000 --> 00:01:24.000]  吸氣
[00:01:25.000 --> 00:01:27.000]  呼氣
[00:01:27.000 --> 00:01:29.000]  最後一次呼氣的時候
[00:01:29.000 --> 00:01:30.000]  慢慢呼出
[00:01:30.000 --> 00:01:32.000]  我們第三次 吸氣
[00:01:32.000 --> 00:01:40.000]  好
[00:01:40.000 --> 00:01:43.000]  大家繼續
[00:01:43.000 --> 00:01:45.000]  可以摸著你的心跳
[00:01:45.000 --> 00:01:46.000]  不知道你的心跳
[00:01:46.000 --> 00:01:48.000]  在告訴你什麼呢?
[00:01:48.000 --> 00:01:50.000]  你很大壓力
[00:01:52.000 --> 00:01:55.000]  我希望你有心跳
[00:01:55.000 --> 00:01:56.000]  不然可能要叫第一A
[00:01:56.000 --> 00:02:00.000]  幫你做個CPR
[00:02:00.000 --> 00:02:06.000]  還是你很緊張
[00:02:06.000 --> 00:02:07.000]  其實現在都想馬上
[00:02:07.000 --> 00:02:08.000]  飛出去這個門口
[00:02:08.000 --> 00:02:09.000]  回去溫習
[00:02:09.000 --> 00:02:10.000]  我想這個特別是
[00:02:10.000 --> 00:02:12.000]  今年讀DSE
[00:02:12.000 --> 00:02:14.000]  你會更加明白
[00:02:14.000 --> 00:02:15.000]  或者可能大學
[00:02:15.000 --> 00:02:17.000]  很多期限的時候
[00:02:17.000 --> 00:02:19.000]  要想怎樣溫習的時候
[00:02:19.000 --> 00:02:22.000]  你們都會去考慮
[00:02:22.000 --> 00:02:24.000]  很想分秒必爭
[00:02:24.000 --> 00:02:25.000]  可能這一刻
[00:02:25.000 --> 00:02:28.000]  我們都對學業很執著
[00:02:28.000 --> 00:02:32.000]  我們對未來的出路都很執著
[00:02:32.000 --> 00:02:34.000]  所以今天想問問大家
[00:02:34.000 --> 00:02:35.000]  當你很緊張
[00:02:35.000 --> 00:02:36.000]  很大壓力的時候
[00:02:36.000 --> 00:02:38.000]  耶穌在哪裡呢?
[00:02:38.000 --> 00:02:41.000]  我想大家現在一起
[00:02:41.000 --> 00:02:42.000]  閉上眼
[00:02:42.000 --> 00:02:43.000]  我們合上眼睛
[00:02:43.000 --> 00:02:45.000]  我們試一下一起
[00:02:45.000 --> 00:02:47.000]  想像一下
[00:02:47.000 --> 00:02:49.000]  我們認識的耶穌
[00:02:49.000 --> 00:02:51.000]  在哪裡
[00:02:51.000 --> 00:02:53.000]  大家要用點想像力
[00:02:53.000 --> 00:02:54.000]  你不要跟我說
[00:02:54.000 --> 00:02:56.000]  我看不到耶穌
[00:02:56.000 --> 00:02:57.000]  沒有
[00:02:57.000 --> 00:02:59.000]  想你想像一下
[00:02:59.000 --> 00:03:01.000]  你認識的耶穌
[00:03:01.000 --> 00:03:03.000]  在哪裡
[00:03:03.000 --> 00:03:05.000]  祂是很遠
[00:03:05.000 --> 00:03:06.000]  很近
[00:03:06.000 --> 00:03:09.000]  現在坐在你旁邊
[00:03:09.000 --> 00:03:11.000]  還是祂躲在樹後
[00:03:11.000 --> 00:03:13.000]  躲在石頭上
[00:03:13.000 --> 00:03:15.000]  不是躲在石頭上
[00:03:15.000 --> 00:03:17.000]  是躲在石頭後
[00:03:17.000 --> 00:03:19.000]  我們用點時間
[00:03:19.000 --> 00:03:21.000]  一起想像一下
[00:03:21.000 --> 00:03:23.000]  現在這一刻
[00:03:23.000 --> 00:03:25.000]  你認識的耶穌
