
[00:00:00.000 --> 00:00:02.000]  (字幕:Mandy)
[00:00:02.000 --> 00:00:07.000]  弟兄姊妹平安
[00:00:07.000 --> 00:00:11.000]  三年了 我終於露面了
[00:00:11.000 --> 00:00:15.000]  看不看得到我的臉
[00:00:15.000 --> 00:00:17.000]  一個破舊立新
[00:00:17.000 --> 00:00:19.000]  真是一個新的開始
[00:00:19.000 --> 00:00:22.000]  不知道沒有戴口罩的弟兄姊妹
[00:00:22.000 --> 00:00:24.000]  有沒有跟我一樣的感覺
[00:00:24.000 --> 00:00:27.000]  3月1日想試一下
[00:00:27.000 --> 00:00:29.000]  但又不是很敢試
[00:00:29.000 --> 00:00:32.000]  我就嘗試不戴口罩
[00:00:32.000 --> 00:00:37.000]  由教會走到樓下買午餐
[00:00:37.000 --> 00:00:39.000]  我下去的時候
[00:00:39.000 --> 00:00:43.000]  看到每一間食肆裡的員工
[00:00:43.000 --> 00:00:45.000]  排隊的人
[00:00:45.000 --> 00:00:47.000]  坐電梯上下的人
[00:00:47.000 --> 00:00:49.000]  個個都戴著口罩
[00:00:49.000 --> 00:00:52.000]  我當時心裡非常沒有安全感
[00:00:52.000 --> 00:00:55.000]  我知道可以不戴
[00:00:55.000 --> 00:00:58.000]  但身邊的人都遮住自己
[00:00:58.000 --> 00:01:01.000]  我覺得自己好像暴露人前
[00:01:01.000 --> 00:01:03.000]  很緊張
[00:01:03.000 --> 00:01:05.000]  於是我跟自己說
[00:01:05.000 --> 00:01:08.000]  不怕的 我不是暴露
[00:01:08.000 --> 00:01:11.000]  我只是見面 露面
[00:01:11.000 --> 00:01:14.000]  然後日復一日
[00:01:14.000 --> 00:01:16.000]  今天去到3月4日
[00:01:16.000 --> 00:01:18.000]  看到不同的弟兄姊妹
[00:01:18.000 --> 00:01:21.000]  都跟我一樣露面
[00:01:21.000 --> 00:01:24.000]  一個新的措施
[00:01:24.000 --> 00:01:26.000]  不單露面
[00:01:26.000 --> 00:01:28.000]  我考考大家的觀察力
[00:01:28.000 --> 00:01:29.000]  大家有沒有覺得
[00:01:29.000 --> 00:01:32.000]  這個港台有少少不同了
[00:01:32.000 --> 00:01:35.000]  沒有了板
[00:01:35.000 --> 00:01:37.000]  這樣也發現
[00:01:37.000 --> 00:01:39.000]  因為我以為大家一定不會發現
[00:01:39.000 --> 00:01:41.000]  然後我就想變魔術
[00:01:41.000 --> 00:01:43.000]  原來大家都發現
[00:01:43.000 --> 00:01:45.000]  沒有了板
[00:01:45.000 --> 00:01:46.000]  但很有趣
