
[00:00:00.000 --> 00:00:02.760]   (audio cuts out)
[00:00:02.760 --> 00:00:06.480]   - Good evening, everyone.
[00:00:06.480 --> 00:00:07.560]   My name is Michelle,
[00:00:07.560 --> 00:00:09.480]   and I serve as one of the pastors here.
[00:00:09.480 --> 00:00:11.160]   This is your very first time.
[00:00:11.160 --> 00:00:12.360]   Nice to meet you.
[00:00:12.360 --> 00:00:14.960]   Now we live in a day and age
[00:00:14.960 --> 00:00:17.680]   where everything seems to be true
[00:00:17.680 --> 00:00:20.200]   as long as you have enough conviction
[00:00:20.200 --> 00:00:21.960]   and passion about it.
[00:00:21.960 --> 00:00:24.440]   I mean, we hear about these slimming products, right?
[00:00:24.440 --> 00:00:25.960]   We wanna slim down ourselves,
[00:00:25.960 --> 00:00:28.760]   or we hear these hair growth products,
[00:00:28.760 --> 00:00:31.480]   or we have all these books that teach us
[00:00:31.480 --> 00:00:35.520]   how to be successful, or just get the right stocks
[00:00:35.520 --> 00:00:37.720]   so then we can have more money, right?
[00:00:37.720 --> 00:00:41.240]   And so we tend to just follow things here and there,
[00:00:41.240 --> 00:00:45.400]   and we think that, oh, this is true, or that is true.
[00:00:45.400 --> 00:00:48.080]   And we're tossed and turned around
[00:00:48.080 --> 00:00:49.960]   as if we're in the waves.
[00:00:49.960 --> 00:00:54.960]   And so today we're really gonna look at what is the truth?
[00:00:55.240 --> 00:00:59.920]   What is the truth that Paul here really urges
[00:00:59.920 --> 00:01:02.800]   and commands Timothy to uphold?
[00:01:02.800 --> 00:01:07.800]   And how is it that we can uphold it in our everyday lives?
[00:01:07.800 --> 00:01:12.680]   And as the scripture is here in 1 Timothy,
[00:01:12.680 --> 00:01:14.520]   the very first chapter,
[00:01:14.520 --> 00:01:17.800]   now Apostle Paul here is charging Timothy,
[00:01:17.800 --> 00:01:22.760]   who literally is brought up in faith by Paul.
[00:01:22.760 --> 00:01:26.480]   And he's saying to him, "Stay there," verse three,
[00:01:26.480 --> 00:01:30.100]   "in Ephesus so that you may command certain people,"
[00:01:30.100 --> 00:01:31.780]   not everyone, just some,
