
[00:00:00.000 --> 00:00:02.880]  各位兄弟妹平安
[00:00:02.880 --> 00:00:05.680]  今天我要跟大家分享一個信息
[00:00:05.680 --> 00:00:09.360]  就是預備與主見面
[00:00:09.360 --> 00:00:11.560]  那經文就是我們剛才讀的
[00:00:11.560 --> 00:00:16.360]  天上羅尼加前書第四章第十一到第十八節
[00:00:16.360 --> 00:00:17.200]  我不知道
[00:00:17.200 --> 00:00:18.800]  應該大家都會有一些經驗
[00:00:18.800 --> 00:00:22.520]  就是為一些很重要的事情去做預備
[00:00:22.520 --> 00:00:24.880]  我們可能從小開始
[00:00:24.880 --> 00:00:26.360]  特別是現在
[00:00:26.360 --> 00:00:27.640]  就算是小孩子
[00:00:27.640 --> 00:00:29.600]  我們要準備他怎麼樣
[00:00:29.600 --> 00:00:31.960]  進入幼兒園
[00:00:31.960 --> 00:00:35.120]  然後要什麼有一些面試班
[00:00:35.120 --> 00:00:37.320]  然後要進去小學
[00:00:37.320 --> 00:00:40.200]  然後慢慢我們要預備什麼DSE
[00:00:40.200 --> 00:00:42.840]  或者IB各樣的考試
[00:00:42.840 --> 00:00:44.680]  來進去社會
[00:00:44.680 --> 00:00:46.200]  進去社會以後
[00:00:46.200 --> 00:00:47.680]  我們還是有很多準備
[00:00:47.680 --> 00:00:50.240]  要準備建立家庭
[00:00:50.240 --> 00:00:51.320]  婚姻
[00:00:51.320 --> 00:00:53.640]  然後要準備有自己的家庭
[00:00:53.640 --> 00:00:56.280]  或者有些人選擇獨生的
[00:00:56.280 --> 00:00:58.240]  也是要預備
[00:00:58.240 --> 00:01:01.880]  還有我們可能有一些人要準備退休
[00:01:01.880 --> 00:01:02.880]  也要準備
[00:01:02.880 --> 00:01:04.080]  計算一下
[00:01:04.080 --> 00:01:05.560]  哎呀我需要多少錢
[00:01:05.560 --> 00:01:06.880]  要住在哪裡
[00:01:06.880 --> 00:01:09.240]  要不要買一些保險之類的
[00:01:09.240 --> 00:01:11.040]  你會發現其實
[00:01:11.040 --> 00:01:13.400]  比較重要的事情
[00:01:13.400 --> 00:01:15.760]  我們都需要怎麼樣
[00:01:15.760 --> 00:01:17.120]  預備
[00:01:17.120 --> 00:01:18.280]  那今天的經文呢
[00:01:18.280 --> 00:01:21.400]  講到我們有一天會怎麼樣呢
[00:01:21.400 --> 00:01:25.000]  跟主面對面的去見面
[00:01:25.000 --> 00:01:26.840]  我想問大家
[00:01:26.840 --> 00:01:30.680]  有沒有為這件事情來做預備
[00:01:30.680 --> 00:01:31.800]  沒有
[00:01:31.800 --> 00:01:34.560]  很誠實的我喜歡
[00:01:34.560 --> 00:01:35.840]  基本上是沒有
[00:01:35.840 --> 00:01:37.160]  或者很少
[00:01:37.160 --> 00:01:40.160]  或者我因為要預備其他的事情
[00:01:40.160 --> 00:01:43.480]  都已經沒有空間去思考這件事情
[00:01:43.480 --> 00:01:45.560]  但是我們從經文發現
[00:01:45.560 --> 00:01:48.480]  這件事情重要不重要
[00:01:48.480 --> 00:01:50.600]  非常重要
[00:01:50.600 --> 00:01:55.080]  這個關乎於我們以後在死了以後
[00:01:55.080 --> 00:01:57.200]  在復活的事情
[00:01:57.200 --> 00:01:59.640]  在永恆裡面的事情
[00:01:59.640 --> 00:02:02.640]  反而我們沒有空間去預備
