
[00:00:00.000 --> 00:00:09.000]  早晨,今天是九月最後一個星期
[00:00:09.000 --> 00:00:16.000]  在九月我們一起分享了很多有關聖靈的不同題目
[00:00:16.000 --> 00:00:20.000]  上星期,我記得Pastor Timothy告訴我們
[00:00:20.000 --> 00:00:23.000]  如果我們要結出聖靈的果子
[00:00:23.000 --> 00:00:27.000]  最基本我們要反省我們內在生命的情況
[00:00:27.000 --> 00:00:33.000]  也要讓我們知道我們的生命和耶穌有重新連結的地方
[00:00:33.000 --> 00:00:39.000]  今天我們要探討一下到底什麼是聖靈的果子
[00:00:39.000 --> 00:00:43.000]  當我看到這段經文的時候
[00:00:43.000 --> 00:00:49.000]  我的心想為什麼每一次我說的經文都是大家很熟悉的經文呢?
[00:00:49.000 --> 00:00:52.000]  這次可能有同學會說
[00:00:52.000 --> 00:01:02.000]  如果從小學到今天,這段經文有兩節大家非常熟悉的
[00:01:02.000 --> 00:01:06.000]  但是我因為大家這麼熟悉的經文
[00:01:06.000 --> 00:01:13.000]  於是我更加努力讓大家有不同的看法
[00:01:13.000 --> 00:01:18.000]  結果我找了很多資料,發現了一些很重要的事情
[00:01:18.000 --> 00:01:21.000]  大家一起看看吧,我們先開始吧
[00:01:21.000 --> 00:01:26.000]  我們怎樣才能結出聖靈的果子呢?
[00:01:26.000 --> 00:01:32.000]  原來聖經告訴我們,我們要順著聖靈而行
[00:01:32.000 --> 00:01:35.000]  什麼是順著聖靈而行呢?
[00:01:35.000 --> 00:01:38.000]  在《迦太書》五章裡這樣說
[00:01:38.000 --> 00:01:43.000]  我們請Carmen為我們讀這三節經文吧
[00:01:47.000 --> 00:01:54.000]  我說,你們當順著聖靈而行,就不放縱肉體的情慾了
[00:01:54.000 --> 00:02:00.000]  因為情慾和聖靈相爭,聖靈和情慾相爭
[00:02:00.000 --> 00:02:07.000]  這兩個是彼此相敵,使你們不能作所願而作敵
[00:02:07.000 --> 00:02:13.000]  但你們若被聖靈引導,就不再欲罰以下
[00:02:13.000 --> 00:02:19.000]  在這三節經文裡,告訴我們
[00:02:19.000 --> 00:02:27.000]  當我們順著聖靈而行,就不會放縱肉體的情慾
[00:02:27.000 --> 00:02:36.000]  當我們順著聖靈而走,就會走在正路當中
[00:02:36.000 --> 00:02:40.000]  不會將自己任意妄為
[00:02:40.000 --> 00:02:43.000]  最後第十八節更加說
[00:02:43.000 --> 00:02:48.000]  如果我們能夠被聖靈引導,就不再欲罰之下
[00:02:48.000 --> 00:02:50.000]  什麼意思呢?
[00:02:50.000 --> 00:02:52.000]  欲罰之下,欲罰是怎樣呢?
[00:02:52.000 --> 00:02:55.000]  就是要被一個框架框住
[00:02:55.000 --> 00:03:03.000]  當我們順著聖靈而行,我們做的事一定是對的
[00:03:03.000 --> 00:03:08.000]  不需要受到這個法律的約束
[00:03:08.000 --> 00:03:12.000]  我們就可以很自由地去做
[00:03:12.000 --> 00:03:19.000]  但當我們不是順著聖靈而行,我們就會做錯事
[00:03:19.000 --> 00:03:29.000]  很容易觸犯法例,又要看我這樣做是否正確
[00:03:29.000 --> 00:03:33.000]  所以這段經文告訴我們一樣很重要的事
[00:03:33.000 --> 00:03:38.000]  如果我們在神裡面,照著神的教導而行
[00:03:38.000 --> 00:03:44.000]  我們是不會被法律框住我們所做的事
[00:03:44.000 --> 00:03:48.000]  就是一個真正的自由
[00:03:48.000 --> 00:03:53.000]  在神的教導裡面,就是真正的自由
[00:03:53.000 --> 00:04:02.000]  如果我們不跟著聖靈而行,只靠自己而行,會怎樣呢?
[00:04:02.000 --> 00:04:08.000]  我們在群體裡面的生命,我們會自我為中心
[00:04:08.000 --> 00:04:14.000]  行為很隨便,隨心所欲,自己想做什麼就做什麼
[00:04:14.000 --> 00:04:21.000]  聖經裡面告訴我們,這樣的行事是不能夠承受神的覺
[00:04:21.000 --> 00:04:28.000]  相反,我們順著聖靈而行,由聖靈作為我們生命上的信徒
[00:04:28.000 --> 00:04:32.000]  慢慢地改變,就像我剛才所說
[00:04:32.000 --> 00:04:38.000]  當我們改變我們的生命的時候,這些就不是律法所禁止
[00:04:38.000 --> 00:04:44.000]  所以,你說是不是年輕人信主耶穌早一點
[00:04:44.000 --> 00:04:47.000]  我們的生命就可以快點改變
[00:04:47.000 --> 00:04:50.000]  其實這樣也是對的
[00:04:50.000 --> 00:04:55.000]  因為聖靈的果子在我們生命裡面一天一天地滋長
[00:04:55.000 --> 00:05:00.000]  當時間越長,你的生命的改變真的會有所不同
[00:05:00.000 --> 00:05:06.000]  順著聖靈而行,就能夠結出聖靈的果子
[00:05:06.000 --> 00:05:11.000]  這一段經文,大家很熟悉的
[00:05:11.000 --> 00:05:15.000]  不如我們也請Carmen為我們讀一下這段經文
[00:05:17.000 --> 00:05:31.000]  聖靈所結的果子,就是仁愛、喜樂、和平、忍耐、恩慈、良善、信實、溫柔、節制
[00:05:31.000 --> 00:05:34.000]  這樣的事沒有律法禁止
[00:05:34.000 --> 00:05:36.000]  看不看到?
[00:05:36.000 --> 00:05:44.000]  如果我們隨著聖靈所結的果子,這九個果子是好的東西
[00:05:44.000 --> 00:05:48.000]  好的東西就是不受律法禁止
[00:05:48.000 --> 00:05:51.000]  但這段經文,我說我很熟悉
[00:05:51.000 --> 00:05:56.000]  但我在教小朋友的時候,我們經常都會用這個方法
[00:05:56.000 --> 00:06:01.000]  這裡有八個,其實還有一個,就退後了
[00:06:01.000 --> 00:06:07.000]  但我們分開了九個東西去介紹給小朋友
