
[00:00:00.000 --> 00:00:05.000]  (請看影片資訊欄)
[00:00:05.000 --> 00:00:10.000]  今天我們又去到了馬可福音的講道系列
[00:00:10.000 --> 00:00:16.000]  在這裡我們就是要去到第六講了
[00:00:16.000 --> 00:00:18.000]  先簡單的重溫一下
[00:00:18.000 --> 00:00:21.000]  第一講我們是講了耶穌是誰
[00:00:21.000 --> 00:00:24.000]  第二講我們講耶穌給世人的使命
[00:00:24.000 --> 00:00:28.000]  第三講我們講過了耶穌在加百農的侍奉
[00:00:28.000 --> 00:00:32.000]  第四講是講耶穌一直被社會遺棄的人
[00:00:32.000 --> 00:00:37.000]  上次我們講的是為耶穌拆了房頂
[00:00:37.000 --> 00:00:40.000]  今天我們要繼續看馬可福音
[00:00:40.000 --> 00:00:45.000]  我們要看的題目是耶穌與大罪人吃飯
[00:00:45.000 --> 00:00:49.000]  在這裡我們先把這段經文看一看
[00:00:49.000 --> 00:00:53.000]  我相信弟兄姊妹都相當熟悉這段經文
[00:00:53.000 --> 00:00:55.000]  我就讀給大家聽
[00:00:55.000 --> 00:01:00.000]  馬可福音第二章13到17節
[00:01:00.000 --> 00:01:02.000]  耶穌又到海邊去
[00:01:02.000 --> 00:01:05.000]  眾人都到他跟前來
[00:01:05.000 --> 00:01:07.000]  他就教導他們
[00:01:07.000 --> 00:01:09.000]  耶穌往前走
[00:01:09.000 --> 00:01:14.000]  看見亞肋菲的兒子利位在睡棺坐著
[00:01:14.000 --> 00:01:18.000]  就對他說:來跟從我
[00:01:18.000 --> 00:01:20.000]  他就起來跟從耶穌
[00:01:20.000 --> 00:01:23.000]  耶穌在利位家裡作息的時候
[00:01:23.000 --> 00:01:25.000]  有好些睡吏和罪人
[00:01:25.000 --> 00:01:29.000]  與耶穌和他的門徒一同作息
[00:01:29.000 --> 00:01:33.000]  因為有很多人也跟隨耶穌
[00:01:33.000 --> 00:01:35.000]  法利賽人中的文士
[00:01:35.000 --> 00:01:39.000]  看見耶穌與罪人和睡吏一同吃飯
[00:01:39.000 --> 00:01:42.000]  就對他的門徒說
[00:01:42.000 --> 00:01:45.000]  他與睡吏和罪人一同吃飯嗎?
[00:01:45.000 --> 00:01:48.000]  耶穌聽見就對他們說
[00:01:48.000 --> 00:01:51.000]  健康的人用不著醫生
[00:01:51.000 --> 00:01:53.000]  有病的人才用得著
[00:01:53.000 --> 00:01:57.000]  我不是來招異人而是招罪人
[00:01:57.000 --> 00:02:00.000]  這段經文我相信我們都很熟悉
[00:02:00.000 --> 00:02:04.000]  我們一起來思想這段經文
[00:02:04.000 --> 00:02:06.000]  讓我們怎樣認識主耶穌
[00:02:06.000 --> 00:02:11.000]  讓我們怎樣認識他來到這個世界上的使命
[00:02:11.000 --> 00:02:14.000]  首先我們要看到第一點
[00:02:14.000 --> 00:02:21.000]  就是耶穌他真的是吸引人到他那裡去
[00:02:21.000 --> 00:02:23.000]  聖經一開始就說
[00:02:23.000 --> 00:02:25.000]  耶穌又到海邊去
[00:02:25.000 --> 00:02:28.000]  眾人都到他跟前來
[00:02:28.000 --> 00:02:30.000]  他就教導他們
[00:02:30.000 --> 00:02:32.000]  我們要問的第一個問題
[00:02:32.000 --> 00:02:35.000]  就是為什麼眾人都到耶穌那裡去
[00:02:35.000 --> 00:02:40.000]  這個跟我們上次看耶穌去了一個人的家裡
[00:02:40.000 --> 00:02:44.000]  很多人都擁到家裡去
[00:02:44.000 --> 00:02:49.000]  以致要去找耶穌的那四個朋友
[00:02:49.000 --> 00:02:50.000]  要把攤子帶給耶穌
[00:02:50.000 --> 00:02:51.000]  沒有地方去
