
[00:00:00.000 --> 00:00:03.000]  各位弟兄姊妹 各位家園 大家
[00:00:03.000 --> 00:00:04.000]  主內平安 平安
[00:00:04.000 --> 00:00:07.880]  非常感恩 今天我們在主日的時候
[00:00:07.880 --> 00:00:10.880]  又能聚在上帝的殿中
[00:00:10.880 --> 00:00:13.880]  一起來敬拜我們的神 一起來聆聽
[00:00:13.880 --> 00:00:16.880]  祂的真道 也非常感恩
[00:00:16.880 --> 00:00:19.880]  今天可以和大家分享一個主題
[00:00:19.880 --> 00:00:22.880]  叫做 迷途知返
[00:00:22.880 --> 00:00:25.880]  相信大家如果有一些
[00:00:25.880 --> 00:00:28.480]  不懂的朋友 或是
[00:00:28.480 --> 00:00:31.480]  大家如果有一些去陌生的地方
[00:00:31.480 --> 00:00:34.840]  去旅行的時候 對著地圖
[00:00:34.840 --> 00:00:37.680]  都非常的害怕
[00:00:37.680 --> 00:00:40.880]  哎呀 酒店在哪裡啊 時間快到了
[00:00:40.880 --> 00:00:43.880]  找不到了 哎呀 這個路是不是這樣走啊
[00:00:43.880 --> 00:00:46.880]  哎呀 這個GPS怎麼出問題了
[00:00:46.880 --> 00:00:49.880]  哎呀 這個怎麼我都走了一大段了
[00:00:49.880 --> 00:00:52.880]  還不更新 深怕迷路
[00:00:52.880 --> 00:00:55.880]  那麼其實
[00:00:55.880 --> 00:00:58.880]  人生的道路 也特別害怕
[00:00:58.880 --> 00:01:01.880]  走不見 迷失了
[00:01:01.880 --> 00:01:04.880]  困惑了 現在原地
[00:01:04.880 --> 00:01:07.880]  兜兜轉轉 還在那樣一個生命的境界
[00:01:07.880 --> 00:01:10.880]  所以呢
[00:01:10.880 --> 00:01:13.880]  今天 也特別選字了
[00:01:13.880 --> 00:01:16.880]  路加福音的24章
[00:01:16.880 --> 00:01:19.880]  13到35節
[00:01:19.880 --> 00:01:22.880]  也就是非常出名的 叫做
[00:01:22.880 --> 00:01:25.880]  一馬五四的路上 這段經文
[00:01:25.880 --> 00:01:28.880]  來和大家分享這個
[00:01:28.880 --> 00:01:31.880]  迷途知返的主題 我們一起來
[00:01:31.880 --> 00:01:34.880]  禱告
[00:01:34.880 --> 00:01:37.880]  天父上帝啊 我們的主
[00:01:37.880 --> 00:01:40.880]  感謝祢的恩典 讓我們得
[00:01:40.880 --> 00:01:43.880]  著救贖 主啊 我們是
[00:01:43.880 --> 00:01:46.880]  何等的軟弱和不配 在我們的
[00:01:46.880 --> 00:01:49.880]  生命當中 很多時候 還會
[00:01:49.880 --> 00:01:52.880]  如煙 走迷 個人偏行
[00:01:52.880 --> 00:01:55.880]  幾路 主啊
[00:01:55.880 --> 00:01:58.880]  不要讓我們迷失
[00:01:58.880 --> 00:02:01.880]  主啊 幫助我們 提醒我們
[00:02:01.880 --> 00:02:04.880]  讓我們可以時刻清晰
[00:02:04.880 --> 00:02:07.880]  我們前面的道路 讓我們不至於
[00:02:07.880 --> 00:02:10.880]  在原地 在那個生命的境界
[00:02:10.880 --> 00:02:13.880]  一直的停留 甚至是倒退
[00:02:13.880 --> 00:02:16.880]  主啊 拖住我們
[00:02:16.880 --> 00:02:19.880]  透過今天的這樣一個
[00:02:19.880 --> 00:02:22.880]  萬一馬五四路上的經文
[00:02:22.880 --> 00:02:25.880]  當年 祢和兩位門徒的實力
[00:02:25.880 --> 00:02:28.880]  再來和我們說話
[00:02:28.880 --> 00:02:31.880]  讓我們可以緊緊的跟隨祢
[00:02:31.880 --> 00:02:34.880]  我們把接下來 聆聽主祢真道的時間
[00:02:34.880 --> 00:02:37.880]  恭敬的交上
[00:02:37.880 --> 00:02:40.880]  願我口中的言語 眾弟兄姊妹的心懷
[00:02:40.880 --> 00:02:43.880]  意念 都得盟主的願啊
[00:02:43.880 --> 00:02:46.880]  同心禱告 奉主明求 阿們
[00:02:46.880 --> 00:02:49.880]  好 那麼今天這段經文呢
[00:02:49.880 --> 00:02:52.880]  特別做了一些的鋪排
