
[00:00:00.000 --> 00:00:05.760]   Hi, everybody.
[00:00:05.760 --> 00:00:07.720]   Hope you're all doing well.
[00:00:07.720 --> 00:00:11.200]   We're starting, we've been starting this new series last week.
[00:00:11.200 --> 00:00:14.040]   It's on 1 Peter chapter 2.
[00:00:14.040 --> 00:00:17.060]   And it's going to be a little bit of an interactive sermon today.
[00:00:17.060 --> 00:00:18.240]   So get ready to type.
[00:00:18.240 --> 00:00:23.200]   The first thing I want you to type in the chat is what comes up?
[00:00:23.200 --> 00:00:28.680]   What's the first thing that comes up on your mind when it says God's grace and submission?
[00:00:28.680 --> 00:00:36.260]   What's the first thing that comes to mind when it says God's grace and submission?
[00:00:36.260 --> 00:00:38.200]   You can type anything you want.
[00:00:38.200 --> 00:00:39.200]   Jesus.
[00:00:39.200 --> 00:00:40.720]   Yeah, very good.
[00:00:40.720 --> 00:00:41.720]   Very good.
[00:00:41.720 --> 00:00:42.720]   The cross.
[00:00:42.720 --> 00:00:43.720]   Absolutely.
[00:00:43.720 --> 00:00:45.000]   Grace and submission.
[00:00:45.000 --> 00:00:46.000]   Obedience.
[00:00:46.000 --> 00:00:47.000]   Very good.
[00:00:47.000 --> 00:00:48.000]   From Anshan.
[00:00:48.000 --> 00:00:49.000]   Yeah.
[00:00:49.000 --> 00:00:50.200]   Anything else?
[00:00:50.200 --> 00:00:51.760]   What comes to mind?
[00:00:51.760 --> 00:00:53.400]   Letting go of ourselves.
[00:00:53.400 --> 00:00:55.440]   That's a very good one, right?
[00:00:55.440 --> 00:01:01.120]   Letting go to receive God's grace and also giving ourselves to God.
[00:01:01.120 --> 00:01:02.120]   Absolutely.
[00:01:02.120 --> 00:01:03.120]   Salvation.
[00:01:03.120 --> 00:01:04.120]   Very good.
[00:01:04.120 --> 00:01:11.160]   Any other, any other, any other things that come to mind when we think of God's grace
[00:01:11.160 --> 00:01:12.160]   and submission?
[00:01:12.160 --> 00:01:13.160]   Okay.
[00:01:13.160 --> 00:01:14.440]   Those are very good.
[00:01:14.440 --> 00:01:19.800]   So last week, Pastor James did an excellent talk on teaching us what it means to have
[00:01:19.800 --> 00:01:21.280]   living hope.
[00:01:21.280 --> 00:01:28.060]   And last week we saw, right, we have inheritance because we are now part of God's family.
[00:01:28.060 --> 00:01:31.000]   And because of this inheritance, we also have reward.
[00:01:31.000 --> 00:01:36.400]   In verse six to seven, Pastor James talked about the suffering that we also have.
[00:01:36.400 --> 00:01:41.800]   And when we have this suffering, God refines us so that we become more like him and we
[00:01:41.800 --> 00:01:44.360]   receive salvation through Jesus.
[00:01:44.360 --> 00:01:47.280]   And he is the one that rescues us.
[00:01:47.280 --> 00:01:52.880]   And so today we are talking about the next part, which is grace and submission, grace
[00:01:52.880 --> 00:01:54.360]   and submission.
[00:01:54.360 --> 00:01:58.260]   So there's four things that we're going to talk about today in terms of grace and submission.
[00:01:58.260 --> 00:02:02.240]   The first is that we are part of the same family.
[00:02:02.240 --> 00:02:03.240]   That's right.
[00:02:03.240 --> 00:02:05.280]   Look at the people beside you.
[00:02:05.280 --> 00:02:09.880]   We're part of the same family.
[00:02:09.880 --> 00:02:12.200]   Like it or not, we're part of the same family.
[00:02:12.200 --> 00:02:16.800]   The second thing we're going to learn about is we are stones in the same house.
[00:02:16.800 --> 00:02:20.080]   We are priests in the same temple, number three.
[00:02:20.080 --> 00:02:24.200]   And number four, we are citizens of the same nation.
[00:02:24.200 --> 00:02:28.160]   So we're going to read the passage for today.
[00:02:28.160 --> 00:02:35.840]   So verse 22 here, "Having purified your souls by your obedience to the truth for a sincere
[00:02:35.840 --> 00:02:41.600]   brotherly love, love one another earnestly from a pure heart.
[00:02:41.600 --> 00:02:47.760]   Because you have been born again, not of perishable seed, but of imperishable through the living
[00:02:47.760 --> 00:02:50.960]   and abiding word of God.
[00:02:50.960 --> 00:02:59.240]   So put away all malice and deceit and hypocrisy and envy and all slender like newborn infants,
[00:02:59.240 --> 00:03:06.560]   long for the pure spiritual milk that by it you may grow up into salvation.
[00:03:06.560 --> 00:03:11.400]   If indeed you have tasted that the Lord is good."
[00:03:11.400 --> 00:03:20.360]   And so we see here in the second part of chapter one that Peter is confirming that we have
[00:03:20.360 --> 00:03:22.640]   been born again, right?
[00:03:22.640 --> 00:03:29.840]   We have been born again, not of perishable seed, but of imperishable.
[00:03:29.840 --> 00:03:37.580]   What Jesus has done on the cross for us is that now we no longer live for the earthly
[00:03:37.580 --> 00:03:44.000]   and the temporary, but now we live for the eternal and for the heavenly things.
[00:03:44.000 --> 00:03:48.440]   And so we have been born again, as we see in the next slide, that we are part of the
[00:03:48.440 --> 00:03:49.440]   same family.
[00:03:49.440 --> 00:03:53.600]   We've been born again to the same family.
[00:03:53.600 --> 00:04:00.840]   And Jesus also does that to us, for us through the living and abiding word of God.
[00:04:00.840 --> 00:04:02.920]   His word is truth.
[00:04:02.920 --> 00:04:05.320]   What he says, he will accomplish.
[00:04:05.320 --> 00:04:11.240]   And his promise was that if we believe in our heart that Jesus Christ is Lord, we are
[00:04:11.240 --> 00:04:13.280]   now part of his family.
[00:04:13.280 --> 00:04:16.180]   We are a child of God.
[00:04:16.180 --> 00:04:19.240]   And so this is what God has done for us.
[00:04:19.240 --> 00:04:21.960]   He's died on the cross for us so that we are born again.
[00:04:21.960 --> 00:04:30.140]   We are now born for the eternal, for the heavenly, and we are born through the word of God.
[00:04:30.140 --> 00:04:37.540]   It says here, through the living and abiding word of God, that Jesus is the word, the way,
[00:04:37.540 --> 00:04:39.540]   the life, and the truth.
[00:04:39.540 --> 00:04:42.500]   And no one comes to the Father except through him.
[00:04:42.500 --> 00:04:44.840]   And so that's what God has done.
[00:04:44.840 --> 00:04:46.980]   And so this is God's part.
[00:04:46.980 --> 00:04:48.580]   That part is grace.
[00:04:48.580 --> 00:04:51.220]   What we need to do is we need to submit.
[00:04:51.220 --> 00:04:56.780]   And Peter tells us here that we need to purify ourselves, right?
[00:04:56.780 --> 00:04:59.620]   Because we've been born again, we need to pure ourselves.
[00:04:59.620 --> 00:05:01.740]   No more slander, no more malice.
[00:05:01.740 --> 00:05:03.500]   Do good things to each other.
[00:05:03.500 --> 00:05:06.020]   We need to love each other earnestly.
[00:05:06.020 --> 00:05:10.460]   We need to put away sin.
[00:05:10.460 --> 00:05:16.100]   And a great example of this is the prodigal son, right?
[00:05:16.100 --> 00:05:21.020]   When he recognized, I've done wrong things.
[00:05:21.020 --> 00:05:27.540]   I can go back to my father if I turn from my ways of wild living, of throwing away all
[00:05:27.540 --> 00:05:30.060]   my inheritance.
[00:05:30.060 --> 00:05:32.420]   He had to put away his sins first.
[00:05:32.420 --> 00:05:38.700]   As we see in the next slide, the prodigal son returns to the father.
[00:05:38.700 --> 00:05:40.460]   He's willing to obey.
[00:05:40.460 --> 00:05:41.620]   And what does the father do?
[00:05:41.620 --> 00:05:46.380]   The father runs to him with open arms.
[00:05:46.380 --> 00:05:53.540]   He sees his son in the distant and he runs to him and he receives the father and receives
[00:05:53.540 --> 00:05:56.660]   his son, the prodigal son.
[00:05:56.660 --> 00:06:01.500]   And so that is what we need to do as we are part of the same family.
[00:06:01.500 --> 00:06:09.300]   Yes, we've received God's grace already, but we also need to do our part to obey, to love
[00:06:09.300 --> 00:06:13.940]   one another, to put away sin.
[00:06:13.940 --> 00:06:20.100]   And the last part that Peter also said is that we need to long for pure spiritual milk
[00:06:20.100 --> 00:06:22.660]   so that we will be able to grow.
[00:06:22.660 --> 00:06:28.060]   Now a lot of us in this KFC family has had newborn babies.
[00:06:28.060 --> 00:06:29.060]   Praise the Lord, right?
[00:06:29.060 --> 00:06:31.580]   We have Josh and Mel.
[00:06:31.580 --> 00:06:34.260]   We have Sam and Rachel.
[00:06:34.260 --> 00:06:35.740]   We have Rocky and Adrian.
[00:06:35.740 --> 00:06:43.220]   We have lots of people that we've been blessed as this KFCI family with newborn babies.
[00:06:43.220 --> 00:06:46.460]   We've had people with new newborn dogs, right?
[00:06:46.460 --> 00:06:54.060]   And puppies, Vincent and Agnes, you know, dogs are a special part of our family as well.
[00:06:54.060 --> 00:07:00.620]   What's amazing about these babies, these puppies, is that they don't have to think twice about
[00:07:00.620 --> 00:07:03.100]   spiritual, about milk, right?
[00:07:03.100 --> 00:07:04.300]   They long for milk.
[00:07:04.300 --> 00:07:06.940]   They know they need it, right?
[00:07:06.940 --> 00:07:08.940]   The babies aren't like, "Oh yeah, I don't know.
[00:07:08.940 --> 00:07:10.660]   I don't know if I want milk today.
[00:07:10.660 --> 00:07:13.340]   You know, I might not feel like milk today."
[00:07:13.340 --> 00:07:15.300]   No, they long for milk.
[00:07:15.300 --> 00:07:19.320]   You know, Agnes' puppy, it longs for food, right?
[00:07:19.320 --> 00:07:21.380]   It doesn't have to think twice about it.
[00:07:21.380 --> 00:07:27.900]   And so if we are doing the right things, we will naturally long for spiritual milk.
[00:07:27.900 --> 00:07:33.940]   We will long to grow in the Word of God through prayer, through fellowship, through our church
[00:07:33.940 --> 00:07:35.300]   community.
[00:07:35.300 --> 00:07:40.480]   And so that is what we need to do as we submit to the Lord.
[00:07:40.480 --> 00:07:45.180]   And so the first thing that we see in grace and submission is that we are part of the
[00:07:45.180 --> 00:07:46.340]   same family.
[00:07:46.340 --> 00:07:51.180]   The second part of it is that we are stones in the same house.
[00:07:51.180 --> 00:07:56.700]   I want you to type in the chat, what is the biggest thing that you've built?
[00:07:56.700 --> 00:07:58.620]   It could be a model car.
[00:07:58.620 --> 00:08:00.660]   It could be a snowman.
[00:08:00.660 --> 00:08:02.500]   It could be a sandcastle.
[00:08:02.500 --> 00:08:05.780]   What's the biggest thing that you've built?
[00:08:05.780 --> 00:08:12.200]   It could be a, I know Joseph has built a lot of things, right?
[00:08:12.200 --> 00:08:15.540]   What's the biggest thing that you've built?
[00:08:15.540 --> 00:08:17.180]   Come on, don't take too long.
[00:08:17.180 --> 00:08:18.720]   What's the biggest thing you've built?
[00:08:18.720 --> 00:08:20.000]   It could be something small.
[00:08:20.000 --> 00:08:21.620]   It could be something big.
[00:08:21.620 --> 00:08:26.780]   What's the biggest thing that you've built?
[00:08:26.780 --> 00:08:27.780]   A wall.
[00:08:27.780 --> 00:08:28.780]   Okay.
[00:08:28.780 --> 00:08:29.780]   All right.
[00:08:29.780 --> 00:08:33.500]   Hopefully, hopefully we're building bridges, not walls.
[00:08:33.500 --> 00:08:35.340]   Ikea furniture.
[00:08:35.340 --> 00:08:36.340]   That's right.
[00:08:36.340 --> 00:08:37.340]   A family.
[00:08:37.340 --> 00:08:38.340]   Oh, very good.
[00:08:38.340 --> 00:08:41.620]   We're getting very, very spiritual here.
[00:08:41.620 --> 00:08:42.900]   A Lego boat.
[00:08:42.900 --> 00:08:43.900]   That's super cool.
[00:08:43.900 --> 00:08:45.300]   I wonder what boat it was.
[00:08:45.300 --> 00:08:46.300]   All right.
[00:08:46.300 --> 00:08:47.300]   What else?
[00:08:47.300 --> 00:08:48.300]   What else do we have?
[00:08:48.300 --> 00:08:49.300]   A new family.
[00:08:49.300 --> 00:08:50.300]   Awesome.
[00:08:50.300 --> 00:08:51.300]   That's great.
[00:08:51.300 --> 00:08:52.860]   A fort in the woods.
[00:08:52.860 --> 00:08:53.860]   Oh my.
[00:08:53.860 --> 00:08:58.840]   I wonder what kind of material you built that fort with.
[00:08:58.840 --> 00:09:03.500]   Anybody built a snowman or a snow fort or an igloo?
[00:09:03.500 --> 00:09:06.420]   That's something we like to do in Canada when we have snow.
[00:09:06.420 --> 00:09:07.420]   All right.
[00:09:07.420 --> 00:09:15.220]   We're going to read the next passage about how God is building us in the same house.
[00:09:15.220 --> 00:09:21.420]   Verse four, "As you come to him, a living stone rejected by man, but in the sight of
[00:09:21.420 --> 00:09:28.940]   God chosen and precious, you yourselves like living stones are being built up as a spiritual
[00:09:28.940 --> 00:09:36.140]   house to be a holy priesthood, to offer spiritual sacrifices acceptable to God through Jesus
[00:09:36.140 --> 00:09:37.340]   Christ.
[00:09:37.340 --> 00:09:45.580]   For it stands in scripture, 'Behold, I am laying in Zion a stone, a cornerstone chosen
[00:09:45.580 --> 00:09:51.660]   and precious, and whoever believes in him will not be put to shame.'"
[00:09:51.660 --> 00:09:56.540]   And so we see here that God has built.
[00:09:56.540 --> 00:10:05.460]   God has built stones that were once rejected, but now chosen and precious.
[00:10:05.460 --> 00:10:12.940]   Jesus was rejected, but he was chosen by the Father, chosen by the Father, and he himself
[00:10:12.940 --> 00:10:13.940]   is precious.
[00:10:13.940 --> 00:10:17.740]   And we are also like those living stones.
[00:10:17.740 --> 00:10:23.980]   Peter says that we might also be rejected by people or the world, but we were chosen
[00:10:23.980 --> 00:10:28.300]   and we are also precious according to the Father.
[00:10:28.300 --> 00:10:34.060]   And he builds us up into a spiritual house, into a spiritual house.
