
[00:00:00.000 --> 00:00:06.000]  主持人:各位弟兄姊妹,主內平安!
[00:00:06.000 --> 00:00:15.000]  今天講到的經文是全道書七章十五到二十九節
[00:00:15.000 --> 00:00:24.000]  而第一節的經文,即是第十五節,我想這一對經文是大家不陌生的
[00:00:24.000 --> 00:00:35.000]  在虛度的日子裏,我見過各樣的事情, 義人在他的義中滅亡,惡人在他的惡中倒享長壽。
[00:00:35.000 --> 00:00:41.000]  我想這一句也或許是大家對這個世界的觀察
[00:00:41.000 --> 00:00:49.000]  尤其是當你信主一段日子,你也或許自己或你問過傳達人這個問題
[00:00:49.000 --> 00:00:54.000]  又或許是這樣說,你未信的朋友也可能會問過你
[00:00:54.000 --> 00:01:01.000]  我見到這個世界不是每個好人都有好報,也不是每個惡人都有報應
[00:01:01.000 --> 00:01:07.000]  你又說基督教的神是愛,是公義,那為甚麼沒有呢?
[00:01:07.000 --> 00:01:15.000]  所以這個問題我相信大家都不陌生,而今天傳道者也要處理這個問題
[00:01:15.000 --> 00:01:22.000]  我們多數面對著世界的惡人倒享一幅
[00:01:22.000 --> 00:01:28.000]  這個情況我們會用末世的方法去回答
[00:01:28.000 --> 00:01:34.000]  我知道現在這個世界不是完美的,但神最後也會審判
[00:01:34.000 --> 00:01:40.000]  死了之後,看看誰可以笑到最後
[00:01:40.000 --> 00:01:48.000]  我們也一樣,上帝在我們人生過去之後,在世界終結的時候會審判
[00:01:48.000 --> 00:01:54.000]  那個審判是公平的
[00:01:54.000 --> 00:02:01.000]  但當我們這樣回答之後,不知道你會否像下面那兩個黃色的公仔一樣
[00:02:01.000 --> 00:02:08.000]  將盼望只可以等到死後才發生
[00:02:08.000 --> 00:02:11.000]  那你現在的生活怎麼辦呢?
[00:02:11.000 --> 00:02:23.000]  依然像那個黃色公仔,苦瓜乾,有一點妒忌地看著惡人
[00:02:23.000 --> 00:02:32.000]  如果我們將盼望只放在來生,其實我們真的會不開心
[00:02:32.000 --> 00:02:37.000]  對於今生,即是死之前的我們,就不要盼望
[00:02:37.000 --> 00:02:41.000]  如果盼望只在來生,那我現在就躺平就好了
[00:02:41.000 --> 00:02:52.000]  躺平是內地的一個潮語,即是環境我都改變不了,那不如我什麼都不要做,就躺在這裡算了
[00:02:52.000 --> 00:02:57.000]  但明顯地,用末世,即是用死後審判
[00:02:57.000 --> 00:03:06.000]  這個方法去回應剛剛的信仰難題,並不是傳道書或傳道者的回答方法
[00:03:06.000 --> 00:03:15.000]  換言之,原來傳道者今天給了我們另一個方法去回答這個信仰難題
[00:03:15.000 --> 00:03:18.000]  我們在這個世界可以怎樣去生活
[00:03:18.000 --> 00:03:28.000]  而傳道者用他一貫的方法,日光之下所發生的事,他就用日光之下的觀察
[00:03:28.000 --> 00:03:33.000]  例如上兩次的講道,上兩次的講道大家記得講什麼嗎?
