
[00:00:00.000 --> 00:00:06.000]  我們要講的題目是 崇拜如何祝福我們的人生
[00:00:06.000 --> 00:00:10.000]  所以我想邀請大家跟我一起來思想這個話題
[00:00:10.000 --> 00:00:14.000]  你們真的是很蒙福 我也很為上帝感謝你們
[00:00:14.000 --> 00:00:19.000]  為你們感謝上帝 你們來參加崇拜 來清淨神
[00:00:19.000 --> 00:00:23.000]  一定會蒙福的 但是我們今天要更深入地學習
[00:00:23.000 --> 00:00:26.000]  崇拜怎麼樣祝福我們的人生
[00:00:26.000 --> 00:00:29.000]  以致我們的信仰跟生活有一個更深入的認知
[00:00:29.000 --> 00:00:33.000]  跟生活有一個更清楚的連結 我們一起同心禱告
[00:00:33.000 --> 00:00:37.000]  親愛的主 我們感謝贊美禰
[00:00:37.000 --> 00:00:43.000]  感謝贊美禰 讓我們有機會每次自由地來參加崇拜
[00:00:43.000 --> 00:00:47.000]  我們知道在不同的地區 這不是必然的
[00:00:47.000 --> 00:00:51.000]  我們能夠這樣自由地 舒服地參加崇拜
[00:00:51.000 --> 00:00:53.000]  我們滿心獻上感謝
[00:00:53.000 --> 00:00:58.000]  我們求禰就在這個時候 使我們的心成為好土
[00:00:58.000 --> 00:01:02.000]  以致我們的心能夠領受禰自己的話語
[00:01:02.000 --> 00:01:06.000]  主我們求禰與我們同在 以致禰的名得榮耀
[00:01:06.000 --> 00:01:12.000]  一切榮耀歸給禰 禱告奉主耶穌基督聖明祈求 阿們
[00:01:12.000 --> 00:01:15.000]  那麼我們看今天的講道經文是講到
[00:01:15.000 --> 00:01:21.000]  來啊 我們要屈身敬拜 在趙我們的耶華面前跪下
[00:01:21.000 --> 00:01:27.000]  因為祂是我們的神 我們是祂草長的羊 是祂手下的名
[00:01:27.000 --> 00:01:34.000]  在這裡我們看見 崇拜有很重要的一個呼籲
[00:01:34.000 --> 00:01:40.000]  就是在聖經裡面不斷地呼籲我們 來啊 要敬拜我們的神
[00:01:40.000 --> 00:01:46.000]  以前我曾經想過一個問題 為什麼上帝一定要我們敬拜祂呢
[00:01:46.000 --> 00:01:49.000]  我們人很少要人 其他人敬拜我們的
[00:01:49.000 --> 00:01:55.000]  雖然有些人當他自我膨脹的時候 他很喜歡別人崇拜他
[00:01:55.000 --> 00:01:59.000]  當然也有這樣的情況 但是我們人很少是期待別人
[00:01:59.000 --> 00:02:04.000]  但是上帝是主動的 清楚的 強調的
[00:02:04.000 --> 00:02:09.000]  說你們來敬拜我 借著祂的僕人 借著先知 借著詩人
[00:02:09.000 --> 00:02:14.000]  不斷地呼籲 你們要來敬拜 要來敬拜 要來敬拜
[00:02:14.000 --> 00:02:18.000]  如果我們做全方位的思考 我們想得最極端
[00:02:18.000 --> 00:02:24.000]  上帝是不是很需要這些的虛榮呢 需要人家敬拜
[00:02:24.000 --> 00:02:28.000]  如果我們用墮落的思維來想的時候 會不會是這樣子呢
[00:02:28.000 --> 00:02:33.000]  但是我們知道不是 因為上帝的榮耀肯定不是虛榮
[00:02:33.000 --> 00:02:37.000]  祂配不配得敬拜呢 祂配得敬拜
[00:02:37.000 --> 00:02:41.000]  因為天上地下沒有像上帝那樣的 對嗎
[00:02:41.000 --> 00:02:49.000]  唯有祂是神 唯有祂有一切的智慧 溫柔 能力 跟最明白我們的心
[00:02:49.000 --> 00:02:56.000]  祂也願意為我們死在十字架 我們的神 是那位這麼愛我們的神
[00:02:56.000 --> 00:03:02.000]  配得我們敬拜 我們如果不敬拜祂 我們根本就是做得不足 對嗎
[00:03:02.000 --> 00:03:08.000]  所以我們的神是配得敬拜 這節經文我想強調兩個大原因
[00:03:08.000 --> 00:03:12.000]  一個原因是什麼呢 一個原因是上帝愛我們
[00:03:12.000 --> 00:03:20.000]  祂要我們在敬拜的過程中 慢慢地學會一個很重要的人生的真理
[00:03:20.000 --> 00:03:23.000]  我們生命的態度
[00:03:23.000 --> 00:03:30.000]  我們的生命的態度最蒙福的時候 是我們懂得在上帝面前謙卑
[00:03:30.000 --> 00:03:37.000]  借著崇拜 借著重復地參加崇拜 我們不斷地被提醒
[00:03:37.000 --> 00:03:43.000]  放下 放下那個常常讓你跌倒的自我
[00:03:43.000 --> 00:03:48.000]  放下那個常常你連自己都不喜歡的那個自我
[00:03:48.000 --> 00:03:56.000]  崇拜是讓我們懂得怎麼樣呢 在照我們的耶和華面前跪下
[00:03:56.000 --> 00:04:01.000]  一種降福 這是一個很重要的原因
[00:04:01.000 --> 00:04:08.000]  所以上帝要我們敬拜祂 是為了我們蒙福
[00:04:08.000 --> 00:04:13.000]  為了我們學會 你先把生命態度擺正確
[00:04:13.000 --> 00:04:17.000]  就是在上帝面前要懂得謙卑
[00:04:17.000 --> 00:04:19.000]  一個人什麼時候開始墮落呢
[00:04:19.000 --> 00:04:28.000]  就是當他心中無神的時候 就目中無人
[00:04:28.000 --> 00:04:32.000]  一個人的墮落是他心中無敬畏的時候
[00:04:32.000 --> 00:04:38.000]  我不知道你有沒有發現 世界的罪惡也越來越可怕
[00:04:38.000 --> 00:04:43.000]  特別是一些國家本來是以基督教建國
[00:04:43.000 --> 00:04:47.000]  當他們把上帝從他們的學校趕出去的時候
[00:04:47.000 --> 00:04:50.000]  說在學校裡面不可以祈禱
[00:04:50.000 --> 00:04:58.000]  你會發現這個地方他們的罪惡的嚴重程度的性質
[00:04:58.000 --> 00:05:06.000]  是離譜到不得了的 因為心中無神就開始越來越墮落
[00:05:06.000 --> 00:05:10.000]  是程度的問題 哪一個地方越敬畏神呢
[00:05:10.000 --> 00:05:15.000]  就越真的懂得怎樣做人
[00:05:15.000 --> 00:05:19.000]  因為心中有神 目中就有人
[00:05:19.000 --> 00:05:21.000]  所以崇拜的一個很重要的原因是
[00:05:21.000 --> 00:05:24.000]  我們要學會在上帝面前謙卑
[00:05:24.000 --> 00:05:27.000]  崇拜的第二個原因是什麼呢
[00:05:27.000 --> 00:05:30.000]  是上帝要我們不斷地被他提醒
[00:05:30.000 --> 00:05:33.000]  不斷地被我們崇拜的活動提醒
[00:05:33.000 --> 00:05:36.000]  我們是屬於他的
[00:05:36.000 --> 00:05:42.000]  我們不是一個世界社會為你定義的你的標籤
[00:05:42.000 --> 00:05:48.000]  你值多少錢 你是什麼職位
[00:05:48.000 --> 00:05:53.000]  上帝要告訴你 這些不重要 你是我的
[00:05:53.000 --> 00:05:57.000]  你不只是我的 你還是我的掌上明珠
[00:05:57.000 --> 00:06:00.000]  你是刻在我的手心上的
[00:06:00.000 --> 00:06:02.000]  聖經這麼告訴我們
[00:06:02.000 --> 00:06:07.000]  當我們看耶穌基督的手被釘在十字架的時候
[00:06:07.000 --> 00:06:13.000]  我們就知道他真的把我們的生命刻在他的手中
[00:06:13.000 --> 00:06:15.000]  他是我們的神
[00:06:15.000 --> 00:06:18.000]  我巴不得我們的弟兄姐妹
[00:06:18.000 --> 00:06:23.000]  真的是能夠把這個概念 這個真理
[00:06:23.000 --> 00:06:25.000]  深化在你的內心
[00:06:25.000 --> 00:06:29.000]  以至你不再去別的地方尋求你的認同感
[00:06:29.000 --> 00:06:32.000]  跟要得到的尊重
[00:06:32.000 --> 00:06:37.000]  你不需要當別人好像在世俗的條件比你好的時候
[00:06:37.000 --> 00:06:40.000]  你就變成自卑 看不起自己
[00:06:40.000 --> 00:06:44.000]  我多麼希望我們的弟兄姐妹真的是這個東西
[00:06:44.000 --> 00:06:48.000]  我們是屬於至高無上的神的寶貝兒女
[00:06:48.000 --> 00:06:50.000]  這個真理能夠進入你的心
