
[00:00:00.000 --> 00:00:04.000]  「祈禱」
[00:00:30.000 --> 00:00:34.000]  「神聖界線下的賞詞」
[00:01:00.000 --> 00:01:14.000]  神聖界線下的賞詞
[00:01:30.000 --> 00:01:33.000]  有特別出色的表演
[00:01:33.000 --> 00:01:37.000]  於是公司就會設立這些賞詞的獎金
[00:01:37.000 --> 00:01:39.000]  但我們又會知道
[00:01:39.000 --> 00:01:44.000]  這些獎金是每一年金額都不同的
[00:01:44.000 --> 00:01:46.000]  或者有大有小
[00:01:46.000 --> 00:01:48.000]  甚至有時沒有的
[00:01:48.000 --> 00:01:52.000]  如果是喜歡看劇集的弟兄姊妹
[00:01:52.000 --> 00:01:54.000]  可能賞詞對你來說
[00:01:54.000 --> 00:02:00.000]  你會想起皇上心情好或打勝仗
[00:02:00.000 --> 00:02:09.000]  他將珍貴的財物送贈給官員
[00:02:09.000 --> 00:02:16.000]  「界線」和「賞詞」在神的心意和定義下
[00:02:16.000 --> 00:02:18.000]  其實是怎樣呢?
[00:02:18.000 --> 00:02:21.000]  我們也看看文素記十八章
[00:02:21.000 --> 00:02:23.000]  上帝給我們的說話
[00:02:23.000 --> 00:02:26.000]  讓我們先做一個祈禱
[00:02:26.000 --> 00:02:28.000]  三一真神 我們來到祢面前
[00:02:28.000 --> 00:02:30.000]  神祢的話語一解開
[00:02:30.000 --> 00:02:34.000]  我們就體會在神聖界線下
[00:02:34.000 --> 00:02:38.000]  神給人的三種賞詞
[00:02:38.000 --> 00:02:40.000]  願講的 聽的
[00:02:40.000 --> 00:02:46.000]  我們都細心地去接收 傳講 並且回應
[00:02:46.000 --> 00:02:47.000]  我們這樣同心祈禱
[00:02:47.000 --> 00:02:52.000]  奉耶穌基督名字 阿門
[00:02:52.000 --> 00:02:56.000]  文素記十八章有一個字
[00:02:56.000 --> 00:03:00.000]  中文聖經用一個譯音
[00:03:00.000 --> 00:03:04.000]  譯希伯來文就是 Matana
[00:03:04.000 --> 00:03:10.000]  一個Matana就在整卷文素記三十二章裏
[00:03:10.000 --> 00:03:14.000]  只是在第十八章裏出現過
[00:03:14.000 --> 00:03:19.000]  其實文素記二十一章有一個地名
[00:03:19.000 --> 00:03:22.000]  也是叫Matana
[00:03:22.000 --> 00:03:25.000]  翻譯做賞詞 禮物
[00:03:25.000 --> 00:03:27.000]  就只有文素記十八章
[00:03:27.000 --> 00:03:29.000]  一共有三次
[00:03:29.000 --> 00:03:31.000]  讓我們先看看
[00:03:31.000 --> 00:03:36.000]  頭兩次出現在文素記的第一個段落
[00:03:36.000 --> 00:03:39.000]  就是第六第七節
[00:03:39.000 --> 00:03:41.000]  聖經裏是這樣說的
[00:03:41.000 --> 00:03:43.000]  神對阿倫說
[00:03:43.000 --> 00:03:46.000]  我已經將你們的弟兄利美人
[00:03:46.000 --> 00:03:50.000]  從以色列人中揀選出來歸耶和華
[00:03:50.000 --> 00:03:52.000]  是給你們作為賞詞的
[00:03:52.000 --> 00:03:55.000]  為要辦理會幕的事
[00:03:55.000 --> 00:03:57.000]  你和你的兒子要為一切
[00:03:57.000 --> 00:04:02.000]  屬壇和萬子內的事一同守祭司的職任
[00:04:02.000 --> 00:04:04.000]  你們要這樣恭職
[00:04:04.000 --> 00:04:06.000]  我將祭司的職任給你們
[00:04:06.000 --> 00:04:09.000]  當作賞詞侍奉我
[00:04:09.000 --> 00:04:11.000]  在這兩句裏面
[00:04:11.000 --> 00:04:17.000]  我們體會到原來神給阿倫和他的兒子
[00:04:17.000 --> 00:04:19.000]  有服侍的機會
