
[00:00:00.000 --> 00:00:06.000]   Do you know something?
[00:00:06.000 --> 00:00:15.060]   This is my first live sermon here since November the 26th.
[00:00:15.060 --> 00:00:20.200]   I'm so pleased that Sandra and I could be back here with our church family.
[00:00:20.200 --> 00:00:25.160]   As I said last week, we've missed you and have been so grateful for your love, your
[00:00:25.160 --> 00:00:27.540]   support and your prayers.
[00:00:27.540 --> 00:00:31.980]   It's been quite a journey for us.
[00:00:31.980 --> 00:00:38.680]   And tonight, we begin another journey together.
[00:00:38.680 --> 00:00:48.140]   One that will take us, as Johnny said, from now until Easter.
[00:00:48.140 --> 00:00:53.580]   Talking of journeys, I heard a story about Albert Einstein, the famous scientist.
[00:00:53.580 --> 00:00:57.580]   You know, E=mc2.
[00:00:57.580 --> 00:01:04.140]   He was traveling from Princeton, New Jersey on a train when the conductor came down the
[00:01:04.140 --> 00:01:07.460]   aisle punching tickets.
[00:01:07.460 --> 00:01:11.020]   Einstein reached into his vest pocket.
[00:01:11.020 --> 00:01:13.200]   He couldn't find his ticket.
[00:01:13.200 --> 00:01:15.420]   So he reached into his trouser pockets.
[00:01:15.420 --> 00:01:17.820]   Sounds like me, Sandra, doesn't it?
[00:01:17.820 --> 00:01:20.260]   It still wasn't there.
[00:01:20.260 --> 00:01:25.340]   He looked in his briefcase, but still couldn't find it.
[00:01:25.340 --> 00:01:32.620]   He looked on the seat next to him, but no sign of the tickets.
[00:01:32.620 --> 00:01:34.940]   The conductor was a very kind man.
[00:01:34.940 --> 00:01:42.080]   He said, "Dr. Einstein, I know who you are.
[00:01:42.080 --> 00:01:44.780]   We all know who you are.
[00:01:44.780 --> 00:01:48.860]   I'm sure you bought a ticket.
[00:01:48.860 --> 00:01:51.300]   Don't worry about it."
[00:01:51.300 --> 00:01:55.500]   The conductor just carried on his way, punching tickets.
[00:01:55.500 --> 00:02:04.740]   But just before he went to the next car, he turned around and he saw the great scientist
[00:02:04.740 --> 00:02:10.660]   on his hands and his knees looking for his ticket.
[00:02:10.660 --> 00:02:16.340]   The conductor rushed back and said, "Dr. Einstein, don't worry.
[00:02:16.340 --> 00:02:19.100]   I know who you are.
[00:02:19.100 --> 00:02:20.220]   No problem.
[00:02:20.220 --> 00:02:24.820]   You don't need a ticket."
[00:02:24.820 --> 00:02:32.860]   Einstein said, "Young man, I too know who I am.
[00:02:32.860 --> 00:02:40.700]   What I don't know is where I'm going."
[00:02:40.700 --> 00:02:46.220]   I think we all ask ourselves that question, don't we, from time to time?
[00:02:46.220 --> 00:02:51.460]   Where am I going?
[00:02:51.460 --> 00:03:01.460]   Today we begin a journey, a journey that will last eight weeks and will take us to Easter.
[00:03:01.460 --> 00:03:06.620]   I mean, we all like journeys, don't we?
[00:03:06.620 --> 00:03:08.620]   Especially you, Johnny.
[00:03:08.620 --> 00:03:11.500]   We all like journeys.
[00:03:11.500 --> 00:03:20.060]   I want to put some photos up of a journey I took to London in 2019.
[00:03:20.060 --> 00:03:23.660]   As many of you know, I support Tottenham Hotspur Football Club.
[00:03:23.660 --> 00:03:27.980]   Yes, I know it's sad.
[00:03:27.980 --> 00:03:36.300]   Now thanks to my friends at AIA in Hong Kong, I was able to not only visit the new stadium,
[00:03:36.300 --> 00:03:42.820]   but actually to go to the training ground to meet the players, including, as you see,
[00:03:42.820 --> 00:03:46.140]   Harry Kane and Sun Ho Ming.
[00:03:46.140 --> 00:03:54.460]   It was the experience of a lifetime for a lifetime Spurs fan.
[00:03:54.460 --> 00:04:03.620]   But the only way I can share it with you is through social media posts like this.
[00:04:03.620 --> 00:04:07.220]   You weren't there.
[00:04:07.220 --> 00:04:16.420]   It was a big thrill for me, but I experienced it alone.
[00:04:16.420 --> 00:04:26.860]   But the key to this journey is that we are going on it together.
[00:04:26.860 --> 00:04:35.360]   And experiences always beat those that we do on our own.
[00:04:35.360 --> 00:04:36.580]   I want to put another picture.
[00:04:36.580 --> 00:04:40.720]   I want to roll the clock forward a few months.
[00:04:40.720 --> 00:04:48.340]   A few months after that, a group of us from KFCI went to Israel and Jordan.
[00:04:48.340 --> 00:04:51.900]   Someone's learned Cantonese at the back.
[00:04:51.900 --> 00:04:55.380]   Is that the baby speaking Cantonese already?
[00:04:55.380 --> 00:05:06.140]   But the trip here, you will see us outside the empty tomb in Jerusalem.
[00:05:06.140 --> 00:05:08.220]   It was so special.
[00:05:08.220 --> 00:05:10.100]   Why?
[00:05:10.100 --> 00:05:15.420]   Because we did it together.
[00:05:15.420 --> 00:05:19.460]   We still talk about it now.
[00:05:19.460 --> 00:05:22.340]   We still ask, when can we go again?
[00:05:22.340 --> 00:05:25.540]   PS, watch this space.
[00:05:25.540 --> 00:05:37.220]   Indeed, I have to tell you, a few minutes after this picture was taken, we sat around
[00:05:37.220 --> 00:05:40.500]   and we did communion together.
[00:05:40.500 --> 00:05:46.340]   A truly shared experience.
[00:05:46.340 --> 00:05:53.020]   And for this one, we are joining hundreds of thousands of Christ followers around the
[00:05:53.020 --> 00:05:55.160]   globe.
[00:05:55.160 --> 00:05:58.420]   We will be journeying together.
[00:05:58.420 --> 00:06:05.140]   A small acorn that was birthed here in Hong Kong by a small group of international churches
[00:06:05.140 --> 00:06:12.620]   around five years ago, that has dramatically expanded to the local church, churches of
[00:06:12.620 --> 00:06:20.140]   different denominations, to churches employing various languages, and lastly, geographically,
[00:06:20.140 --> 00:06:23.860]   to churches across Asia and indeed the world.
[00:06:23.860 --> 00:06:31.420]   I heard that people in 165 countries last year actually took part in some way in the
[00:06:31.420 --> 00:06:34.420]   One Campaign.
[00:06:34.420 --> 00:06:43.380]   The acorns that were planted have grown into big oak trees.
[00:06:43.380 --> 00:06:50.060]   All inspired by a prayer, all inspired by a prayer that Jesus prayed in John chapter
[00:06:50.060 --> 00:06:52.220]   17.
[00:06:52.220 --> 00:06:55.700]   Let me set the scene.
[00:06:55.700 --> 00:07:04.800]   The scene is that Jesus is literally hours before his death.
[00:07:04.800 --> 00:07:16.620]   The cruel barbaric death normally reserved for a common criminal on a dirty wooden cross.
[00:07:16.620 --> 00:07:22.940]   He prays to his father.
[00:07:22.940 --> 00:07:36.740]   And then in verse 21, he says these words, "That they may all be one, just as you, Father,
[00:07:36.740 --> 00:07:45.700]   are in me and I in you, that they also may be in us, so that the world may believe that
[00:07:45.700 --> 00:07:49.900]   you have sent me."
[00:07:49.900 --> 00:07:54.180]   This leads me to a question.
[00:07:54.180 --> 00:08:04.700]   What would you be praying hours before your torture and a painful, bloody death?
[00:08:04.700 --> 00:08:10.820]   I guess I'd be praying something like, "Couldn't you just dumb down the pain?"
[00:08:10.820 --> 00:08:18.580]   Or maybe, "God, are you sure this is the only way?"
[00:08:18.580 --> 00:08:23.180]   But Jesus had a different priority.
[00:08:23.180 --> 00:08:30.700]   The unity of his children was the thing that was upper mind in his mind and in his heart.
[00:08:30.700 --> 00:08:37.540]   And that is why we begin this journey today.
[00:08:37.540 --> 00:08:46.940]   I believe that God is saying to his church, "This is a time for building bridges and not
[00:08:46.940 --> 00:08:48.940]   building walls.
[00:08:48.940 --> 00:08:59.500]   Indeed, it's a time to tear down walls and replace them with bridges."
[00:08:59.500 --> 00:09:08.220]   I believe this congregation is called to be bridge builders.
[00:09:08.220 --> 00:09:18.300]   As a minister for this church, I want to share with you my heart for one church.
[00:09:18.300 --> 00:09:24.580]   The truth is, I've really felt a heavy burden in this area since I started looking at the
[00:09:24.580 --> 00:09:27.340]   early church in the book of Acts.
[00:09:27.340 --> 00:09:30.100]   We looked at it last year, do you remember?
[00:09:30.100 --> 00:09:37.020]   I've been comparing the early church in Jerusalem in AD 30 with the early believers sharing
[00:09:37.020 --> 00:09:41.540]   their possessions, giving to those in needs.
[00:09:41.540 --> 00:09:44.020]   I see numbers being added daily.
[00:09:44.020 --> 00:09:50.460]   I see miracles happening to such an extent that people wanted to get under Peter's shadow
[00:09:50.460 --> 00:09:55.540]   that they might be healed.
[00:09:55.540 --> 00:10:06.140]   In Acts 2, verse 1, "At the beginning, when the day of Pentecost came, they were all together
[00:10:06.140 --> 00:10:07.140]   in one place."
[00:10:07.140 --> 00:10:11.940]   This is an interesting word, the Greek word for "in one place."
[00:10:11.940 --> 00:10:24.000]   Homophobidon is translated in other versions as "with one accord."
[00:10:24.000 --> 00:10:31.340]   They were in the same place spiritually as well as physically.
[00:10:31.340 --> 00:10:37.300]   What is basically saying today, we know we're all in the same room here today, we're physically
[00:10:37.300 --> 00:10:39.300]   in one place.
[00:10:39.300 --> 00:10:44.780]   But are we of one accord?
[00:10:44.780 --> 00:10:51.140]   It means being unanimous, having mutual consent, being in agreement, having group unity, having
[00:10:51.140 --> 00:10:57.060]   one mind and purpose.
[00:10:57.060 --> 00:11:07.080]   Now note, unity is not uniformity.
