
[00:00:00.000 --> 00:00:09.680]  感謝神讓我們有機會一起聆聽祂對我們說的話
[00:00:09.680 --> 00:00:11.680]  一起敬拜祂
[00:00:11.680 --> 00:00:13.680]  今天緩糞主日
[00:00:13.680 --> 00:00:16.680]  我們繼續在傳道書中學習
[00:00:16.680 --> 00:00:21.880]  我正道的題目是萬事之理誰能緝透
[00:00:21.880 --> 00:00:28.080]  這個題目其實是在經文中七章二十四節中出現的
[00:00:28.080 --> 00:00:36.080]  這節經文的原文就是萬事之理離我甚遠,而且心而有心
[00:00:36.080 --> 00:00:38.080]  誰能緝透呢?
[00:00:38.080 --> 00:00:44.080]  就是說世上的道理離開傳道者很遠
[00:00:44.080 --> 00:00:46.080]  而且深不可測
[00:00:46.080 --> 00:00:52.080]  就好像今天畫的片的背景一樣
[00:00:52.080 --> 00:00:54.080]  深海的背景一樣
[00:00:54.080 --> 00:01:02.080]  其實這個問題,傳道者不是問誰能緝透萬事
[00:01:02.080 --> 00:01:09.080]  而是在感嘆萬事之理世上沒有一個人能緝透
[00:01:09.080 --> 00:01:14.080]  這種感嘆不單止在今天的經文
[00:01:14.080 --> 00:01:18.080]  而是貫穿整本傳道書
[00:01:18.080 --> 00:01:25.080]  這種感嘆在聖經裡面很少講到
[00:01:25.080 --> 00:01:29.080]  舊約總共有五本智慧書
[00:01:29.080 --> 00:01:34.080]  其中《針研》《約伯記》和《傳道書》的主題
[00:01:34.080 --> 00:01:37.080]  是教導人活在世上的智慧
[00:01:37.080 --> 00:01:43.080]  這三本書的主題所講的人生也略有不同
[00:01:43.080 --> 00:01:48.080]  《針研》主要是講正常的人生
[00:01:48.080 --> 00:01:52.080]  就是說做好的事就有好的人生
[00:01:52.080 --> 00:01:56.080]  《約伯記》是講反常的人生
[00:01:56.080 --> 00:01:58.080]  是在問一個問題
[00:01:58.080 --> 00:02:03.080]  做好的事為什麼不能得到好的人生
[00:02:03.080 --> 00:02:05.080]  《傳道書》呢?
[00:02:05.080 --> 00:02:08.080]  《傳道書》是講無常的人生
[00:02:08.080 --> 00:02:11.080]  也是問另一個問題
[00:02:11.080 --> 00:02:17.080]  怎樣才能活在無常的人生裡面
[00:02:17.080 --> 00:02:21.080]  其實怎樣去面對無常的人生
[00:02:21.080 --> 00:02:24.080]  是世上很多人的問題
[00:02:24.080 --> 00:02:28.080]  包括基督徒或者非基督徒
[00:02:28.080 --> 00:02:33.080]  不知道大家記不記得這兩個歌詞
[00:02:33.080 --> 00:02:36.080]  知否世事常變
[00:02:36.080 --> 00:02:38.080]  變幻然是永恆
[00:02:38.080 --> 00:02:42.080]  誰記得?
[00:02:42.080 --> 00:02:46.080]  記不記得是怎樣出來的呢?
[00:02:46.080 --> 00:02:49.080]  是什麼時候寫的?
[00:02:49.080 --> 00:02:52.080]  記得加一遍就厲害了
[00:02:52.080 --> 00:02:54.080]  下一個生日麻煩你
[00:02:54.080 --> 00:02:58.080]  1977年TVB的劇集
