
[00:00:00.000 --> 00:00:02.000]  OK, 大家看到我的畫面了嗎?
[00:00:02.000 --> 00:00:11.000]  今天我們會說 Community, 我們如何能夠Forgive one another
[00:00:11.000 --> 00:00:16.000]  這是我們每個人都需要學習的
[00:00:16.000 --> 00:00:22.000]  我們在一個Community的時候, 一個教會的Community, 一個Explorer的Community
[00:00:22.000 --> 00:00:28.000]  我們應該彼此鼓勵, Spur each other on
[00:00:28.000 --> 00:00:31.000]  這裡是Proverbs 27:17
[00:00:31.000 --> 00:00:36.000]  As iron sharpens iron, so one person sharpens another
[00:00:36.000 --> 00:00:42.000]  我們在一個Community, 一個教會的Community, 我們要彼此鼓勵
[00:00:42.000 --> 00:00:48.000]  但有時我們在這個Community會有不同的Conflict
[00:00:48.000 --> 00:00:53.000]  我們看到保羅和巴黎巴拉都會有不同的Conflict
[00:00:53.000 --> 00:00:55.000]  我們看36節
[00:00:55.000 --> 00:01:06.000]  After some days, Paul said to Barnabas, let us return and visit the brothers in every city where we proclaim the word of God and see how they are
[00:01:06.000 --> 00:01:11.000]  Now Barnabas wanted to take with them John called Mark
[00:01:11.000 --> 00:01:22.000]  But Paul thought best not to take with them one who had withdrawn from them in the city and had not gone with them to the work
[00:01:22.000 --> 00:01:28.000]  And there arose a sharp disagreement, so that they separated from each other
[00:01:28.000 --> 00:01:32.000]  Barnabas took Mark with them and sailed away to Cyprus
[00:01:32.000 --> 00:01:40.000]  But Paul chose Silas and departed, having been commended by the brothers to the grace of our Lord
[00:01:40.000 --> 00:01:50.000]  這裡我們看到, 保羅不想帶John called Mark和他們一起去
[00:01:50.000 --> 00:01:56.000]  但巴黎巴拉想帶John called Mark
[00:01:56.000 --> 00:01:59.000]  所以他們有不同的Conflict
[00:01:59.000 --> 00:02:03.000]  然後他們有一個sharp disagreement
[00:02:03.000 --> 00:02:08.000]  巴黎巴拉就帶了Mark去Cyprus
[00:02:08.000 --> 00:02:15.000]  保羅就帶了第二個叫Silas去不同的城市
[00:02:15.000 --> 00:02:24.000]  你們看到我們不同的團體,就是不同的Apostle的名字
