
[00:00:00.000 --> 00:00:01.700]  好 謝謝主席
[00:00:01.700 --> 00:00:03.800]  希望姐妹平安
[00:00:03.800 --> 00:00:06.040]  感謝神我們又來到祂的殿中
[00:00:06.040 --> 00:00:08.340]  求上帝預備我們的心
[00:00:08.340 --> 00:00:10.800]  能夠真的是明白祂的話語
[00:00:10.800 --> 00:00:15.200]  那麼我們上回提到斐立這個人物
[00:00:15.200 --> 00:00:17.640]  我們學了幾樣重要的功課
[00:00:17.640 --> 00:00:20.300]  第一是祂有美好的生命見證
[00:00:20.300 --> 00:00:21.840]  是何等的重要
[00:00:21.840 --> 00:00:25.440]  祂是被揀選是有好名聲
[00:00:25.440 --> 00:00:26.940]  是聖靈充滿
[00:00:26.940 --> 00:00:29.940]  是有充滿智慧的人
[00:00:29.940 --> 00:00:33.940]  所以祂被揀選是七個管理飯食的其中一個
[00:00:33.940 --> 00:00:37.140]  祂愛主是帶來無限的勇氣
[00:00:37.140 --> 00:00:40.000]  每個人都逃難的時候
[00:00:40.000 --> 00:00:41.840]  祂願意去見證耶穌
[00:00:41.840 --> 00:00:44.540]  祂愛主帶來無比的愛心
[00:00:44.540 --> 00:00:47.540]  他們跟撒瑪利亞人是世仇
[00:00:47.540 --> 00:00:49.400]  但是祂竟然能夠去到
[00:00:49.400 --> 00:00:52.440]  文化上、傳統上、歷史上
[00:00:52.440 --> 00:00:54.940]  不能夠相容的民族
[00:00:54.940 --> 00:00:58.400]  祂願意去到他們撒瑪利亞那邊傳福音
[00:00:58.400 --> 00:01:01.000]  祂的愛主帶來絕對的順服
[00:01:01.000 --> 00:01:02.700]  上帝叫祂走,祂就走
[00:01:02.700 --> 00:01:05.500]  聖靈感動祂,往南去,祂就去
[00:01:05.500 --> 00:01:08.500]  撒瑪利亞已經受到很多人歡迎了
[00:01:08.500 --> 00:01:11.100]  但是聖靈一說,往南邊走
[00:01:11.100 --> 00:01:12.800]  那是沙漠,一個人都沒有
[00:01:12.800 --> 00:01:14.100]  祂就往那邊去
[00:01:14.100 --> 00:01:17.500]  就給祂遇到了一個人,祂要傳福音的
[00:01:17.500 --> 00:01:20.300]  愛主也帶來救人靈魂的渴望
[00:01:20.300 --> 00:01:26.300]  祂看到愛撒雅利比亞的太監讀以撒亞書
[00:01:26.300 --> 00:01:29.300]  祂馬上走過去,聽到祂在讀就問祂
[00:01:29.300 --> 00:01:31.300]  你所讀的,你明白嗎?
[00:01:31.300 --> 00:01:34.000]  祂關心人家到底明不明白
[00:01:34.000 --> 00:01:37.800]  愛主也使人履行主的大使命
[00:01:37.800 --> 00:01:42.600]  祂在那邊,基本上看見有機會,祂就為他施洗
[00:01:42.600 --> 00:01:46.200]  然後第七我們看到,愛主使人樂於為主而活
[00:01:46.200 --> 00:01:51.400]  我們看見費利,他最後是去到各城各鄉
[00:01:51.400 --> 00:01:54.500]  就像耶穌一樣,活像耶穌一樣
[00:01:54.500 --> 00:01:56.500]  到處去傳福音
[00:01:56.500 --> 00:02:00.500]  這是我們上回看到的,初期教會費利的生命
[00:02:00.500 --> 00:02:05.500]  我們在初期教會的生命講道系列
[00:02:05.500 --> 00:02:10.000]  是要讓大家在聽完了整個馬可福音
[00:02:10.000 --> 00:02:13.500]  關於耶穌所講的話,所做的事情之後
[00:02:13.500 --> 00:02:17.500]  來探討之後的門徒,他們做了些什麼
[00:02:17.500 --> 00:02:22.500]  所以初期教會所經歷的,成為我們重要的參考
[00:02:22.500 --> 00:02:27.500]  使我們從歷史的記載中,以及現代歷史中
[00:02:27.500 --> 00:02:30.500]  明白信靠耶穌的人,不只是得永生
[00:02:30.500 --> 00:02:33.500]  得永生很重要,但是不只是得永生
[00:02:33.500 --> 00:02:38.500]  而是可以過一個有意義,還有精彩的人生
[00:02:38.500 --> 00:02:41.500]  所以耶穌的生平讀完之後
[00:02:41.500 --> 00:02:44.500]  如果你沒有機會聽那些講道,上網去聽
[00:02:44.500 --> 00:02:47.500]  有五十集講關於耶穌的
[00:02:47.500 --> 00:02:51.500]  現在我們進入初期教會
[00:02:51.500 --> 00:02:55.500]  今天我們要看第四講,是講到保羅第一篇
